3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-47.027935,20220825-071745,20220825,071745,-45.911186,0.0,2.0,59.0,1.0,8.0,225.688736,2.357449,45.0,143.609787,6.158319,6.158319,207.25177,1.0,0.0,2.087047,0.0,-99900.0,0.0,1.524,1.524,6.158319,3.424431,3.896489,24.660112,121.305855,-48.234722,-45.115528,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,65.722626,1.0,45.0,0.0,3.350808,6.744171,-99900.0,0.0,-99900.0,6.411986,6.411986,-99900.0
-48.134243,20220825-072344,20220825,072344,-47.013512,0.0,8.0,0.0,2.0,11.0,225.675171,4.919455,45.0,46.796116,7.82418,7.82418,217.32225,1.0,0.0,1.325053,0.0,-99900.0,1.745981,0.0,0.0,7.82418,5.533945,4.919455,24.6502,121.294907,-47.553925,-46.372173,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.284294,1.0,45.0,1.0,0.0,45.103302,4.350271,0.0,-0.003082,1.776149,1.776149,-0.003071
-48.395885,20220825-072943,20220825,072943,-47.004116,0.0,14.0,59.0,3.0,10.0,225.836121,2.433961,45.0,178.684402,6.136096,6.136096,290.076385,1.0,0.0,1.062583,0.0,-99900.0,1.396209,0.508,0.508,6.136096,2.753994,3.045177,24.650284,121.292313,-48.450115,-47.647106,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.465164,1.022727,45.0,2.0,0.602129,51.37674,2.43864,0.0,-0.001905,3.281561,3.281561,-0.001522
-49.774078,20220825-073542,20220825,073542,-46.460865,0.0,20.0,59.0,4.0,10.0,226.972137,2.463627,45.0,137.936386,6.003561,6.003561,209.810089,1.0,0.0,1.016261,0.0,-99900.0,1.29206,0.762,0.762,6.003561,2.830785,3.135856,24.65517,121.278641,-50.033092,-47.06385,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.088699,1.021739,45.0,3.0,0.812919,79.08197,2.411351,0.0,-0.002368,4.831832,4.831832,-0.000457
-48.390202,20220825-074140,20220825,074140,-42.21471,0.0,26.0,59.0,5.0,13.0,228.899475,0.85092,45.0,39.331367,5.972864,5.972864,100.06012,1.0,0.0,2.286795,0.0,-99900.0,4.942141,0.508,0.508,5.972864,3.515834,2.292654,24.693356,121.292282,-54.57019,-36.337936,35.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.215988,1.314286,45.0,4.0,0.449437,151.191742,2.52557,0.0,-0.001217,5.055521,5.055521,0.002213
-46.675232,20220825-074739,20220825,074739,-42.366982,0.0,32.0,59.0,6.0,10.0,227.77037,2.241104,45.0,67.931068,5.80286,5.80286,152.866837,1.0,0.0,1.116751,0.0,-99900.0,2.350939,0.508,0.508,5.80286,2.884507,2.241104,24.691986,121.309288,-46.752628,-42.408672,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.036011,1.0,45.0,5.0,0.540514,179.31778,2.600283,0.0,-3.1e-05,4.137721,4.137721,0.0026
-45.605618,20220825-075338,20220825,075338,-40.747482,0.0,38.0,59.0,7.0,13.0,228.220322,2.165427,45.0,54.634998,4.471371,4.471371,116.191147,1.0,0.0,0.773679,0.0,-99900.0,1.280101,0.0,0.0,4.471371,2.562524,2.165427,24.706551,121.319862,-45.579483,-40.846905,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.157417,1.0,45.0,6.0,0.063544,201.19455,4.226724,0.0,0.001528,2.505604,2.505604,0.003941
-45.115967,20220825-075937,20220825,075937,-39.066971,0.0,44.0,0.0,8.0,14.0,229.110245,1.175937,45.0,17.248825,3.441545,3.441545,47.502258,1.0,0.0,1.137554,0.0,-99900.0,0.272216,0.0,0.0,3.441545,2.277279,3.441545,24.721664,121.324692,-45.606392,-38.988247,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.679802,1.05,45.0,7.0,0.075615,208.384064,5.129523,0.0,0.002438,2.255179,2.255179,0.004513
-46.115246,20220825-080536,20220825,080536,-37.681366,0.0,47.0,0.0,9.0,14.0,230.747589,1.626808,45.0,15.138885,3.322948,3.322948,75.449127,1.0,0.0,0.508461,0.0,-99900.0,1.889302,0.0,0.0,3.322948,2.070907,2.070944,24.734125,121.314758,-48.621368,-36.920204,36.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.552509,1.083333,45.0,8.0,0.0,207.969696,4.953968,0.0,0.002323,1.052166,1.052166,0.004375
-48.223206,20220825-081135,20220825,081135,-35.614441,0.0,0.0,0.0,7.0,12.0,233.553192,1.598563,45.0,7.238139,2.088713,2.088713,37.537563,1.0,0.0,0.212241,0.0,-99900.0,2.983622,0.0,0.0,2.088713,1.696268,1.598563,24.752714,121.293823,-48.506805,-35.527233,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.94886,1.0,45.0,6.0,0.0,183.527664,3.886295,0.0,0.000239,0.496025,0.496025,0.003879
-42.722935,20220825-081735,20220825,081735,-37.43795,0.0,0.0,0.0,9.0,16.0,228.772354,3.290398,45.0,15.531989,4.120449,4.120449,117.907806,1.0,0.0,0.285358,0.0,-99900.0,6.299311,0.0,0.0,4.120449,3.441835,4.120449,24.736315,121.348396,-42.867977,-37.498352,34.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.805363,1.029412,45.0,8.0,0.0,194.771698,3.407857,0.0,0.000869,0.579417,0.579417,0.003295
-40.556549,20220825-082334,20220825,082334,-36.870956,0.0,0.0,0.0,24.0,15.0,227.725571,3.171294,45.0,14.75924,3.974842,3.974842,102.682808,1.0,0.0,0.316669,0.0,-99900.0,1.954085,0.0,0.0,3.974842,3.376487,3.171294,24.741413,121.369865,-41.00087,-36.678528,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.811504,1.0,45.0,23.0,0.0,229.041595,3.194494,0.0,0.002412,0.629746,0.629746,0.002094
