3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-100.428589,20220825-085929,20220825,085929,-145.964722,0.0,2.0,59.0,1.0,2.0,214.529602,7.606883,84.0,101.429115,11.619106,11.619106,209.729492,1.0,0.0,1.808442,0.0,-99900.0,0.0,1.778,1.778,11.619106,7.971159,7.606883,23.760313,120.780106,-100.281456,-146.190399,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,177.176758,1.0,84.0,0.0,4.412409,243.351532,-99900.0,0.0,-99900.0,3.5874,3.5874,-99900.0
-101.709984,20220825-090529,20220825,090529,-143.655533,0.0,8.0,59.0,2.0,11.0,215.299332,7.539592,84.0,244.18248,9.357455,9.357455,737.589661,1.0,0.0,0.360147,0.0,-99900.0,2.73669,0.0,0.0,9.357455,7.655916,7.539592,23.78108,120.767372,-101.696198,-143.695007,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,176.016571,1.0,84.0,1.0,0.0,150.973618,7.335932,0.0,-0.003559,2.017133,2.017133,0.006415
-99.861328,20220825-091128,20220825,091128,-147.061935,0.0,14.0,59.0,3.0,1.0,214.178528,7.632592,84.0,306.885498,11.741161,11.741161,378.848114,1.0,0.0,1.246995,0.0,-99900.0,6.509239,3.556,3.556,11.741161,7.793185,7.632592,23.750446,120.785751,-99.766808,-147.113083,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,100.0,100.0,10.0,10.0,177.762482,1.0,84.0,2.0,19.360598,332.664307,1.713755,0.0,0.000787,5.100856,5.100856,-0.001522
-99.756584,20220825-091726,20220825,091726,-148.032547,0.0,20.0,59.0,4.0,2.0,213.975693,7.66249,84.0,269.540375,11.858727,11.858727,509.866302,1.0,0.0,1.271003,0.0,-99900.0,0.460932,1.778,1.778,11.858727,8.265043,7.66249,23.741716,120.786819,-99.332657,-148.067566,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,178.507736,1.0,84.0,3.0,4.504781,338.093109,2.882442,0.0,0.001075,4.950707,4.950707,-0.002674
-101.06649,20220825-092325,20220825,092325,-148.211227,0.0,26.0,59.0,5.0,3.0,214.290756,7.701047,84.0,315.83844,12.017233,12.017233,905.51001,1.0,0.0,0.83314,0.0,-99900.0,1.867345,1.27,1.27,12.017233,8.050994,7.701047,23.74011,120.773888,-100.580978,-148.077133,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,179.39064,1.0,84.0,4.0,3.193485,355.635925,2.477423,0.0,0.000189,4.044093,4.044093,-0.00247
-100.553558,20220825-092925,20220825,092925,-150.391479,0.0,32.0,59.0,6.0,2.0,213.767502,7.800866,84.0,251.177994,12.005195,12.005195,234.922485,1.0,0.0,1.71245,0.0,-99900.0,1.365536,3.048,3.048,12.005195,8.05631,7.800866,23.720503,120.77903,-100.346001,-150.43306,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,0.0,0.0,180.910522,1.0,84.0,5.0,14.600087,357.807007,2.927936,0.0,0.000112,5.516886,5.516886,-0.002926
-101.01001,20220825-093524,20220825,093524,-149.948639,0.0,38.0,59.0,7.0,3.0,213.965759,7.763846,84.0,140.531403,9.877473,9.877473,309.01181,1.0,0.0,0.861688,0.0,-99900.0,1.573631,1.27,1.27,9.877473,8.156904,7.763846,23.724485,120.774506,-100.07692,-149.800797,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,180.797165,1.0,84.0,6.0,2.919456,359.847809,3.313201,0.0,9e-06,2.640467,2.640467,-0.003313
-98.411133,20220825-094317,20220825,094317,-136.969543,0.0,46.0,0.0,8.0,4.0,215.697174,7.147722,84.0,132.08606,10.941638,10.941638,304.596191,1.0,0.0,1.306006,0.0,-99900.0,14.77584,1.27,1.27,10.941638,7.609727,7.147722,23.841209,120.799721,-98.670769,-136.900757,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.657654,1.0,84.0,7.0,3.066078,185.953186,3.560161,0.0,0.000369,3.874986,3.874986,0.003541
-95.142113,20220825-094916,20220825,094916,-136.105087,0.0,52.0,59.0,9.0,6.0,214.9552,6.989779,84.0,154.535599,10.880125,10.880125,540.615051,1.0,0.0,1.277221,0.0,-99900.0,3.162724,0.762,0.762,10.880125,7.523077,8.794463,23.848982,120.831993,-94.555374,-136.169479,39.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,166.062088,1.076923,84.0,8.0,1.205345,197.935059,7.575056,0.0,0.002333,3.616793,3.616793,0.007207
-93.789368,20220825-095516,20220825,095516,-134.592865,0.0,55.0,0.0,10.0,10.0,214.870575,6.883027,84.0,97.672119,8.74824,8.74824,416.338837,1.0,0.0,0.522023,0.0,-99900.0,1.197698,0.0,0.0,8.74824,7.112738,6.883027,23.862583,120.845306,-93.266182,-134.602386,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.047821,1.0,84.0,9.0,0.0,203.693024,10.144387,0.0,0.004076,1.41563,1.41563,0.009289
