3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-75.86496,20220825-090529,20220825,090529,-22.357718,0.0,0.0,0.0,3.0,14.0,253.579788,2.280282,90.0,21.647976,3.661614,3.661614,164.238922,1.0,0.0,0.312454,0.0,-99900.0,0.0,0.0,0.0,3.661614,3.14137,3.661614,24.871935,121.019371,-79.233917,-19.142946,30.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.090836,1.233333,90.0,2.0,0.0,246.70462,-99900.0,0.0,-99900.0,0.7125,0.7125,-99900.0
-80.283348,20220825-091128,20220825,091128,-22.296455,0.0,0.0,0.0,2.0,11.0,254.479095,1.809425,90.0,43.36293,3.723571,3.723571,296.102448,1.0,0.0,0.328193,0.0,-99900.0,4.885261,0.0,0.0,3.723571,3.264169,3.723571,24.872486,120.975533,-83.304314,-17.933958,31.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.321953,1.258065,90.0,1.0,0.0,90.794388,12.308475,0.0,-0.012307,1.084052,1.084052,0.000171
-76.579689,20220825-091726,20220825,091726,-22.245415,0.0,2.0,59.0,1.0,9.0,253.802353,1.028038,90.0,55.030785,3.778508,3.778508,405.587708,1.0,0.0,0.483457,0.0,-99900.0,8.109679,0.0,0.0,3.778508,2.40394,3.778508,24.872946,121.012276,-72.18364,-22.032042,32.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.745262,1.25,90.0,0.0,0.0,98.883759,1.014267,0.0,-0.001002,1.506482,1.506482,0.000157
-81.465759,20220825-092325,20220825,092325,-20.88999,0.0,5.0,59.0,2.0,12.0,255.617966,1.181004,90.0,53.653343,3.929486,3.929486,405.945282,1.0,0.0,0.560189,0.0,-99900.0,4.709079,0.0,0.0,3.929486,2.430085,3.929486,24.885136,120.96376,-81.168671,-19.61866,33.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.101494,1.181818,90.0,1.0,0.0,108.770996,3.860662,0.0,-0.003655,1.570118,1.570118,0.001242
-85.006508,20220825-092925,20220825,092925,-20.414465,0.0,0.0,0.0,3.0,14.0,256.496277,1.211315,90.0,51.730091,4.251062,4.251062,399.02652,1.0,0.0,1.046393,0.0,-99900.0,2.225011,0.0,0.0,4.251062,2.370438,4.251062,24.889412,120.928619,-82.885719,-19.054695,33.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.423431,1.121212,90.0,2.0,0.0,105.207291,5.62332,0.0,-0.005426,1.630529,1.630529,0.001475
-87.928665,20220825-093524,20220825,093524,-20.922129,0.0,0.0,0.0,19.0,15.0,256.615906,1.250639,90.0,61.890751,4.307517,4.307517,434.483032,1.0,0.0,0.607207,0.0,-99900.0,1.422894,0.0,0.0,4.307517,2.477343,3.489351,24.884846,120.899643,-84.551826,-20.600183,33.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.383545,1.181818,90.0,18.0,0.0,100.125809,6.418965,0.0,-0.006319,1.769753,1.769753,0.001129
-85.785912,20220825-094317,20220825,094317,-22.785032,0.0,0.0,0.0,3.0,9.0,255.125717,1.20264,90.0,107.030945,3.599857,3.599857,811.755005,1.0,0.0,0.443246,0.0,-99900.0,5.663723,0.0,0.0,3.599857,2.244719,3.599857,24.868093,120.920959,-81.648178,-22.18342,35.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.760239,1.114286,90.0,2.0,0.0,91.064087,4.866102,0.0,-0.004865,1.498781,1.498781,9e-05
-94.238884,20220825-094916,20220825,094916,-21.439835,0.0,0.0,0.0,3.0,11.0,257.183319,1.410611,90.0,43.133503,3.684325,3.684325,392.616943,1.0,0.0,0.825064,0.0,-99900.0,6.833622,0.0,0.0,3.684325,2.088013,3.684325,24.88019,120.837059,-92.378754,-21.380415,32.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.64695,1.15625,90.0,2.0,0.0,88.440491,7.615454,0.0,-0.007613,1.210923,1.210923,-0.000207
-103.844292,20220825-095516,20220825,095516,-21.033888,0.0,0.0,0.0,19.0,15.0,258.549774,2.31052,90.0,27.987,4.073092,4.073092,268.043732,1.0,0.0,0.241262,0.0,-99900.0,6.88166,0.0,0.0,4.073092,3.625209,4.073092,24.883842,120.741745,-101.175331,-20.123779,30.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.95311,1.133333,90.0,18.0,0.0,87.419403,9.97355,0.0,-0.009963,0.606454,0.606454,-0.000449
-106.390182,20220825-100115,20220825,100115,-22.430008,0.0,0.0,0.0,2.0,11.0,258.095032,3.21638,90.0,28.985571,4.205677,4.205677,272.896332,1.0,0.0,0.165176,0.0,-99900.0,1.608703,0.0,0.0,4.205677,3.685711,4.205677,24.871286,120.716537,-105.836578,-22.788668,31.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.728912,1.096774,90.0,1.0,0.0,86.641205,11.924841,0.0,-0.011904,0.489527,0.489527,-0.000699
