3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-38.987507,20220825-053601,20220825,053601,-49.161453,0.0,3.0,0.0,1.0,4.0,218.416519,2.226728,7.0,13.336981,2.879622,2.879622,38.554081,1.0,0.0,0.33371,0.0,-99900.0,0.0,0.0,0.0,2.879622,2.334515,2.226728,24.630882,121.385597,-38.889587,-49.256248,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.744514,1.0,7.0,0.0,0.0,136.001892,-99900.0,0.0,-99900.0,0.935948,0.935948,-99900.0
-40.408272,20220825-054201,20220825,054201,-47.183784,0.0,9.0,0.0,2.0,7.0,220.577133,2.202631,7.0,12.742123,2.845315,2.845315,35.050171,1.0,0.0,0.330173,0.0,-99900.0,1.676957,0.0,0.0,2.845315,2.311279,2.845315,24.648668,121.371483,-40.383102,-47.239861,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.12196,1.0,7.0,1.0,0.0,144.306396,6.764161,0.0,-0.003947,0.864631,0.864631,0.005494
-41.621162,20220825-054801,20220825,054801,-47.763264,0.0,15.0,0.0,3.0,3.0,221.069382,2.222828,7.0,34.553825,4.687551,4.687551,65.440681,1.0,0.0,1.306097,0.0,-99900.0,2.565575,0.762,0.762,4.687551,2.983434,3.73779,24.643457,121.359474,-41.609726,-46.84911,43.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.353378,1.093023,7.0,2.0,1.308932,117.963516,4.14136,0.0,-0.003658,3.146388,3.146388,0.001942
-42.314678,20220825-055359,20220825,055359,-46.811153,0.0,20.0,0.0,4.0,4.0,222.112152,2.231347,7.0,87.943275,4.569653,4.569653,81.574524,1.0,0.0,1.09156,0.0,-99900.0,0.667414,1.27,1.27,4.569653,2.770877,3.715375,24.65202,121.352585,-42.160923,-46.644417,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.101635,1.020833,7.0,3.0,2.613165,120.029312,3.598343,0.0,-0.003115,5.729295,5.729295,0.001801
-42.769009,20220825-055959,20220825,055959,-46.207825,0.0,26.0,0.0,5.0,5.0,222.787018,2.241264,7.0,146.743164,5.749137,5.749137,97.375336,1.0,0.0,1.480146,0.0,-99900.0,0.668703,1.778,1.778,5.749137,3.134073,2.907787,24.657446,121.348068,-42.837963,-46.365089,50.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,62.963093,1.02,7.0,4.0,5.343649,123.54953,3.161816,0.0,-0.002635,8.592819,8.592819,0.001747
-39.833199,20220825-060558,20220825,060558,-42.779308,0.0,32.0,59.0,6.0,2.0,222.957916,2.262897,7.0,260.269409,8.943632,8.943632,264.638336,1.0,0.0,2.609273,0.0,-99900.0,4.786976,2.032,2.032,8.943632,3.4917,2.688766,24.688278,121.377121,-43.500942,-46.49398,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,58.452999,1.020833,7.0,5.0,7.09209,161.447876,3.001508,0.0,-0.000955,9.444991,9.444991,0.002846
-37.152222,20220825-061157,20220825,061157,-40.119759,0.0,38.0,59.0,7.0,2.0,222.801025,2.010902,7.0,302.198364,7.509438,7.509438,255.110138,1.0,0.0,1.430351,0.0,-99900.0,3.43897,2.032,2.032,7.509438,3.010882,2.53599,24.712196,121.403664,-38.285728,-42.566898,50.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,54.679817,1.04,7.0,6.0,5.841659,202.610977,4.383686,0.0,0.001685,11.020583,11.020583,0.004047
-38.617912,20220825-061755,20220825,061755,-37.762489,0.0,44.0,0.0,8.0,4.0,225.641968,0.682857,7.0,473.210907,9.671386,9.671386,384.190552,1.0,0.0,1.847869,0.0,-99900.0,2.259749,2.54,2.54,9.671386,3.601545,3.956417,24.733397,121.389099,-41.974857,-36.188961,43.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,54.012486,1.162791,7.0,7.0,9.867907,204.466446,6.428038,0.0,0.002662,14.230984,14.230984,0.005851
-39.344185,20220825-062355,20220825,062355,-38.32312,0.0,50.0,0.0,9.0,1.0,225.753525,0.670931,7.0,582.451843,9.892736,9.892736,439.894836,1.0,0.0,2.47546,0.0,-99900.0,3.154463,4.318,4.318,9.892736,3.953015,5.131476,24.728354,121.381905,-41.530403,-35.552921,48.0,0.0,53.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,20.0,20.0,54.923824,1.104167,7.0,8.0,27.685194,203.063629,6.091038,0.0,0.002386,21.360968,21.360968,0.005604
-39.94809,20220825-062954,20220825,062954,-38.114681,0.0,56.0,0.0,10.0,2.0,226.345734,0.671138,7.0,461.879578,12.524384,12.524384,457.152405,1.0,0.0,4.471243,0.0,-99900.0,2.320704,4.064,4.064,12.524384,4.109794,3.194333,24.730228,121.375916,-41.951805,-35.075047,46.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,20.0,20.0,55.213936,1.173913,7.0,9.0,23.678358,194.090454,4.610259,0.0,0.001122,21.604965,21.604965,0.004472
-40.398666,20220825-063553,20220825,063553,-38.74794,1.0,2.0,0.0,11.0,3.0,226.195129,0.71232,7.0,440.700745,12.4523,12.4523,450.835571,1.0,0.0,4.194633,0.0,-99900.0,2.395739,2.794,2.794,12.4523,3.690576,4.128556,24.724533,121.37146,-43.702354,-36.995598,45.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,55.977272,1.111111,7.0,10.0,11.138006,154.989349,2.248108,0.0,-0.00095,16.545095,16.545095,0.002037
-43.86554,20220825-064152,20220825,064152,-44.320435,1.0,8.0,0.0,12.0,1.0,224.704758,4.613872,7.0,372.08847,10.574675,10.574675,266.708313,1.0,0.0,2.309572,0.0,-99900.0,7.036242,4.572,4.572,10.574675,5.073786,5.805741,24.674419,121.337173,-43.836796,-44.561699,52.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,20.0,20.0,62.357727,1.0,7.0,11.0,30.017754,58.983582,3.668209,0.0,-0.003144,10.984462,10.984462,-0.00189
-44.984493,20220825-064750,20220825,064750,-43.005943,1.0,14.0,59.0,13.0,2.0,226.288452,0.7409,7.0,449.429688,11.264575,11.264575,438.225311,1.0,0.0,5.138427,0.0,-99900.0,1.991183,5.08,5.08,11.264575,4.378,4.654799,24.686241,121.326057,-45.228004,-37.911335,48.0,0.0,55.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,30.0,30.0,62.23436,1.145833,7.0,12.0,37.284096,45.633148,5.103369,0.0,-0.003648,23.761688,23.761688,-0.003569
-45.840229,20220825-065349,20220825,065349,-44.882084,1.0,20.0,0.0,14.0,4.0,225.605408,2.283078,7.0,398.592163,11.886583,11.886583,469.438171,1.0,0.0,5.097012,0.0,-99900.0,0.748456,3.048,3.048,11.886583,4.439467,2.283078,24.669369,121.317604,-45.428841,-45.334606,54.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,64.153938,1.0,7.0,13.0,13.341995,43.905151,5.863115,0.0,-0.004066,15.671244,15.671244,-0.004224
-45.229313,20220825-065949,20220825,065949,-46.087921,1.0,26.0,0.0,15.0,3.0,224.461609,2.286866,7.0,570.126648,10.17955,10.17955,425.582214,1.0,0.0,1.418458,0.0,-99900.0,2.098396,2.794,2.794,10.17955,3.122491,2.942034,24.658524,121.323685,-45.070797,-45.824368,50.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,64.573891,1.02,7.0,14.0,12.379425,37.586517,5.722104,0.0,-0.00349,11.571013,11.571013,-0.004534
-43.500092,20220825-070549,20220825,070549,-49.859512,1.0,32.0,59.0,16.0,5.0,221.1035,3.060131,7.0,300.480591,9.693854,9.693854,269.29834,1.0,0.0,2.229902,0.0,-99900.0,3.672969,3.048,3.048,9.693854,3.990969,3.060131,24.624605,121.340881,-43.514889,-49.986034,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,66.16819,1.0,7.0,15.0,14.679747,18.032532,5.249693,0.0,-0.001625,11.179045,11.179045,-0.004992
-43.345711,20220825-071147,20220825,071147,-49.478924,1.0,38.0,59.0,17.0,5.0,221.220108,2.350442,7.0,227.733154,9.648673,9.648673,313.0802,1.0,0.0,2.919292,0.0,-99900.0,2.289257,1.778,1.778,9.648673,3.977261,3.04262,24.628027,121.342407,-42.877136,-50.004227,49.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,40.0,40.0,0.0,0.0,65.780045,1.020408,7.0,16.0,5.281865,350.836487,3.833389,0.0,0.00061,10.173974,10.173974,-0.003784
