3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-25.708405,20220825-071745,20220825,071745,-10.300179,0.0,2.0,59.0,1.0,1.0,248.16655,0.5243,43.0,329.165985,6.738081,6.738081,123.292114,1.0,0.0,3.264889,0.0,-99900.0,0.0,5.334,5.334,6.738081,3.670883,3.101573,24.98037,121.516846,-24.396849,-16.989765,49.0,0.0,56.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,30.0,30.0,27.695049,1.142857,43.0,0.0,42.404461,6.744171,-99900.0,0.0,-99900.0,18.633282,18.633282,-99900.0
-26.746124,20220825-072344,20220825,072344,-9.491545,0.0,8.0,59.0,2.0,1.0,250.461731,0.298838,43.0,713.597168,9.224863,9.224863,220.38623,1.0,0.0,3.282505,0.0,-99900.0,1.327576,7.874,7.874,9.224863,3.992418,3.223245,24.987642,121.506538,-26.01392,-11.128792,53.0,0.0,58.0,0.0,0.0,-99900.0,-99900.0,-99900.0,100.0,100.0,50.0,50.0,28.380356,1.09434,43.0,1.0,87.084778,127.9272,3.66458,0.0,-0.002891,41.235626,41.235626,0.002252
-27.215565,20220825-072943,20220825,072943,-10.814104,0.0,14.0,59.0,3.0,1.0,248.329865,0.304651,43.0,1052.726074,10.114882,-10.114882,314.211151,-1.0,0.0,4.601917,0.0,-99900.0,2.205661,10.668,-10.668,10.114882,4.398926,6.208168,24.975748,121.501892,-26.924562,-10.11589,53.0,0.0,60.0,0.0,0.0,-99900.0,-99900.0,-99900.0,100.0,-100.0,70.0,-70.0,29.285351,1.132075,43.0,2.0,162.479431,71.171143,2.217797,0.0,-0.002099,48.346943,-48.346943,-0.000716
-26.729267,20220825-073542,20220825,073542,-10.131187,0.0,20.0,59.0,4.0,1.0,249.242065,0.304597,43.0,1371.564087,10.677835,10.677835,377.290344,1.0,0.0,2.689337,0.0,-99900.0,1.555852,9.652,9.652,10.677835,4.176771,4.057511,24.98189,121.506714,-26.824875,-10.365297,53.0,0.0,60.0,0.0,0.0,-99900.0,-99900.0,-99900.0,100.0,100.0,70.0,70.0,28.584869,1.132075,43.0,3.0,135.919815,76.997681,1.009734,0.0,-0.000984,43.939915,43.939915,-0.000227
-26.28091,20220825-074140,20220825,074140,-9.058232,0.0,26.0,59.0,5.0,1.0,250.982727,0.302773,43.0,1283.458008,9.425545,-9.425545,357.208435,-1.0,0.0,4.778715,0.0,-99900.0,1.404739,9.144,-9.144,9.425545,3.648698,5.611393,24.991539,121.511154,-26.621422,-10.483707,54.0,0.0,58.0,0.0,0.0,-99900.0,-99900.0,-99900.0,100.0,-100.0,60.0,-60.0,27.798162,1.074074,43.0,4.0,120.625488,148.494537,0.602389,0.0,-0.000315,45.903889,-45.903889,0.000514
-25.566446,20220825-074739,20220825,074739,-8.071331,0.0,32.0,59.0,6.0,1.0,252.47934,0.298268,43.0,1176.835938,9.35058,9.35058,336.193207,1.0,0.0,2.096764,0.0,-99900.0,1.152719,7.112,7.112,9.35058,3.341966,3.100214,25.000414,121.518234,-26.637905,-9.401796,54.0,0.0,58.0,0.0,0.0,-99900.0,-99900.0,-99900.0,100.0,100.0,50.0,50.0,26.810251,1.074074,43.0,5.0,73.583687,191.157364,1.06524,0.0,0.000206,39.160004,39.160004,0.001045
-24.209492,20220825-075338,20220825,075338,-6.15696,0.0,38.0,59.0,7.0,1.0,255.731262,0.264948,43.0,1018.216248,8.050921,8.050921,291.324707,1.0,0.0,1.721034,0.0,-99900.0,2.003757,6.604,6.604,8.050921,2.813354,2.297657,25.01763,121.531685,-24.366116,-7.588343,54.0,0.0,57.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,40.0,40.0,24.980145,1.055556,43.0,6.0,61.771915,214.840576,2.520348,0.0,0.00144,39.592716,39.592716,0.002069
-23.746363,20220825-075937,20220825,075937,-5.110041,0.0,44.0,59.0,8.0,1.0,257.855804,0.259466,43.0,1023.432129,8.552997,-8.552997,347.418213,-1.0,0.0,2.033526,0.0,-99900.0,0.309021,7.112,-7.112,8.552997,3.164819,1.745463,25.027044,121.53627,-24.457899,-5.478073,55.0,0.0,59.0,0.0,0.0,-99900.0,-99900.0,-99900.0,100.0,-100.0,50.0,-50.0,24.289963,1.072727,43.0,7.0,75.056145,211.732681,3.879381,0.0,0.00204,39.655205,-39.655205,0.003299
-23.719965,20220825-080536,20220825,080536,-3.427928,0.0,50.0,59.0,9.0,1.0,261.776978,0.241875,43.0,927.605896,8.217305,8.217305,361.648407,1.0,0.0,1.768682,0.0,-99900.0,0.863824,4.572,4.572,8.217305,2.878903,2.748537,25.042173,121.536522,-23.181946,-4.332704,55.0,0.0,56.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,20.0,20.0,23.966381,1.018182,43.0,8.0,31.917561,206.921661,4.22157,0.0,0.001911,30.773268,30.773268,0.003764
-22.63854,20220825-081135,20220825,081135,-2.574778,0.0,56.0,59.0,10.0,1.0,263.511597,0.56897,43.0,777.672852,7.661833,7.661833,440.639832,1.0,0.0,1.594002,0.0,-99900.0,0.635892,4.826,4.826,7.661833,3.196737,2.173175,25.049845,121.547249,-23.475204,-1.079208,52.0,0.0,56.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,30.0,30.0,22.784489,1.076923,43.0,9.0,33.743683,207.06308,4.23573,0.0,0.001927,26.681034,26.681034,0.003772
