3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-97.883171,20220825-070549,20220825,070549,-141.084396,0.0,3.0,0.0,1.0,11.0,214.75293,7.287544,39.0,72.61084,11.273768,11.273768,173.66507,1.0,0.0,2.041907,0.0,-99900.0,0.0,0.508,0.508,11.273768,8.194353,7.287544,23.804203,120.805077,-97.067429,-141.226913,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,171.714645,1.0,39.0,0.0,0.577189,42.875,-99900.0,0.0,-99900.0,3.623503,3.623503,-99900.0
-99.356552,20220825-071147,20220825,071147,-140.108353,0.0,8.0,59.0,2.0,8.0,215.342361,7.314778,39.0,181.258682,9.002049,9.002049,486.415894,1.0,0.0,0.40664,0.0,-99900.0,2.083618,0.508,0.508,9.002049,7.425254,7.314778,23.812981,120.790489,-99.476746,-140.162994,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,171.761673,1.0,39.0,1.0,0.568926,123.522552,4.936771,0.0,-0.004116,2.238403,2.238403,0.002726
-96.550995,20220825-071745,20220825,071745,-140.669769,0.0,14.0,59.0,3.0,7.0,214.464737,7.233638,39.0,166.108643,11.348209,11.348209,217.87355,1.0,0.0,2.113823,0.0,-99900.0,4.546787,3.048,3.048,11.348209,7.685143,7.233638,23.807932,120.818222,-96.285614,-140.543106,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,0.0,0.0,170.61676,1.0,39.0,2.0,12.981026,252.712097,1.948633,0.0,0.001861,4.848965,4.848965,0.000579
-96.529312,20220825-072344,20220825,072344,-140.488159,0.0,20.0,59.0,4.0,5.0,214.493271,7.195917,39.0,203.9785,11.322433,11.322433,386.943054,1.0,0.0,1.734334,0.0,-99900.0,0.646805,2.032,2.032,11.322433,8.08423,7.195917,23.809565,120.818436,-95.435837,-140.268997,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,0.0,0.0,170.454773,1.0,39.0,3.0,6.136587,259.871185,1.946971,0.0,0.001917,4.623708,4.623708,0.000342
-96.77845,20220825-072943,20220825,072943,-139.416016,0.0,26.0,59.0,5.0,5.0,214.767563,7.180822,39.0,327.681396,11.129576,11.129576,661.904663,1.0,0.0,1.016556,0.0,-99900.0,1.333934,2.032,2.032,11.129576,7.632912,7.180822,23.819206,120.815933,-96.230171,-139.381882,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,0.0,0.0,169.714157,1.0,39.0,4.0,6.157933,239.572662,1.629031,0.0,0.001405,4.156198,4.156198,0.000825
-96.380661,20220825-073542,20220825,073542,-135.340912,0.0,32.0,0.0,6.0,3.0,215.456238,6.99651,39.0,485.365814,11.080401,11.080401,1100.553467,1.0,0.0,0.638403,0.0,-99900.0,3.780431,3.302,3.302,11.080401,7.174801,6.99651,23.855856,120.819725,-96.483383,-134.966599,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,10.0,10.0,166.151718,1.0,39.0,5.0,17.562822,206.226517,2.752029,0.0,0.001216,5.916797,5.916797,0.002469
-95.05584,20220825-074140,20220825,074140,-139.648102,0.0,38.0,0.0,7.0,9.0,214.242722,7.131905,39.0,227.164948,11.207729,11.207729,548.89978,1.0,0.0,1.168236,0.0,-99900.0,5.26664,1.27,1.27,11.207729,7.827032,7.131905,23.81712,120.832962,-94.375389,-139.538223,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.929581,1.0,39.0,6.0,3.120646,228.319809,2.320455,0.0,0.001733,4.082654,4.082654,0.001543
-96.21582,20220825-074739,20220825,074739,-135.62262,0.0,44.0,0.0,8.0,9.0,215.353668,6.99188,39.0,349.903076,10.885457,10.885457,1035.373779,1.0,0.0,0.906874,0.0,-99900.0,3.902254,1.016,1.016,10.885457,7.875631,6.99188,23.853321,120.821365,-95.063644,-135.863586,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,166.285828,1.0,39.0,7.0,1.562682,191.52272,2.587904,0.0,0.000517,3.622093,3.622093,0.002536
-98.79261,20220825-075338,20220825,075338,-138.632309,0.0,47.0,0.0,9.0,16.0,215.474899,9.004902,39.0,142.143646,11.116796,11.116796,478.044983,1.0,0.0,0.627326,0.0,-99900.0,4.795554,0.0,0.0,11.116796,9.241429,9.004902,23.826256,120.796013,-98.868416,-138.515091,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,170.231903,1.0,39.0,8.0,0.0,153.07608,1.461391,0.0,-0.000662,1.847131,1.847131,0.001303
-97.006493,20220825-075937,20220825,075937,-139.045059,0.0,0.0,0.0,0.0,17.0,214.902374,7.182434,39.0,100.061966,9.019663,9.019663,318.223633,1.0,0.0,0.570922,0.0,-99900.0,2.206946,0.0,0.0,9.019663,7.43356,7.182434,23.822542,120.813667,-96.664185,-139.118011,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,169.539932,1.0,39.0,-1.0,0.0,67.304871,0.823561,0.0,-0.00076,1.70789,1.70789,-0.000318
-99.929993,20220825-080536,20220825,080536,-138.562607,0.0,0.0,0.0,24.0,15.0,215.799118,7.254221,39.0,120.727119,11.234997,11.234997,809.641357,1.0,0.0,0.890005,0.0,-99900.0,2.717027,0.0,0.0,11.234997,7.729749,9.053238,23.826881,120.784775,-100.04776,-138.365036,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,170.837936,1.0,39.0,23.0,0.0,56.540771,2.498552,0.0,-0.002084,2.033621,2.033621,-0.001378
-98.415878,20220825-081135,20220825,081135,-136.968445,0.0,0.0,0.0,1.0,13.0,215.6987,7.109135,39.0,50.995014,9.082217,9.082217,207.064911,1.0,0.0,0.83378,0.0,-99900.0,3.079175,0.0,0.0,9.082217,7.480562,7.109135,23.841219,120.799675,-97.751839,-136.668518,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,168.659546,1.0,39.0,0.0,0.0,99.048599,2.107942,0.0,-0.002082,1.588633,1.588633,0.000332
-101.784264,20220825-081735,20220825,081735,-137.600021,0.0,3.0,0.0,1.0,10.0,216.491074,7.290024,39.0,223.639694,10.967782,10.967782,706.309875,1.0,0.0,0.786288,0.0,-99900.0,2.724503,0.762,0.762,10.967782,7.617517,7.290024,23.835539,120.766418,-101.889938,-137.845627,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,171.154312,1.0,39.0,0.0,1.374207,81.536743,2.384036,0.0,-0.002358,3.000345,3.000345,-0.000351
-100.40564,20220825-082334,20220825,082334,-136.73909,0.0,8.0,0.0,2.0,3.0,216.289658,7.18278,39.0,501.533356,11.168038,11.168038,718.950562,1.0,0.0,0.895118,0.0,-99900.0,2.434206,2.286,2.286,11.168038,7.498414,7.18278,23.843281,120.780006,-100.133469,-136.650177,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,0.0,0.0,169.643372,1.0,39.0,1.0,8.920382,126.38649,2.063901,0.0,-0.001662,4.740258,4.740258,0.001224
