3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-85.105522,20220825-075937,20220825,075937,-86.879799,0.0,2.0,59.0,1.0,9.0,224.409241,4.780242,60.0,88.545937,6.037863,6.037863,101.76899,1.0,0.0,0.578051,0.0,-99900.0,0.0,1.27,1.27,6.037863,4.85843,4.780242,24.291676,120.929665,-85.122566,-86.886238,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,121.618454,1.0,60.0,0.0,2.948449,170.822891,-99900.0,0.0,-99900.0,2.413831,2.413831,-99900.0
-84.965599,20220825-080536,20220825,080536,-83.600655,0.0,8.0,59.0,2.0,7.0,225.464249,4.586612,60.0,48.238579,7.533923,7.533923,127.997169,1.0,0.0,1.272913,0.0,-99900.0,2.853454,1.27,1.27,7.533923,5.483686,5.987512,24.321165,120.930954,-84.366646,-81.795296,39.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,119.19825,1.153846,60.0,1.0,3.066062,182.443359,9.142273,0.0,0.00039,3.28304,3.28304,0.009134
-85.714371,20220825-081135,20220825,081135,-83.764977,0.0,14.0,0.0,3.0,3.0,225.659317,7.41076,60.0,174.19545,9.312449,9.312449,213.897675,1.0,0.0,0.775643,0.0,-99900.0,3.556244,2.54,2.54,9.312449,7.623373,7.41076,24.319687,120.923546,-85.588593,-83.851158,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,0.0,0.0,119.847923,1.0,60.0,2.0,9.688552,168.940125,4.420335,0.0,-0.000848,4.050861,4.050861,0.004338
-85.19693,20220825-081735,20220825,081735,-81.292747,0.0,20.0,59.0,4.0,2.0,226.343643,4.59299,60.0,251.3573,7.385853,7.385853,147.27626,1.0,0.0,1.150888,0.0,-99900.0,1.227106,3.556,3.556,7.385853,4.878134,4.59299,24.341921,120.928596,-85.147469,-81.180374,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,10.0,10.0,117.758347,1.0,60.0,3.0,17.660471,176.476929,4.628117,0.0,-0.000284,7.189321,7.189321,0.004619
-85.268402,20220825-082334,20220825,082334,-79.645065,0.0,26.0,59.0,5.0,4.0,226.953262,4.546443,60.0,148.872482,7.20983,7.20983,135.885712,1.0,0.0,1.478645,0.0,-99900.0,0.032431,2.286,2.286,7.20983,5.125278,4.546443,24.356739,120.927834,-84.801216,-80.094368,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,116.679207,1.0,60.0,4.0,7.50625,178.100189,4.672119,0.0,-0.000155,4.979949,4.979949,0.00467
-85.687126,20220825-082933,20220825,082933,-75.507217,0.0,32.0,59.0,6.0,7.0,228.613907,4.427736,60.0,188.487091,8.97869,8.97869,327.016998,1.0,0.0,1.34722,0.0,-99900.0,2.488119,1.27,1.27,8.97869,4.952225,4.427736,24.393951,120.923561,-85.449883,-75.591484,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,114.208679,1.0,60.0,5.0,2.582999,177.348267,5.66859,0.0,-0.000262,4.157275,4.157275,0.005663
-85.158913,20220825-083532,20220825,083532,-72.57679,0.0,38.0,59.0,7.0,6.0,229.560974,4.308351,60.0,121.668335,6.930926,6.930926,237.302124,1.0,0.0,0.959764,0.0,-99900.0,1.092244,1.016,1.016,6.930926,4.571478,4.308351,24.420305,120.928703,-84.763138,-72.429558,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,111.890266,1.0,60.0,6.0,2.145992,179.328552,6.485456,0.0,-7.6e-05,2.726953,2.726953,0.006485
-82.815964,20220825-084131,20220825,084131,-69.389755,0.0,44.0,59.0,8.0,7.0,230.041367,4.151238,60.0,121.767754,5.275439,5.275439,179.195633,1.0,0.0,0.341908,0.0,-99900.0,2.521059,0.508,0.508,5.275439,4.228217,4.151238,24.448967,120.951813,-82.866318,-69.342659,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.04361,1.0,60.0,7.0,0.739272,187.905579,8.205141,0.0,0.001129,1.982088,1.982088,0.008127
-81.990761,20220825-084730,20220825,084730,-68.685532,0.0,50.0,59.0,9.0,8.0,230.046631,4.109614,60.0,52.237755,5.162652,5.162652,101.778305,1.0,0.0,0.454091,0.0,-99900.0,2.252931,0.508,0.508,5.162652,4.258765,4.109614,24.455299,120.959961,-81.940895,-69.018036,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.958809,1.0,60.0,8.0,0.42274,193.887451,7.930362,0.0,0.001903,1.715641,1.715641,0.007699
-81.695755,20220825-085330,20220825,085330,-75.96096,0.0,56.0,59.0,10.0,9.0,227.083527,4.313454,60.0,43.918953,5.45925,5.45925,105.832787,1.0,0.0,0.484668,0.0,-99900.0,10.054481,0.254,0.254,5.45925,4.461833,4.313454,24.38987,120.963097,-81.73494,-75.993706,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.553864,1.0,60.0,9.0,0.295829,216.661758,4.169557,0.0,0.00249,1.766237,1.766237,0.003345
