3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-12.995842,20220825-065949,20220825,065949,-19.113047,0.0,3.0,0.0,1.0,9.0,214.213928,0.241425,37.0,99.053314,4.051883,4.051883,63.195934,1.0,0.0,1.83638,0.0,-99900.0,0.0,1.27,1.27,4.051883,2.135196,0.241425,24.901114,121.643059,-18.969887,-13.946996,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,23.112776,1.0,37.0,0.0,2.416586,60.18042,-99900.0,0.0,-99900.0,6.306965,6.306965,-99900.0
-12.680913,20220825-070549,20220825,070549,-19.672157,0.0,9.0,0.0,2.0,9.0,212.806671,1.295209,37.0,128.072662,6.651468,6.651468,114.98983,1.0,0.0,2.70264,0.0,-99900.0,0.707498,1.778,1.778,6.651468,2.890232,1.295209,24.896084,121.646187,-12.355018,-19.753889,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,23.405113,1.0,37.0,1.0,5.31637,330.608826,1.782507,0.0,0.000875,10.162055,10.162055,-0.001553
-13.417171,20220825-071147,20220825,071147,-20.490507,0.0,14.0,0.0,3.0,4.0,213.217087,0.552753,37.0,130.161453,6.969908,6.969908,123.566383,1.0,0.0,2.821655,0.0,-99900.0,1.081731,2.54,2.54,6.969908,2.983926,4.413775,24.888725,121.638885,-12.666952,-19.040289,48.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,24.492476,1.041667,37.0,2.0,10.079274,16.973053,2.005488,0.0,-0.000585,12.812372,12.812372,-0.001918
-15.318229,20220825-071745,20220825,071745,-22.580202,0.0,20.0,59.0,4.0,6.0,214.152985,0.230385,37.0,166.476776,6.766795,6.766795,136.3629,1.0,0.0,3.65714,0.0,-99900.0,2.197609,3.302,3.302,6.766795,3.349182,3.635326,24.869932,121.620033,-13.275731,-18.293625,47.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,27.285778,1.106383,37.0,3.0,15.753383,34.460693,3.793442,0.0,-0.002146,14.107654,14.107654,-0.003128
-15.083512,20220825-072344,20220825,072344,-20.16485,0.0,26.0,59.0,5.0,4.0,216.797195,0.310255,37.0,214.223389,7.990443,7.990443,223.190033,1.0,0.0,4.026127,0.0,-99900.0,3.67826,2.286,2.286,7.990443,2.979721,1.406918,24.891653,121.622353,-19.171196,-22.039677,50.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,25.182009,1.02,37.0,4.0,7.779816,53.658203,2.357478,0.0,-0.001899,14.665159,14.665159,-0.001397
-15.298726,20220825-072943,20220825,072943,-18.993271,0.0,32.0,59.0,6.0,4.0,218.85112,0.277999,37.0,275.432831,7.82299,7.82299,294.48584,1.0,0.0,2.760157,0.0,-99900.0,1.736938,2.032,2.032,7.82299,2.503448,3.203966,24.902189,121.620209,-18.08432,-19.504599,50.0,0.0,53.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,24.388426,1.06,37.0,5.0,7.01288,81.823853,1.65922,0.0,-0.001642,10.844368,10.844368,-0.000236
-13.577254,20220825-073542,20220825,073542,-17.105213,0.0,38.0,59.0,7.0,4.0,218.441116,0.227146,37.0,189.874588,7.545928,7.545928,149.267288,1.0,0.0,2.368991,0.0,-99900.0,3.038569,2.794,2.794,7.545928,2.686103,4.343679,24.91917,121.637283,-13.93775,-17.439648,48.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,21.83873,1.0625,37.0,6.0,11.459269,153.435272,1.760094,0.0,-0.000787,15.666689,15.666689,0.001574
-14.150429,20220825-074140,20220825,074140,-16.098946,0.0,44.0,59.0,8.0,2.0,221.314697,0.213734,37.0,229.577866,7.355274,7.355274,182.343063,1.0,0.0,2.744266,0.0,-99900.0,0.529966,3.048,3.048,7.355274,2.898342,3.026346,24.928219,121.631592,-12.939587,-16.746902,51.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,21.433868,1.019608,37.0,7.0,14.551764,181.949478,3.152862,0.0,0.000107,17.306337,17.306337,0.003151
-15.119494,20220825-074739,20220825,074739,-15.53821,0.0,50.0,59.0,9.0,2.0,224.217834,0.21166,37.0,207.508286,7.272446,7.272446,140.040741,1.0,0.0,3.177155,0.0,-99900.0,1.157865,3.048,3.048,7.272446,2.914147,3.782775,24.933262,121.621971,-13.743809,-15.85466,52.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,21.680292,1.0,37.0,8.0,14.944697,186.384949,3.950458,0.0,0.000439,18.809311,18.809311,0.003926
-15.460559,20220825-075338,20220825,075338,-15.337633,0.0,56.0,0.0,10.0,3.0,225.229004,0.21976,37.0,191.200043,6.887239,6.887239,162.603363,1.0,0.0,3.213269,0.0,-99900.0,1.307699,2.54,2.54,6.887239,2.703122,3.173042,24.935066,121.618584,-14.957977,-15.703196,49.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,21.777784,1.102041,37.0,9.0,10.154007,176.904999,2.832033,0.0,-0.000153,18.064108,18.064108,0.002828
