3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-33.785465,20220825-061755,20220825,061755,-70.186996,0.0,2.0,59.0,1.0,6.0,205.704834,2.841239,23.0,187.547073,7.340545,7.340545,197.32486,1.0,0.0,1.571226,0.0,-99900.0,0.0,1.778,1.778,7.340545,3.575675,2.841239,24.441795,121.437408,-33.908321,-70.15313,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,77.895264,1.0,23.0,0.0,4.955383,168.522675,-99900.0,0.0,-99900.0,7.366849,7.366849,-99900.0
-32.781624,20220825-062355,20220825,062355,-68.690643,0.0,8.0,59.0,2.0,6.0,205.512512,2.733145,23.0,133.977951,4.689782,4.689782,166.630707,1.0,0.0,0.855305,0.0,-99900.0,0.503942,1.016,1.016,4.689782,3.05839,3.682032,24.455252,121.447327,-32.180382,-68.081581,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.112015,1.021739,23.0,1.0,1.466093,213.856033,5.005202,0.0,0.002788,3.503695,3.503695,0.004157
-31.250099,20220825-062954,20220825,062954,-66.295303,0.0,14.0,59.0,3.0,7.0,205.23848,2.669643,23.0,154.157242,6.678995,6.678995,194.989792,1.0,0.0,1.702728,0.0,-99900.0,1.04742,0.762,0.762,6.678995,2.965004,3.305711,24.476793,121.462471,-31.438143,-66.722511,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.291451,1.021277,23.0,2.0,0.859907,213.083786,6.459283,0.0,0.003526,4.634378,4.634378,0.005412
-31.793579,20220825-063553,20220825,063553,-67.9142,0.0,20.0,59.0,4.0,6.0,205.086685,2.751609,23.0,120.288452,5.417943,5.417943,214.932388,1.0,0.0,1.02041,0.0,-99900.0,3.99501,0.762,0.762,5.417943,3.081,3.395584,24.462234,121.457108,-32.370487,-68.487328,44.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.987801,1.090909,23.0,3.0,1.339428,219.168884,3.308655,0.0,0.00209,3.90499,3.90499,0.002565
-30.175407,20220825-064152,20220825,064152,-67.561775,0.0,26.0,0.0,5.0,5.0,204.067535,2.665566,23.0,81.315643,5.534281,5.534281,126.801979,1.0,0.0,0.996079,0.0,-99900.0,1.037535,1.016,1.016,5.534281,3.154856,2.665566,24.465405,121.473129,-30.1686,-67.196999,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,73.994247,1.0,23.0,4.0,1.742377,233.702774,2.835466,0.0,0.002285,4.883824,4.883824,0.001679
-30.613333,20220825-064750,20220825,064750,-68.825981,0.0,32.0,59.0,6.0,9.0,203.979538,2.731652,23.0,77.454239,4.456509,4.456509,136.26265,1.0,0.0,0.595724,0.0,-99900.0,2.248629,0.508,0.508,4.456509,2.979751,3.532204,24.454035,121.468803,-30.633657,-68.751709,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.327232,1.022727,23.0,5.0,0.447759,249.641846,1.964406,0.0,0.001842,2.530018,2.530018,0.000683
-30.573141,20220825-065349,20220825,065349,-69.148979,0.0,38.0,0.0,7.0,10.0,203.852249,2.748089,23.0,56.548492,4.464352,4.464352,107.543541,1.0,0.0,0.644102,0.0,-99900.0,0.841797,0.254,0.254,4.464352,3.009701,2.748089,24.45113,121.469208,-30.540823,-69.229294,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.606209,1.0,23.0,6.0,0.127302,303.174164,1.386577,0.0,0.001161,2.260582,2.260582,-0.000759
-30.692095,20220825-065949,20220825,065949,-68.925781,0.0,44.0,0.0,8.0,13.0,204.003387,2.741973,23.0,19.545958,3.514372,3.514372,78.843086,1.0,0.0,0.308139,0.0,-99900.0,0.731071,0.0,0.0,3.514372,2.890386,2.741973,24.453136,121.468025,-30.537697,-69.068443,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.450432,1.0,23.0,7.0,0.0,341.640656,1.519671,0.0,0.000479,0.979479,0.979479,-0.001442
-29.691963,20220825-070549,20220825,070549,-69.01825,0.0,50.0,0.0,9.0,12.0,203.277954,2.725421,23.0,32.617687,4.432054,4.432054,57.2075,1.0,0.0,0.834964,0.0,-99900.0,0.931346,0.508,0.508,4.432054,3.123913,3.513936,24.452305,121.477936,-29.551859,-69.05899,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.134087,1.0,23.0,8.0,0.379897,317.811249,1.066093,0.0,0.000716,2.46335,2.46335,-0.00079
-29.967037,20220825-071147,20220825,071147,-68.840965,0.0,56.0,0.0,10.0,9.0,203.524261,2.729076,23.0,43.587997,4.403649,4.403649,72.940292,1.0,0.0,0.782192,0.0,-99900.0,0.702876,0.508,0.508,4.403649,3.099804,3.499858,24.453899,121.475204,-29.936399,-68.989998,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.080635,1.022727,23.0,9.0,0.419228,331.305359,0.611575,0.0,0.000294,2.599171,2.599171,-0.000536
-30.495226,20220825-071745,20220825,071745,-67.908653,1.0,2.0,59.0,11.0,10.0,204.183426,2.698735,23.0,63.801468,5.556128,5.556128,95.622902,1.0,0.0,1.340385,0.0,-99900.0,1.290459,0.762,0.762,5.556128,3.29746,2.698735,24.462284,121.469963,-30.20186,-68.067696,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.441544,1.0,23.0,10.0,0.834803,212.25058,0.50919,0.0,0.000272,3.544657,3.544657,0.000431
-31.030611,20220825-072344,20220825,072344,-68.240074,1.0,8.0,59.0,12.0,8.0,204.452942,2.698124,23.0,109.940186,5.592629,5.592629,114.969849,1.0,0.0,1.053418,0.0,-99900.0,0.798005,1.016,1.016,5.592629,3.277719,3.548364,24.459305,121.464668,-30.922487,-67.727005,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,74.964035,1.0,23.0,11.0,2.008753,165.816925,0.638,0.0,-0.000156,4.866188,4.866188,0.000619
-31.425632,20220825-072943,20220825,072943,-68.275291,1.0,14.0,59.0,13.0,6.0,204.715942,2.722526,23.0,114.103867,7.188493,7.188493,134.746002,1.0,0.0,2.29435,0.0,-99900.0,0.425496,1.27,1.27,7.188493,3.298553,4.474142,24.458988,121.460754,-31.295353,-68.209198,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,75.1604,1.021739,23.0,12.0,3.112134,128.446945,0.834846,0.0,-0.000654,5.556395,5.556395,0.000519
-31.8902,20220825-073542,20220825,073542,-67.370201,1.0,20.0,59.0,14.0,12.0,205.331253,2.665608,23.0,84.596947,7.071241,7.071241,115.6577,1.0,0.0,2.300767,0.0,-99900.0,0.75459,0.508,0.508,7.071241,3.354448,2.665608,24.467127,121.456146,-31.533621,-66.568504,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.536766,1.0,23.0,13.0,0.705339,121.129776,1.480072,0.0,-0.001267,4.22239,4.22239,0.000765
-32.849815,20220825-074140,20220825,074140,-69.120125,1.0,26.0,59.0,15.0,12.0,205.42009,2.771059,23.0,69.563087,5.800931,5.800931,122.71978,1.0,0.0,1.286109,0.0,-99900.0,2.086158,0.508,0.508,5.800931,3.214371,3.609708,24.451389,121.446663,-32.955608,-68.730774,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.529091,1.022727,23.0,14.0,0.517766,90.56131,1.512844,0.0,-0.001513,3.135131,3.135131,1.5e-05
