3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-98.797684,20220825-074140,20220825,074140,-104.898041,0.0,2.0,59.0,1.0,5.0,223.284912,5.8723,54.0,120.216927,7.391765,7.391765,106.449135,1.0,0.0,0.759205,0.0,-99900.0,0.0,2.286,2.286,7.391765,5.989913,5.8723,24.129635,120.794785,-98.798218,-104.877228,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,144.099213,1.0,54.0,0.0,7.970754,128.121674,-99900.0,0.0,-99900.0,3.399054,3.399054,-99900.0
-100.401917,20220825-074739,20220825,074739,-103.729462,0.0,8.0,59.0,2.0,8.0,224.066422,5.87685,54.0,138.549286,9.219357,9.219357,230.890503,1.0,0.0,1.320097,0.0,-99900.0,1.499614,1.27,1.27,9.219357,6.303585,5.87685,24.140144,120.778877,-100.065598,-103.794891,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.361862,1.0,54.0,1.0,2.589323,126.070908,5.528504,0.0,-0.004469,3.440133,3.440133,0.003255
-100.347298,20220825-075338,20220825,075338,-103.802635,0.0,14.0,59.0,3.0,7.0,224.030655,5.872866,54.0,186.436615,9.36098,9.36098,288.577332,1.0,0.0,1.232807,0.0,-99900.0,2.07214,1.524,1.524,9.36098,6.20571,5.872866,24.139486,120.779419,-100.108864,-103.642609,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,144.37648,1.0,54.0,2.0,4.16192,125.256088,2.643027,0.0,-0.002158,3.649258,3.649258,0.001526
-98.611343,20220825-075937,20220825,075937,-105.18531,0.0,20.0,59.0,4.0,4.0,223.15274,5.872681,54.0,276.295532,7.461365,7.461365,339.573792,1.0,0.0,0.474475,0.0,-99900.0,3.167067,2.286,2.286,7.461365,5.980052,5.872681,24.12705,120.796638,-98.443253,-105.220917,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,144.180954,1.0,54.0,3.0,8.0794,326.722656,0.311524,0.0,0.000171,3.272496,3.272496,-0.00026
-97.473663,20220825-080536,20220825,080536,-104.516777,0.0,26.0,59.0,5.0,10.0,223.003311,5.805567,54.0,92.572609,7.429652,7.429652,276.280151,1.0,0.0,0.505365,0.0,-99900.0,1.318768,0.762,0.762,7.429652,5.93218,5.805567,24.133062,120.807869,-97.191437,-104.553497,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.915604,1.0,54.0,4.0,0.860963,278.87793,1.251378,0.0,0.001236,1.620812,1.620812,-0.000193
-93.682976,20220825-081135,20220825,081135,-106.304436,0.0,32.0,59.0,6.0,4.0,221.389114,5.751656,54.0,110.201881,7.300362,7.300362,152.100266,1.0,0.0,0.617564,0.0,-99900.0,3.762166,1.524,1.524,7.300362,5.786884,5.751656,24.116987,120.845421,-93.660194,-106.291298,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,141.693802,1.0,54.0,5.0,3.707261,286.623932,2.997908,0.0,0.002873,2.17476,2.17476,-0.000858
-93.104393,20220825-081735,20220825,081735,-105.981285,0.0,38.0,59.0,7.0,6.0,221.299576,5.71745,54.0,104.89003,7.36057,7.36057,133.149155,1.0,0.0,0.702049,0.0,-99900.0,0.779004,1.524,1.524,7.36057,5.769393,5.71745,24.119892,120.851135,-93.024139,-105.934967,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,141.069,1.0,54.0,6.0,3.726846,287.434509,4.804525,0.0,0.004584,2.169279,2.169279,-0.00144
-94.994522,20220825-082334,20220825,082334,-104.989456,0.0,41.0,0.0,8.0,14.0,222.139145,5.741824,54.0,80.370476,7.357049,7.357049,271.181763,1.0,0.0,0.47021,0.0,-99900.0,3.84411,0.0,0.0,7.357049,5.825479,5.741824,24.128813,120.832405,-94.860489,-104.955391,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.586533,1.0,54.0,7.0,0.0,282.118591,3.829175,0.0,0.003744,1.1866,1.1866,-0.000804
-83.675285,20220825-082933,20220825,082933,-102.539619,0.0,2.0,59.0,1.0,4.0,219.215759,5.291708,54.0,145.338684,6.719149,6.719149,148.368271,1.0,0.0,0.554233,0.0,-99900.0,10.344254,2.032,2.032,6.719149,5.352939,5.291708,24.150843,120.94429,-83.637024,-102.530891,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,50.0,50.0,0.0,0.0,132.347748,1.0,54.0,0.0,6.025119,261.653107,6.646452,0.0,0.006576,2.798044,2.798044,0.000965
-82.769318,20220825-083532,20220825,083532,-103.318817,0.0,8.0,59.0,2.0,1.0,218.698761,5.295196,54.0,396.000977,8.28994,8.28994,250.762054,1.0,0.0,0.933379,0.0,-99900.0,1.839417,3.048,3.048,8.28994,5.371322,5.295196,24.143835,120.953278,-82.771957,-103.322517,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,132.384064,1.0,54.0,1.0,15.209644,259.808075,8.213711,0.0,0.008084,4.85441,4.85441,0.001453
-79.599045,20220825-084131,20220825,084131,-104.133156,0.0,14.0,0.0,3.0,3.0,217.394501,5.2345,54.0,132.93721,6.554755,6.554755,97.514694,1.0,0.0,0.691579,0.0,-99900.0,1.362734,2.286,2.286,6.554755,5.331577,5.2345,24.136513,120.984657,-79.550339,-104.253105,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,60.0,60.0,0.0,0.0,131.071442,1.0,54.0,2.0,7.878122,259.302826,9.126852,0.0,0.008968,3.260046,3.260046,0.001694
