3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-93.676727,20220825-073542,20220825,073542,-119.339355,0.0,2.0,59.0,1.0,2.0,218.130859,6.259047,52.0,179.873291,7.834234,7.834234,140.992294,1.0,0.0,0.700949,0.0,-99900.0,0.0,3.556,3.556,7.834234,6.364962,6.259047,23.99976,120.845917,-93.683449,-119.351707,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,10.0,10.0,151.714249,1.0,52.0,0.0,18.056692,80.914734,-99900.0,0.0,-99900.0,4.652854,4.652854,-99900.0
-96.902847,20220825-074140,20220825,074140,-117.416718,0.0,8.0,59.0,2.0,8.0,219.532837,6.28049,52.0,104.859421,7.908484,7.908484,167.934601,1.0,0.0,0.791766,0.0,-99900.0,3.449153,1.778,1.778,7.908484,6.538671,6.28049,24.017052,120.813957,-96.872696,-117.322472,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,70.0,70.0,0.0,0.0,152.239441,1.0,52.0,1.0,4.563617,120.793259,10.490555,0.0,-0.009012,3.027744,3.027744,0.005371
-95.69561,20220825-074739,20220825,074739,-118.916466,0.0,14.0,0.0,3.0,3.0,218.824997,6.30476,52.0,334.715027,9.804252,9.804252,376.470703,1.0,0.0,1.096929,0.0,-99900.0,5.611107,3.048,3.048,9.804252,6.541968,6.30476,24.003563,120.825943,-95.593689,-118.975853,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,0.0,0.0,152.639359,1.0,52.0,2.0,13.681618,101.798904,2.873586,0.0,-0.002813,5.028463,5.028463,0.000588
-95.117485,20220825-075338,20220825,075338,-125.357071,0.0,20.0,59.0,4.0,2.0,217.190552,6.532556,52.0,259.922363,10.566479,10.566479,348.167969,1.0,0.0,1.300814,0.0,-99900.0,6.838471,2.794,2.794,10.566479,6.806364,6.532556,23.945642,120.831871,-95.145309,-124.94249,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,90.0,90.0,0.0,0.0,157.358612,1.0,52.0,3.0,11.034002,9.027557,5.522619,0.0,-0.000867,4.539412,4.539412,-0.005454
-93.891823,20220825-075937,20220825,075937,-122.270439,0.0,26.0,59.0,5.0,2.0,217.521103,6.382944,52.0,351.34964,8.006804,8.006804,294.374756,1.0,0.0,0.554628,0.0,-99900.0,5.273569,3.048,3.048,8.006804,6.532249,6.382944,23.9734,120.843887,-93.836861,-122.292755,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,80.0,80.0,0.0,0.0,154.161392,1.0,52.0,4.0,13.702496,354.375183,3.866611,0.0,0.000379,4.1475,4.1475,-0.003848
-95.645126,20220825-080536,20220825,080536,-121.20742,0.0,32.0,59.0,6.0,6.0,218.277405,6.391116,52.0,237.431046,9.908596,9.908596,497.56427,1.0,0.0,0.980827,0.0,-99900.0,3.0895,1.27,1.27,9.908596,6.796255,6.391116,23.98296,120.826515,-95.432701,-121.253838,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,154.399567,1.0,52.0,5.0,3.135919,0.420349,2.416171,0.0,-1.8e-05,3.346279,3.346279,-0.002416
-95.167976,20220825-081135,20220825,081135,-118.212074,0.0,38.0,59.0,7.0,9.0,218.836533,6.259212,52.0,276.296967,9.766848,9.766848,580.200378,1.0,0.0,0.779689,0.0,-99900.0,3.892868,0.762,0.762,9.766848,6.488174,6.259212,24.009899,120.831131,-94.969666,-118.334938,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.759811,1.0,52.0,6.0,1.007059,307.679962,1.010765,0.0,0.0008,2.978847,2.978847,-0.000618
-88.055397,20220825-081735,20220825,081735,-118.2668,0.0,44.0,59.0,8.0,9.0,216.669815,6.043985,52.0,76.110489,7.555092,7.555092,143.770218,1.0,0.0,0.681491,0.0,-99900.0,6.826653,1.016,1.016,7.555092,6.175786,6.043985,24.009405,120.901451,-87.890533,-118.449821,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.447586,1.0,52.0,7.0,1.678709,234.660645,3.541555,0.0,0.002889,1.971603,1.971603,0.002048
-89.424583,20220825-082334,20220825,082334,-116.636208,0.0,50.0,59.0,9.0,9.0,217.477585,6.016548,52.0,123.262344,7.578379,7.578379,320.364441,1.0,0.0,0.419335,0.0,-99900.0,2.567448,0.508,0.508,7.578379,6.092445,6.016548,24.024071,120.887863,-89.404991,-116.627213,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,146.97197,1.0,52.0,8.0,0.379773,218.410599,5.948605,0.0,0.003696,1.81933,1.81933,0.004661
-90.152145,20220825-082933,20220825,082933,-116.415771,0.0,53.0,0.0,10.0,15.0,217.754456,6.033031,52.0,100.964302,7.550669,7.550669,546.818665,1.0,0.0,0.317216,0.0,-99900.0,2.516229,0.0,0.0,7.550669,6.180434,6.033031,24.026052,120.880661,-90.235573,-116.399101,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.24144,1.0,52.0,9.0,0.0,226.021027,4.916822,0.0,0.003538,1.226022,1.226022,0.003414
