3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-75.2752,20220825-063553,20220825,063553,-54.375866,0.0,2.0,59.0,1.0,8.0,234.15741,2.016952,29.0,13.026905,2.668809,2.668809,38.85799,1.0,0.0,0.320413,0.0,-99900.0,0.0,0.0,0.0,2.668809,2.218397,2.668809,24.58399,121.026093,-75.043655,-54.638203,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.860596,1.081081,29.0,0.0,0.0,204.431442,-99900.0,0.0,-99900.0,0.775195,0.775195,-99900.0
-74.207123,20220825-064152,20220825,064152,-53.144161,0.0,8.0,59.0,2.0,8.0,234.391571,1.978696,29.0,41.823517,2.588669,2.588669,46.326759,1.0,0.0,0.302476,0.0,-99900.0,1.147853,0.0,0.0,2.588669,2.104831,1.978696,24.595066,121.036636,-74.317108,-53.282101,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.274307,1.0,29.0,1.0,0.0,220.930313,4.541333,0.0,0.002975,1.635882,1.635882,0.003431
-73.031891,20220825-064750,20220825,064750,-53.258053,0.0,14.0,59.0,3.0,7.0,233.899139,1.316934,29.0,82.852524,3.384798,3.384798,56.971825,1.0,0.0,0.879964,0.0,-99900.0,1.346702,0.508,0.508,3.384798,2.158842,2.579162,24.594042,121.048286,-72.806396,-53.420696,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.388481,1.020833,29.0,2.0,0.723131,243.500336,3.495993,0.0,0.003129,7.468483,7.468483,0.00156
-72.964096,20220825-065349,20220825,065349,-52.560158,0.0,20.0,59.0,4.0,7.0,234.232971,1.298105,29.0,157.653824,6.853074,6.853074,126.450272,1.0,0.0,2.777484,0.0,-99900.0,1.064375,1.778,1.778,6.853074,2.911205,3.356427,24.600319,121.048943,-72.432884,-52.364361,49.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,89.924019,1.040816,29.0,3.0,4.662618,236.657806,2.706461,0.0,0.002261,12.817435,12.817435,0.001488
-72.649979,20220825-065949,20220825,065949,-51.668293,0.0,26.0,59.0,5.0,6.0,234.580048,1.286019,29.0,161.494431,8.637056,8.637056,153.286621,1.0,0.0,2.900721,0.0,-99900.0,0.613854,2.032,2.032,8.637056,3.029554,3.310973,24.608339,121.052032,-72.511612,-51.229351,49.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,89.14949,1.040816,29.0,4.0,6.010739,227.253021,2.463103,0.0,0.001809,14.161612,14.161612,0.001672
-71.744095,20220825-070549,20220825,070549,-50.401649,0.0,32.0,0.0,6.0,10.0,234.911484,1.26267,29.0,161.802826,8.218082,8.218082,148.760223,1.0,0.0,2.879814,0.0,-99900.0,0.7119,1.27,1.27,8.218082,2.504625,1.26267,24.61973,121.060974,-71.695305,-50.377907,54.0,0.0,54.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,87.678627,1.0,29.0,5.0,2.468949,221.84613,2.670097,0.0,0.001781,15.88436,15.88436,0.001989
-70.711769,20220825-071147,20220825,071147,-48.838085,0.0,38.0,0.0,7.0,10.0,235.368835,1.226813,29.0,100.836143,6.407158,6.407158,118.781204,1.0,0.0,2.820984,0.0,-99900.0,0.938479,0.254,0.254,6.407158,2.162419,1.845665,24.633791,121.071167,-70.744247,-48.601048,47.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.937843,1.106383,29.0,6.0,0.234227,214.936218,3.007366,0.0,0.001722,8.746825,8.746825,0.002465
-69.315132,20220825-071745,20220825,071745,-47.914261,0.0,44.0,0.0,8.0,9.0,235.346024,1.210875,29.0,90.860367,4.996983,4.996983,123.730446,1.0,0.0,1.604705,0.0,-99900.0,0.78117,1.016,1.016,4.996983,2.485584,3.07518,24.642099,121.084984,-70.181244,-47.999313,44.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.263657,1.090909,29.0,7.0,1.852825,213.830978,3.749616,0.0,0.002088,7.334636,7.334636,0.003115
-68.225388,20220825-072344,20220825,072344,-46.17189,0.0,50.0,0.0,9.0,9.0,235.911896,1.156319,29.0,92.078773,7.740417,7.740417,188.362503,1.0,0.0,2.126855,0.0,-99900.0,0.710916,0.508,0.508,7.740417,2.63373,1.731809,24.65777,121.095749,-68.276047,-45.842751,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.380501,1.022222,29.0,8.0,0.746938,217.800766,4.510289,0.0,0.002764,7.480654,7.480654,0.003564
-67.394402,20220825-072943,20220825,072943,-44.67379,0.0,56.0,0.0,10.0,11.0,236.461044,1.130615,29.0,87.123322,6.015146,6.015146,145.109299,1.0,0.0,1.431067,0.0,-99900.0,0.271836,0.254,0.254,6.015146,2.048435,1.130615,24.671242,121.103943,-67.774971,-44.187607,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.856369,1.0,29.0,9.0,0.318684,218.196701,4.92497,0.0,0.003045,6.568464,6.568464,0.00387
