3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-9.190166,20210530-040714,20210530,040714,31.444004,0.0,3.0,0.0,1.0,16.0,343.707947,0.372107,80.0,61.983261,4.164758,4.164758,139.787262,1.0,0.0,0.920154,0.0,-99900.0,0.0,0.0,0.0,4.164758,1.384645,0.372107,25.355783,121.680649,-8.657327,32.912846,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.759495,1.0,80.0,0.0,0.0,265.514038,-99900.0,0.0,-99900.0,3.121324,3.121324,-99900.0
-5.865336,20210530-041315,20210530,041315,29.637987,0.0,9.0,1.0,2.0,21.0,348.805878,0.574255,80.0,41.13575,3.834652,3.834652,107.746727,1.0,0.0,1.772548,0.0,-99900.0,2.618654,0.0,0.0,3.834652,1.943853,0.966431,25.33954,121.713707,-6.800664,31.537037,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.212786,1.04878,80.0,1.0,0.019538,298.510406,10.481128,0.0,0.00921,3.713202,3.713202,-0.005003
-1.59418,20210530-041916,20210530,041916,29.606943,0.0,15.0,0.0,3.0,22.0,356.917908,0.33069,80.0,44.406075,3.78369,3.78369,101.866867,1.0,0.0,1.322545,0.0,-99900.0,2.011483,0.0,0.0,3.78369,1.571345,0.995884,25.339262,121.756157,-3.336442,30.649046,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.649832,1.071429,80.0,2.0,0.015098,283.595703,10.824076,0.0,0.010521,4.140726,4.140726,-0.002544
2.992347,20210530-042516,20210530,042516,30.254812,0.0,21.0,0.0,4.0,29.0,5.648447,0.324555,80.0,35.263405,3.829318,3.829318,108.42527,1.0,0.0,1.228922,0.0,-99900.0,1.756168,0.0,0.0,3.829318,1.537286,0.324555,25.345089,121.80175,1.212539,30.322578,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.402431,1.0,80.0,3.0,0.0,275.042725,11.360062,0.0,0.011316,2.824134,2.824134,-0.000999
14.660381,20210530-043718,20210530,043718,36.683933,0.0,33.0,0.0,5.0,35.0,21.783594,0.443294,80.0,25.643822,3.920278,3.920278,78.581894,1.0,0.0,1.379799,0.0,-99900.0,7.95978,0.0,0.0,3.920278,1.495385,0.443294,25.402906,121.917763,12.898798,37.135555,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.504906,1.0,80.0,4.0,0.0,257.107788,13.645336,0.0,0.013301,2.552456,2.552456,0.003045
20.152203,20210530-044319,20210530,044319,38.705048,0.0,39.0,0.0,6.0,43.0,27.504164,1.520655,80.0,44.66798,3.840727,3.840727,182.124741,1.0,0.0,0.527653,0.0,-99900.0,1.151654,0.0,0.0,3.840727,2.145069,2.466587,25.421083,121.972374,20.498789,39.328938,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.637047,1.0,80.0,5.0,0.0,253.798767,14.434909,0.0,0.013862,2.080315,2.080315,0.004028
24.493404,20210530-044920,20210530,044920,40.516174,0.0,45.0,0.0,7.0,21.0,31.154316,1.206705,80.0,40.332382,4.188541,4.188541,107.78566,1.0,0.0,1.247738,0.0,-99900.0,0.752975,0.0,0.0,4.188541,1.910501,2.18424,25.43737,122.015556,23.982075,40.304901,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,47.344349,1.047619,80.0,6.0,0.034646,248.616104,15.54485,0.0,0.014475,3.23443,3.23443,0.005668
30.852211,20210530-045521,20210530,045521,41.985882,0.0,51.0,0.0,8.0,31.0,36.309235,0.60478,80.0,40.179279,3.817506,3.817506,136.332275,1.0,0.0,1.614229,0.0,-99900.0,1.271578,0.0,0.0,3.817506,2.062025,0.962954,25.450588,122.078804,27.46377,42.2761,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.102528,1.0,80.0,7.0,0.0,247.528519,16.230295,0.0,0.014998,3.151294,3.151294,0.006204
37.167366,20210530-050121,20210530,050121,42.867016,0.0,57.0,1.0,9.0,43.0,40.926464,1.508936,80.0,42.211227,3.95465,3.95465,161.4543,1.0,0.0,0.607122,0.0,-99900.0,1.633161,0.0,0.0,3.95465,1.941129,1.508936,25.458513,122.141617,37.242119,43.371777,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.736179,1.0,80.0,8.0,0.0,249.576172,16.552593,0.0,0.015512,1.207219,1.207219,0.005776
43.697926,20210530-050722,20210530,050722,42.603172,1.0,0.0,0.0,10.0,51.0,45.726665,2.178756,80.0,27.072716,3.414863,3.414863,107.925522,1.0,0.0,0.519269,0.0,-99900.0,2.526718,0.0,0.0,3.414863,2.38592,2.732069,25.456141,122.206551,44.001514,43.02766,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.029003,1.0,80.0,9.0,0.0,257.866425,16.410648,0.0,0.016044,1.063715,1.063715,0.003449
47.509521,20210530-051323,20210530,051323,43.228252,0.0,3.0,0.0,1.0,38.0,47.701263,1.27252,80.0,30.600563,3.827866,3.827866,116.319145,1.0,0.0,0.959004,0.0,-99900.0,2.075131,0.0,0.0,3.827866,1.95617,1.709348,25.461761,122.244469,46.57235,43.994209,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.232674,1.0,80.0,0.0,0.0,261.566467,16.070478,0.0,0.015897,1.771704,1.771704,0.002357
54.136299,20210530-051924,20210530,051924,43.12714,0.0,6.0,0.0,2.0,45.0,51.457649,1.879332,80.0,40.746304,4.065616,4.065616,148.732178,1.0,0.0,0.691556,0.0,-99900.0,1.301885,0.0,0.0,4.065616,2.422161,2.484452,25.460854,122.310364,53.966766,43.253902,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.214806,1.0,80.0,1.0,0.0,265.387482,16.265074,0.0,0.016212,1.491308,1.491308,0.001308
58.491608,20210530-052526,20210530,052526,43.490646,0.0,3.0,1.0,1.0,23.0,53.367725,2.001918,80.0,21.925093,2.615795,2.615795,38.61322,1.0,0.0,0.341982,0.0,-99900.0,1.517571,0.0,0.0,2.615795,2.126405,2.615795,25.464121,122.353683,58.700848,43.401569,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.888298,1.071429,80.0,0.0,0.0,267.350281,15.284107,0.0,0.015268,1.388385,1.388385,0.000707
64.821487,20210530-053128,20210530,053128,44.650173,0.0,9.0,0.0,2.0,23.0,55.440121,1.0343,80.0,60.006664,4.558111,4.558111,177.671494,1.0,0.0,1.641994,0.0,-99900.0,1.208916,0.0,0.0,4.558111,2.490371,1.552664,25.47455,122.416664,61.47715,44.357052,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.711266,1.02381,80.0,1.0,0.0,266.528931,14.992628,0.0,0.014965,3.545849,3.545849,0.000908
69.514145,20210530-053729,20210530,053729,45.274544,0.0,15.0,0.0,3.0,18.0,56.923679,1.127996,80.0,79.084282,3.882813,3.882813,214.305649,1.0,0.0,0.443404,0.0,-99900.0,0.769268,0.0,0.0,3.882813,1.96469,1.774466,25.480165,122.463348,66.949928,45.184673,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.957825,1.0,80.0,2.0,0.014689,264.457611,14.72058,0.0,0.014652,3.488935,3.488935,0.001422
72.253296,20210530-054331,20210530,054331,45.73576,0.0,21.0,0.0,4.0,23.0,57.666382,1.191861,80.0,34.523552,4.143967,4.143967,63.433678,1.0,0.0,1.44048,0.0,-99900.0,2.565346,0.0,0.0,4.143967,2.284179,1.191861,25.484312,122.490601,70.526138,45.740078,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.511978,1.0,80.0,3.0,0.060559,263.478394,14.010213,0.0,0.01392,3.806965,3.806965,0.001591
77.03466,20210530-054933,20210530,054933,44.905899,0.0,27.0,0.0,5.0,11.0,59.76062,1.255679,80.0,59.735893,4.360427,4.360427,121.168022,1.0,0.0,1.381595,0.0,-99900.0,1.429281,0.254,0.254,4.360427,2.298871,2.596535,25.476851,122.538132,74.995422,44.642117,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.167702,1.02381,80.0,4.0,0.090314,264.216858,12.739125,0.0,0.012674,4.110232,4.110232,0.001284
81.184731,20210530-055534,20210530,055534,44.375202,0.0,33.0,1.0,6.0,12.0,61.339039,1.345936,80.0,66.03685,3.627901,3.627901,201.775528,1.0,0.0,0.499421,0.0,-99900.0,1.081266,0.0,0.0,3.627901,1.900146,1.345936,25.472078,122.579391,80.234871,44.429867,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.520912,1.0,80.0,5.0,0.0,267.882385,12.084105,0.0,0.012076,2.71702,2.71702,0.000447
85.574814,20210530-060135,20210530,060135,43.850178,0.0,39.0,0.0,7.0,14.0,62.868378,1.424949,80.0,69.252434,3.768131,3.768131,207.624924,1.0,0.0,0.495703,0.0,-99900.0,0.686905,0.0,0.0,3.768131,1.86509,1.424949,25.467356,122.623032,84.790298,43.943947,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.155533,1.0,80.0,6.0,0.0,273.001221,11.362176,0.0,0.011347,2.909113,2.909113,-0.000595
90.29541,20210530-060736,20210530,060736,43.516815,0.0,45.0,1.0,8.0,14.0,64.268654,1.509389,80.0,70.67997,3.916386,3.916386,222.630554,1.0,0.0,1.007689,0.0,-99900.0,0.635637,0.0,0.0,3.916386,2.045858,3.916386,25.464357,122.669968,89.559364,43.241867,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.234596,1.0,80.0,7.0,0.072638,275.776764,11.762471,0.0,0.011703,3.217721,3.217721,-0.001184
96.311935,20210530-061337,20210530,061337,42.759621,0.0,51.0,0.0,9.0,10.0,66.060059,1.604787,80.0,69.679726,4.153202,4.153202,145.519241,1.0,0.0,0.896036,0.0,-99900.0,1.821938,0.254,0.254,4.153202,2.437474,1.604787,25.457548,122.729774,94.790916,42.313541,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.377296,1.0,80.0,8.0,0.130608,276.78714,13.103233,0.0,0.013011,4.088381,4.088381,-0.001549
100.624771,20210530-061938,20210530,061938,44.113052,0.0,57.0,0.0,10.0,26.0,66.327606,1.718067,80.0,82.121452,4.31086,4.31086,198.330597,1.0,0.0,0.923774,0.0,-99900.0,1.950687,0.0,0.0,4.31086,2.70234,1.718067,25.469721,122.772713,100.243195,42.388206,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.869499,1.0,80.0,9.0,0.076505,273.114594,13.320244,0.0,0.013301,4.103714,4.103714,-0.000724
105.678169,20210530-062539,20210530,062539,43.507427,1.0,3.0,1.0,11.0,23.0,67.623001,1.822948,80.0,107.873566,4.507064,4.507064,188.135284,1.0,0.0,0.737538,0.0,-99900.0,0.426651,0.0,0.0,4.507064,2.538525,1.822948,25.464273,122.822945,104.744179,43.373909,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.28373,1.0,80.0,10.0,0.057038,271.421082,13.746498,0.0,0.013742,4.714911,4.714911,-0.000341
109.221626,20210530-063140,20210530,063140,46.599453,1.0,9.0,0.0,12.0,17.0,66.89431,1.945085,80.0,264.043213,4.701366,4.701366,476.290131,1.0,0.0,0.417746,0.0,-99900.0,3.51371,0.254,0.254,4.701366,2.393856,1.945085,25.492081,122.858307,108.487923,47.693459,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,118.747093,1.0,80.0,11.0,0.185396,264.894592,13.404612,0.0,0.013351,5.057025,5.057025,0.001193
115.35247,20210530-063741,20210530,063741,40.986828,1.0,15.0,0.0,13.0,17.0,70.438782,2.881722,80.0,100.293167,4.895286,4.895286,207.15802,1.0,0.0,0.704601,0.0,-99900.0,6.183805,0.254,0.254,4.895286,3.289431,3.767882,25.441607,122.919052,114.967117,40.829212,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.417778,1.0,80.0,12.0,0.165258,270.588318,13.381622,0.0,0.013381,2.264909,2.264909,-0.000137
119.990906,20210530-064343,20210530,064343,43.739265,1.0,21.0,0.0,14.0,10.0,69.971947,2.173003,80.0,275.232941,5.049252,5.049252,491.859894,1.0,0.0,0.460012,0.0,-99900.0,2.8097,0.508,0.508,5.049252,2.639682,2.173003,25.46636,122.965294,119.738281,44.490879,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.714294,1.0,80.0,13.0,0.410942,270.478424,13.14309,0.0,0.013143,6.062559,6.062559,-0.00011
124.488464,20210530-064944,20210530,064944,42.711948,1.0,27.0,0.0,15.0,3.0,71.062752,2.274325,80.0,174.707733,5.220373,5.220373,323.511292,1.0,0.0,0.675969,0.0,-99900.0,1.018097,0.508,0.508,5.220373,2.821648,3.189284,25.457121,123.009972,124.404007,43.232224,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,131.611877,1.0,80.0,14.0,0.49933,274.04892,13.352011,0.0,0.013319,5.96163,5.96163,-0.000943
128.576797,20210530-065544,20210530,065544,41.979137,1.0,33.0,0.0,16.0,2.0,71.918449,2.36664,80.0,289.300598,5.455989,5.455989,419.872803,1.0,0.0,1.349732,0.0,-99900.0,0.808557,1.016,1.016,5.455989,2.812334,3.292165,25.450531,123.050598,128.485535,42.227654,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.256195,1.022222,80.0,15.0,1.815906,275.728851,13.115226,0.0,0.01305,7.507532,7.507532,-0.001309
134.02034,20210530-070145,20210530,070145,40.209705,1.0,39.0,0.0,17.0,2.0,73.299171,2.47527,80.0,129.178314,5.742589,5.742589,134.045898,1.0,0.0,1.401711,0.0,-99900.0,1.489441,1.016,1.016,5.742589,3.325887,3.460138,25.434618,123.104637,133.509338,39.887722,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,139.922379,1.0,80.0,16.0,2.088267,280.11261,13.519674,0.0,0.01331,8.597671,8.597671,-0.002374
139.289398,20210530-070746,20210530,070746,40.181801,1.0,45.0,0.0,18.0,4.0,73.908188,2.614511,80.0,148.756256,4.691153,4.691153,145.056763,1.0,0.0,0.819443,0.0,-99900.0,0.950198,0.508,0.508,4.691153,3.098115,2.614511,25.434368,123.157036,138.928848,39.634937,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.96936,1.0,80.0,17.0,0.768999,275.281952,13.187296,0.0,0.013131,7.376739,7.376739,-0.001214
144.648651,20210530-071347,20210530,071347,40.16563,1.0,51.0,1.0,19.0,5.0,74.481064,2.764605,80.0,184.410645,4.906922,4.906922,260.315521,1.0,0.0,0.512193,0.0,-99900.0,0.749083,0.508,0.508,4.906922,3.070379,2.764605,25.434221,123.21032,144.381561,40.17815,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,150.121643,1.0,80.0,18.0,0.598515,278.936615,13.880251,0.0,0.013712,6.685903,6.685903,-0.002156
149.902328,20210530-071948,20210530,071948,39.780243,1.0,57.0,1.0,20.0,11.0,75.13755,2.907692,80.0,160.043961,5.180243,5.180243,234.448608,1.0,0.0,0.547518,0.0,-99900.0,0.496683,0.254,0.254,5.180243,3.095266,2.907692,25.430756,123.262543,149.693451,39.782257,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,155.090866,1.0,80.0,19.0,0.354322,276.359833,14.384412,0.0,0.014296,5.849535,5.849535,-0.001593
155.231369,20210530-072550,20210530,072550,39.253445,2.0,3.0,0.0,21.0,28.0,75.808884,3.052478,80.0,100.106071,4.21745,4.21745,194.215988,1.0,0.0,0.342787,0.0,-99900.0,0.161851,0.0,0.0,4.21745,3.277883,3.052478,25.42602,123.315498,155.012451,39.060184,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.117493,1.0,80.0,20.0,0.054761,274.583221,14.78446,0.0,0.014737,3.77555,3.77555,-0.001181
160.520004,20210530-073151,20210530,073151,38.558971,2.0,9.0,0.0,22.0,32.0,76.492554,3.188288,80.0,55.297016,5.630052,5.630052,140.266617,1.0,0.0,0.965611,0.0,-99900.0,0.269838,0.0,0.0,5.630052,3.586588,3.188288,25.419773,123.368042,159.998154,37.881744,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,165.086243,1.0,80.0,21.0,0.031275,273.523132,14.70611,0.0,0.014678,3.833307,3.833307,-0.000904
