3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-86.901161,20210530-060736,20210530,060736,-50.136353,0.0,3.0,0.0,1.0,16.0,240.018127,1.526393,7.0,50.238956,2.925278,2.925278,96.305969,1.0,0.0,0.708353,0.0,-99900.0,0.0,0.0,0.0,2.925278,1.708088,2.925278,24.622116,120.910751,-86.56913,-50.528793,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.326797,1.0,7.0,0.0,0.008192,263.424377,-99900.0,0.0,-99900.0,2.554131,2.554131,-99900.0
-80.015007,20210530-061337,20210530,061337,-51.725712,0.0,9.0,0.0,2.0,1.0,237.119629,1.447537,7.0,323.700226,5.681456,5.681456,436.626434,1.0,0.0,1.143885,0.0,-99900.0,2.818918,1.27,1.27,5.681456,2.58338,4.549284,24.607822,120.979042,-81.776993,-51.359333,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,95.278282,1.045455,7.0,1.0,2.317878,282.996582,19.576773,0.0,0.019075,7.484111,7.484111,-0.004403
-76.07206,20210530-061938,20210530,061938,-51.372906,0.0,15.0,0.0,3.0,1.0,235.968384,1.358956,7.0,160.252182,6.859642,6.859642,140.721054,1.0,0.0,2.130406,0.0,-99900.0,3.526276,1.778,1.778,6.859642,3.00566,3.444842,24.610996,121.018112,-77.619553,-50.028183,47.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,91.793976,1.042553,7.0,2.0,4.599888,276.514252,15.096238,0.0,0.014999,10.883705,10.883705,-0.001713
-72.82135,20210530-062539,20210530,062539,-51.187618,0.0,21.0,0.0,4.0,5.0,234.896133,1.321115,7.0,197.220642,8.377736,8.377736,299.96347,1.0,0.0,2.522189,0.0,-99900.0,2.308236,0.508,0.508,8.377736,2.933927,2.497352,24.612661,121.050323,-75.808502,-49.442638,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.011917,1.0,7.0,3.0,0.647146,273.470764,12.816431,0.0,0.012793,9.545215,9.545215,-0.000776
-71.749649,20210530-063140,20210530,063140,-49.946575,0.0,27.0,0.0,5.0,6.0,235.157623,1.253378,7.0,290.246948,8.120349,8.120349,571.745544,1.0,0.0,1.177099,0.0,-99900.0,3.858998,0.508,0.508,8.120349,2.392464,1.885928,24.623823,121.060913,-71.997246,-49.128399,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.422379,1.0,7.0,4.0,0.625076,268.598083,10.390013,0.0,0.010387,7.387165,7.387165,0.000254
-68.556007,20210530-063741,20210530,063741,-49.226334,0.0,33.0,0.0,6.0,7.0,234.320221,1.216285,7.0,186.422745,6.224846,6.224846,323.814728,1.0,0.0,1.189,0.0,-99900.0,0.839137,0.508,0.508,6.224846,2.378091,2.380163,24.630301,121.092545,-70.097649,-48.603085,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.398804,1.0,7.0,5.0,0.539396,265.19278,9.512895,0.0,0.009479,6.480913,6.480913,0.000797
-61.067432,20210530-064343,20210530,064343,-46.663658,0.0,39.0,0.0,7.0,3.0,232.615646,1.047935,7.0,104.591972,5.884061,5.884061,208.141541,1.0,0.0,1.446145,0.0,-99900.0,4.650898,0.508,0.508,5.884061,2.878176,3.63864,24.653347,121.166702,-62.937405,-43.56036,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.855247,1.045455,7.0,6.0,0.770705,254.423752,9.721745,0.0,0.009365,6.403683,6.403683,0.00261
-54.061878,20210530-064944,20210530,064944,-47.492615,0.0,45.0,1.0,8.0,12.0,228.701447,2.626658,7.0,59.888546,5.192396,5.192396,133.18721,1.0,0.0,1.011566,0.0,-99900.0,4.034543,0.254,0.254,5.192396,3.188776,2.626658,24.645891,121.23616,-53.961781,-48.728683,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.959953,1.0,7.0,7.0,0.143036,257.216919,12.045857,0.0,0.011747,2.564594,2.564594,0.002665
-48.196106,20210530-065544,20210530,065544,-42.729668,0.0,51.0,0.0,9.0,9.0,228.440781,0.737772,7.0,34.463821,6.203035,6.203035,83.9533,1.0,0.0,2.484496,0.0,-99900.0,4.14067,0.508,0.508,6.203035,2.927335,3.901729,24.688725,121.29422,-44.986874,-37.901257,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.410324,1.073171,7.0,8.0,0.473691,254.13327,15.108192,0.0,0.014533,4.124344,4.124344,0.004131
-44.404156,20210530-070145,20210530,070145,-43.848663,0.0,57.0,1.0,10.0,16.0,225.360947,2.2047,7.0,55.308331,5.908525,5.908525,112.225082,1.0,0.0,1.883572,0.0,-99900.0,2.987947,0.254,0.254,5.908525,2.853444,2.911809,24.678661,121.331825,-44.356293,-43.605453,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.405403,1.0,7.0,9.0,0.247507,256.507019,16.670458,0.0,0.01621,3.103961,3.103961,0.00389
