3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-45.331398,20210530-083804,20210530,083804,-28.427814,0.0,0.0,0.0,6.0,52.0,237.90802,1.866904,26.0,12.745785,2.423012,2.423012,34.271271,1.0,0.0,0.272618,0.0,-99900.0,0.0,0.0,0.0,2.423012,1.9513,1.866904,24.817345,121.32238,-45.388748,-28.360392,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.507721,1.0,26.0,5.0,0.0,266.337708,-99900.0,0.0,-99900.0,0.609536,0.609536,-99900.0
-42.63665,20210530-084405,20210530,084405,-29.393053,0.0,3.0,0.0,1.0,44.0,235.418503,0.628884,26.0,7.091669,0.972469,0.972469,17.353781,1.0,0.0,0.150753,0.0,-99900.0,2.658546,0.0,0.0,0.972469,0.706644,0.628884,24.808664,121.349129,-42.876102,-29.389904,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.786442,1.0,26.0,0.0,0.0,289.707153,7.929085,0.0,0.007465,0.746096,0.746096,-0.002674
-32.530262,20210530-085007,20210530,085007,-29.397665,0.0,9.0,0.0,2.0,32.0,227.896118,0.520196,26.0,24.007854,4.005368,4.005368,68.821022,1.0,0.0,1.842542,0.0,-99900.0,7.466579,0.0,0.0,4.005368,2.012002,1.18383,24.808622,121.449364,-29.308958,-33.797836,38.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.845646,1.105263,26.0,1.0,0.01953,274.329498,17.760979,0.0,0.01771,2.54136,2.54136,-0.001341
-28.696894,20210530-085608,20210530,085608,-25.015181,0.0,15.0,0.0,3.0,18.0,228.921524,1.278602,26.0,28.664848,3.461014,3.461014,67.546394,1.0,0.0,0.972767,0.0,-99900.0,5.498804,0.254,0.254,3.461014,2.021707,2.725098,24.848034,121.487335,-28.922712,-24.277868,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.06929,1.046512,26.0,2.0,0.114086,260.325592,16.846508,0.0,0.016607,2.996515,2.996515,0.002831
-23.917284,20210530-090209,20210530,090209,-24.292292,0.0,21.0,0.0,4.0,26.0,224.554626,1.162405,26.0,30.214989,3.733246,3.733246,64.64196,1.0,0.0,0.877784,0.0,-99900.0,1.251756,0.0,0.0,3.733246,2.039389,1.532458,24.854536,121.534744,-24.639017,-24.210068,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.090347,1.0,26.0,3.0,0.066319,257.441223,16.098618,0.0,0.015713,2.99284,2.99284,0.0035
-18.636272,20210530-090809,20210530,090809,-23.52169,0.0,27.0,0.0,5.0,20.0,218.390167,0.530489,26.0,32.965881,4.022933,4.022933,77.522064,1.0,0.0,1.209415,0.0,-99900.0,0.617196,0.254,0.254,4.022933,2.115836,2.172969,24.861465,121.587128,-19.86059,-22.545631,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,30.009674,1.02381,26.0,4.0,0.16348,257.128357,15.704046,0.0,0.015309,3.848229,3.848229,0.003498
-13.454103,20210530-091410,20210530,091410,-23.805248,0.0,33.0,1.0,6.0,21.0,209.47435,0.897681,26.0,35.468628,3.775791,3.775791,72.979706,1.0,0.0,0.795529,0.0,-99900.0,1.584377,0.254,0.254,3.775791,1.988229,1.216866,24.858915,121.638535,-14.128096,-23.086262,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.344152,1.046512,26.0,5.0,0.099134,256.470062,15.665182,0.0,0.01523,3.42512,3.42512,0.003665
-8.801306,20210530-092012,20210530,092012,-24.052105,0.0,39.0,0.0,7.0,30.0,200.099289,0.384204,26.0,29.04495,3.910434,3.910434,72.934769,1.0,0.0,1.605783,0.0,-99900.0,1.79353,0.0,0.0,3.910434,1.805395,1.124174,24.856695,121.684692,-10.993334,-19.505539,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,25.611847,1.023256,26.0,6.0,0.0,259.604584,13.65561,0.0,0.013431,3.40165,3.40165,0.002464
-3.336876,20210530-092611,20210530,092611,-24.527489,0.0,45.0,0.0,8.0,28.0,187.747711,0.396135,26.0,32.212547,4.012574,4.012574,110.059456,1.0,0.0,1.216416,0.0,-99900.0,1.504115,0.0,0.0,4.012574,1.733261,0.582622,24.852419,121.738899,-5.239231,-22.425938,38.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,24.753433,1.157895,26.0,7.0,0.06335,269.071045,14.047585,0.0,0.014046,3.644187,3.644187,0.000228
-0.057206,20210530-093212,20210530,093212,-25.572855,0.0,51.0,1.0,9.0,36.0,180.128586,0.442299,26.0,17.648338,2.31362,2.31362,46.284142,1.0,0.0,0.94758,0.0,-99900.0,2.116261,0.0,0.0,2.31362,1.179493,2.31362,24.843018,121.771431,-2.060305,-25.394943,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,25.57292,1.0,26.0,8.0,0.0,273.257294,13.477371,0.0,0.013456,1.916005,1.916005,-0.000766
