3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-29.305614,20210530-063741,20210530,063741,-33.24456,0.0,3.0,0.0,1.0,32.0,221.397018,0.827093,96.0,6.068028,1.115422,1.115422,15.25611,1.0,0.0,0.156241,0.0,-99900.0,0.0,0.0,0.0,1.115422,0.889033,1.115422,24.774027,121.481384,-29.465887,-33.327034,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.317265,1.025,96.0,0.0,0.0,267.019165,-99900.0,0.0,-99900.0,0.466501,0.466501,-99900.0
-20.378302,20210530-064343,20210530,064343,-32.549305,0.0,9.0,0.0,2.0,24.0,212.049988,1.324918,96.0,36.274067,3.526664,3.526664,78.30806,1.0,0.0,0.69606,0.0,-99900.0,3.918839,0.0,0.0,3.526664,2.087448,1.694377,24.780277,121.569908,-22.225397,-32.089046,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.402245,1.023256,96.0,1.0,0.037776,265.546814,24.735792,0.0,0.024661,2.442494,2.442494,0.001921
-15.116147,20210530-064944,20210530,064944,-32.747417,0.0,15.0,0.0,3.0,10.0,204.77832,0.42282,96.0,43.341351,5.045791,5.045791,80.482132,1.0,0.0,2.142571,0.0,-99900.0,3.748064,0.254,0.254,5.045791,2.423919,1.230899,24.778496,121.622093,-15.315647,-34.580841,41.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.067871,1.121951,96.0,2.0,0.237867,267.991974,19.640205,0.0,0.019628,5.403205,5.403205,0.000688
-10.165872,20210530-065544,20210530,065544,-32.729912,0.0,21.0,0.0,4.0,3.0,197.255112,0.397894,96.0,73.40815,4.825723,4.825723,108.002258,1.0,0.0,2.112219,0.0,-99900.0,2.128347,0.762,0.762,4.825723,2.268903,2.480117,24.778654,121.671188,-14.453297,-32.945061,45.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.272324,1.066667,96.0,3.0,1.026121,268.768494,17.370304,0.0,0.017366,7.019466,7.019466,0.000373
-4.757913,20210530-070145,20210530,070145,-32.903618,0.0,27.0,0.0,5.0,9.0,188.228424,0.377712,96.0,113.536919,6.019289,6.019289,176.515656,1.0,0.0,1.67662,0.0,-99900.0,0.914848,0.508,0.508,6.019289,2.330244,1.865026,24.77709,121.724815,-7.592831,-33.611057,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.245838,1.0,96.0,4.0,0.59732,269.514648,16.435677,0.0,0.016435,7.336609,7.336609,0.000139
-0.514233,20210530-070746,20210530,070746,-32.741707,0.0,33.0,0.0,6.0,8.0,180.900223,0.358668,96.0,93.883316,5.692566,5.692566,144.941864,1.0,0.0,2.948651,0.0,-99900.0,1.693072,0.254,0.254,5.692566,1.942533,0.582507,24.778547,121.766899,-3.899559,-32.773369,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.745747,1.0,96.0,5.0,0.236737,269.569458,15.500531,0.0,0.0155,6.34288,6.34288,0.000116
4.827027,20210530-071347,20210530,071347,-32.747395,0.0,39.0,0.0,7.0,3.0,171.614487,0.364218,96.0,107.778496,5.834503,5.834503,156.500198,1.0,0.0,2.330185,0.0,-99900.0,0.258715,0.762,0.762,5.834503,1.957079,3.7302,24.778496,121.819878,1.749659,-33.38451,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.101238,1.022222,96.0,6.0,0.872493,270.374939,13.878476,0.0,0.013878,6.983141,6.983141,-9.1e-05
10.335226,20210530-071948,20210530,071948,-32.907768,0.0,45.0,1.0,8.0,5.0,162.563858,0.375683,96.0,104.837654,5.008908,5.008908,155.023331,1.0,0.0,1.772422,0.0,-99900.0,0.514255,0.508,0.508,5.008908,1.704541,2.511316,24.777054,121.874496,7.41511,-33.493179,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.49258,1.0,96.0,7.0,0.45353,270.224762,13.973153,0.0,0.013973,6.631332,6.631332,-5.5e-05
15.816419,20210530-072550,20210530,072550,-32.911743,0.0,51.0,0.0,9.0,21.0,154.332062,0.390306,96.0,58.250797,4.270273,4.270273,116.404472,1.0,0.0,1.200245,0.0,-99900.0,0.423247,0.0,0.0,4.270273,1.573236,0.639204,24.777018,121.928856,12.828938,-33.002136,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.514954,1.0,96.0,8.0,0.087938,270.294342,14.282941,0.0,0.014283,4.662657,4.662657,-7.3e-05
22.383671,20210530-073151,20210530,073151,-32.998219,0.0,57.0,0.0,10.0,20.0,145.849457,0.424874,96.0,26.513676,3.794453,3.794453,72.136261,1.0,0.0,1.875529,0.0,-99900.0,1.412453,0.0,0.0,3.794453,1.637088,0.70714,24.776241,121.99398,19.34108,-32.676189,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.873692,1.0,96.0,9.0,0.012576,270.344513,15.045,0.0,0.015045,3.749395,3.749395,-9e-05
