3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-180.041367,20210530-061337,20210530,061337,22.517645,0.0,0.0,0.0,2.0,31.0,277.12912,3.719417,30.0,336.403412,4.972342,4.972342,1136.586426,1.0,0.0,0.143182,0.0,-99900.0,0.0,0.0,0.0,4.972342,3.798306,3.719417,25.275511,119.982925,-180.058685,22.558586,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,181.444031,1.0,30.0,1.0,0.0,262.314178,-99900.0,0.0,-99900.0,3.180462,3.180462,-99900.0
-178.347794,20210530-061938,20210530,061938,27.223774,0.0,3.0,0.0,1.0,34.0,278.679077,3.708056,30.0,133.195526,4.874332,4.874332,313.580627,1.0,0.0,0.310777,0.0,-99900.0,5.345705,0.0,0.0,4.874332,4.031532,3.708056,25.317835,119.999443,-178.928268,28.052408,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,180.413605,1.0,30.0,0.0,0.064788,199.792053,13.854784,0.0,0.004691,4.116677,4.116677,0.013036
-172.633942,20210530-062539,20210530,062539,25.761898,0.0,9.0,0.0,2.0,12.0,278.487732,3.502443,30.0,237.243347,4.665016,4.665016,404.878601,1.0,0.0,0.215534,0.0,-99900.0,7.362531,0.254,0.254,4.665016,3.583196,3.502443,25.304688,120.056328,-172.727585,25.831091,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,174.545563,1.0,30.0,1.0,0.332859,246.347839,11.200462,0.0,0.01026,4.969369,4.969369,0.004493
-168.809891,20210530-063140,20210530,063140,27.150345,0.0,15.0,0.0,3.0,4.0,279.137054,3.39499,30.0,244.178452,5.644176,5.644176,389.252075,1.0,0.0,0.947171,0.0,-99900.0,0.262846,0.762,0.762,5.644176,3.523532,4.507113,25.317175,120.094246,-168.997849,27.369587,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,170.979294,1.022727,30.0,2.0,1.410405,252.485657,11.447095,0.0,0.010916,6.593286,6.593286,0.003445
-164.717896,20210530-063741,20210530,063741,26.722584,0.0,21.0,0.0,4.0,10.0,279.215149,3.268438,30.0,233.457962,5.431295,5.431295,458.44165,1.0,0.0,0.431757,0.0,-99900.0,1.678207,0.254,0.254,5.431295,3.54276,3.268438,25.313328,120.134941,-164.917206,26.753347,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,166.871445,1.0,30.0,3.0,0.33093,258.28009,11.368547,0.0,0.011132,5.714131,5.714131,0.002309
-160.493042,20210530-064343,20210530,064343,25.030886,0.0,27.0,0.0,5.0,13.0,278.864746,3.173741,30.0,303.174805,5.500611,5.500611,697.206177,1.0,0.0,0.424591,0.0,-99900.0,2.535182,0.254,0.254,5.500611,3.559354,3.173741,25.298113,120.177025,-161.795319,26.412498,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,162.433243,1.0,30.0,4.0,0.262045,265.008392,11.313185,0.0,0.01127,5.562922,5.562922,0.000984
-155.074463,20210530-064944,20210530,064944,22.516357,0.0,33.0,1.0,6.0,37.0,278.261627,2.950853,30.0,467.906219,4.130564,4.130564,1587.124268,1.0,0.0,0.155613,0.0,-99900.0,3.17155,0.0,0.0,4.130564,3.105093,4.130564,25.275499,120.231018,-154.756149,22.492357,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,156.700592,1.0,30.0,5.0,0.0,279.468109,12.579864,0.0,0.012408,3.059199,3.059199,-0.002069
-146.535553,20210530-065544,20210530,065544,16.936752,0.0,39.0,1.0,7.0,13.0,276.593262,2.709436,30.0,106.299957,4.71188,4.71188,189.860733,1.0,0.0,0.612483,0.0,-99900.0,6.320891,0.254,0.254,4.71188,3.216918,2.709436,25.225321,120.31617,-146.901047,17.161983,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.511093,1.0,30.0,6.0,0.257888,288.747314,14.697577,0.0,0.013918,4.938736,4.938736,-0.004724
-136.491196,20210530-070145,20210530,070145,21.121458,0.0,45.0,0.0,8.0,11.0,278.796692,2.470434,30.0,226.643082,5.201728,5.201728,444.623047,1.0,0.0,0.422933,0.0,-99900.0,7.739025,0.508,0.508,5.201728,2.978538,4.321396,25.262953,120.415756,-137.538773,21.179966,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.115753,1.0,30.0,7.0,0.418721,285.637848,18.207144,0.0,0.017533,5.345619,5.345619,-0.004908
-127.194,20210530-070746,20210530,070746,22.898977,0.0,51.0,0.0,9.0,14.0,280.205933,3.079774,30.0,103.677788,4.074273,4.074273,233.644775,1.0,0.0,0.326793,0.0,-99900.0,4.626499,0.254,0.254,4.074273,3.48893,3.079774,25.27894,120.508049,-126.043739,23.433311,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.238831,1.0,30.0,8.0,0.117828,277.735474,21.424065,0.0,0.021229,1.551835,1.551835,-0.002884
