3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-42.423203,20210530-040113,20210530,040113,100.906982,0.0,3.0,1.0,1.0,18.0,337.197235,1.753397,87.0,90.494942,5.160487,5.160487,286.384308,1.0,0.0,1.797081,0.0,-99900.0,1.140768,0.254,0.254,5.160487,2.362875,3.204479,25.980478,121.349213,-42.764568,101.755524,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.462082,1.05,87.0,0.0,0.127399,278.387329,13.309513,0.0,0.013167,3.981427,3.981427,-0.001941
-37.9702,20210530-040714,20210530,040714,99.148277,0.0,3.0,0.0,1.0,12.0,339.045013,1.664461,87.0,74.546913,4.977601,4.977601,200.753876,1.0,0.0,0.625814,0.0,-99900.0,1.099678,0.254,0.254,4.977601,2.796165,2.438474,25.964663,121.393616,-39.117874,99.028313,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.170227,1.073171,87.0,0.0,0.204732,283.105408,13.17189,0.0,0.012829,4.504153,4.504153,-0.002987
-33.544308,20210530-041315,20210530,041315,99.029541,0.0,15.0,0.0,1.0,11.0,341.287231,1.640951,87.0,70.457458,4.950876,4.950876,131.044922,1.0,0.0,1.166595,0.0,-99900.0,0.981164,0.508,0.508,4.950876,2.829058,3.964631,25.963594,121.437721,-34.493561,99.625824,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.556541,1.023256,87.0,0.0,0.480671,284.515625,12.715723,0.0,0.01231,5.124528,5.124528,-0.003187
-29.192554,20210530-041916,20210530,041916,97.83046,0.0,3.0,0.0,1.0,8.0,343.384979,1.592631,87.0,109.117096,4.886951,4.886951,201.571503,1.0,0.0,1.065707,0.0,-99900.0,0.104099,0.508,0.508,4.886951,2.761729,3.844434,25.95281,121.481102,-29.589056,98.927406,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.093117,1.023256,87.0,0.0,0.507056,285.153107,12.419018,0.0,0.011987,5.381058,5.381058,-0.003246
-25.503613,20210530-042516,20210530,042516,96.774704,2.0,23.0,0.0,1.0,10.0,345.236206,1.53187,87.0,149.949982,4.743883,4.743883,254.489044,1.0,0.0,0.988117,0.0,-99900.0,0.636553,0.762,0.762,4.743883,2.569613,3.792019,25.943316,121.517876,-26.017698,97.061874,43.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.078857,1.069767,87.0,0.0,0.995562,283.979004,12.257559,0.0,0.011895,5.682576,5.682576,-0.002961
-13.309804,20210530-043718,20210530,043718,98.368454,0.0,33.0,0.0,1.0,15.0,352.294373,1.507167,87.0,140.059235,4.586458,4.586458,273.035278,1.0,0.0,0.690664,0.0,-99900.0,5.189195,0.254,0.254,4.586458,2.37673,1.507167,25.957649,121.639366,-14.378851,98.303436,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.264816,1.0,87.0,0.0,0.24672,275.580688,13.208899,0.0,0.013146,5.115892,5.115892,-0.001285
-6.924724,20210530-044319,20210530,044319,98.630531,0.0,15.0,1.0,1.0,30.0,355.983948,1.510289,87.0,109.669228,2.780842,2.780842,175.318237,1.0,0.0,0.481756,0.0,-99900.0,1.792757,0.0,0.0,2.780842,1.699475,2.780842,25.960005,121.702995,-7.067633,99.242485,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.873322,1.0,87.0,0.0,0.019297,270.99649,14.296984,0.0,0.014295,3.242576,3.242576,-0.000249
3.413732,20210530-044920,20210530,044920,99.725578,0.0,21.0,0.0,1.0,11.0,1.960537,1.523964,87.0,44.214195,3.754921,3.754921,62.217934,1.0,0.0,1.002178,0.0,-99900.0,5.311847,0.508,0.508,3.754921,2.446692,3.754921,25.969854,121.806023,2.423879,100.095436,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.783989,1.0,87.0,0.0,0.373687,268.194031,16.598337,0.0,0.01659,4.637639,4.637639,0.000523
7.007482,20210530-045521,20210530,045521,100.338615,0.0,27.0,0.0,1.0,2.0,3.994946,1.541711,87.0,355.853119,5.997161,5.997161,511.867065,1.0,0.0,1.035405,0.0,-99900.0,2.432548,1.016,1.016,5.997161,2.327622,3.707142,25.975367,121.841835,5.841668,100.770897,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.583015,1.022222,87.0,0.0,1.779669,265.484161,17.637587,0.0,0.017583,7.363355,7.363355,0.001389
12.255039,20210530-050121,20210530,050121,100.616066,0.0,33.0,0.0,1.0,4.0,6.944405,1.553963,87.0,380.675842,6.0641,6.0641,540.509705,1.0,0.0,1.167543,0.0,-99900.0,1.104893,1.016,1.016,6.0641,2.16028,3.773422,25.977861,121.894135,11.118928,100.889763,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.35965,1.021739,87.0,0.0,1.966839,264.200714,18.1085,0.0,0.018016,8.263224,8.263224,0.00183
