3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
100.668068,20210530-043718,20210530,043718,74.964027,0.0,6.0,1.0,1.0,26.0,53.326096,2.104037,72.0,77.48098,4.955193,4.955193,190.001053,1.0,0.0,0.48247,0.0,-99900.0,0.0,0.254,0.254,4.955193,3.212601,3.881277,25.747169,122.774292,100.295799,74.589157,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,125.513603,1.0,72.0,0.0,0.183165,261.313538,-99900.0,0.0,-99900.0,4.425279,4.425279,-99900.0
105.347191,20210530-044319,20210530,044319,74.196861,0.0,12.0,0.0,2.0,31.0,54.842529,2.206682,72.0,115.846466,5.082641,5.082641,402.205292,1.0,0.0,0.980694,0.0,-99900.0,1.934528,0.0,0.0,5.082641,3.43804,2.206682,25.740271,122.820847,105.110962,74.89399,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,128.853424,1.0,72.0,1.0,0.019272,279.311096,13.134662,0.0,0.012962,4.317686,4.317686,-0.002125
112.434494,20210530-044920,20210530,044920,75.121796,0.0,18.0,0.0,3.0,39.0,56.251465,3.319074,72.0,350.987915,5.287147,5.287147,1390.519531,1.0,0.0,0.206994,0.0,-99900.0,2.943206,0.0,0.0,5.287147,3.519403,3.319074,25.748589,122.891449,112.785889,75.091484,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.221298,1.0,72.0,2.0,0.0,269.231812,16.298477,0.0,0.016297,1.604882,1.604882,0.000219
114.975983,20210530-045521,20210530,045521,77.454636,0.0,24.0,1.0,4.0,43.0,56.033325,2.464143,72.0,470.711884,5.448162,5.448162,1645.274048,1.0,0.0,0.319523,0.0,-99900.0,4.030818,0.0,0.0,5.448162,2.834697,3.422668,25.769569,122.916855,115.529266,77.156494,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.631516,1.0,72.0,3.0,0.035448,260.469055,14.047405,0.0,0.013853,3.987202,3.987202,0.002326
115.000443,20210530-050121,20210530,050121,79.673859,0.0,30.0,0.0,5.0,22.0,55.28513,2.391018,72.0,138.653824,5.648152,5.648152,493.148926,1.0,0.0,0.495398,0.0,-99900.0,5.151597,0.254,0.254,5.648152,3.734744,4.402225,25.789526,122.917191,113.411621,75.371132,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,139.903625,1.0,72.0,4.0,0.137801,251.688477,11.181518,0.0,0.010615,4.116133,4.116133,0.003513
121.1847,20210530-050722,20210530,050722,78.285515,0.0,36.0,0.0,6.0,15.0,57.137341,2.613662,72.0,346.092712,5.854907,5.854907,1123.165771,1.0,0.0,0.614246,0.0,-99900.0,3.548209,0.508,0.508,5.854907,2.840775,4.57599,25.77704,122.978714,121.608643,77.939438,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,144.271805,1.05,72.0,5.0,0.381153,255.224991,10.983047,0.0,0.01062,4.32238,4.32238,0.002801
123.901634,20210530-051323,20210530,051323,80.596664,0.0,42.0,0.0,7.0,19.0,56.956303,2.709853,72.0,208.816208,4.725667,4.725667,637.424744,1.0,0.0,1.000295,0.0,-99900.0,1.713875,0.254,0.254,4.725667,2.810537,3.681732,25.797825,123.005875,124.127167,80.444504,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.808792,1.0,72.0,6.0,0.140513,249.840851,10.044816,0.0,0.009429,4.258636,4.258636,0.003462
129.515671,20210530-051924,20210530,051924,79.639885,0.0,48.0,0.0,8.0,38.0,58.412285,2.815055,72.0,222.345901,3.964578,3.964578,730.848022,1.0,0.0,0.199087,0.0,-99900.0,3.122914,0.0,0.0,3.964578,2.992383,3.964578,25.789221,123.061737,128.943832,79.82254,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.04216,1.025641,72.0,7.0,0.0,255.495956,9.683589,0.0,0.009375,2.662774,2.662774,0.002425
138.660004,20210530-052526,20210530,052526,76.18512,0.0,54.0,0.0,9.0,15.0,61.213776,2.993701,72.0,277.697449,4.163213,4.163213,991.02179,1.0,0.0,0.157697,0.0,-99900.0,7.200115,0.254,0.254,4.163213,3.218289,4.163213,25.758152,123.152618,138.256042,76.178764,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,158.211151,1.025,72.0,8.0,0.107025,271.446228,13.04058,0.0,0.013036,3.199405,3.199405,-0.000329
143.2332,20210530-053128,20210530,053128,76.263916,1.0,0.0,0.0,10.0,31.0,61.966972,3.114198,72.0,256.064941,4.32054,4.32054,937.940918,1.0,0.0,0.148005,0.0,-99900.0,0.245955,0.0,0.0,4.32054,3.306377,3.114198,25.758862,123.198158,142.94725,76.103073,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,162.271179,1.0,72.0,9.0,0.026672,276.9599,15.867795,0.0,0.015751,3.45455,3.45455,-0.001923
