3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
27.520161,20210530-051924,20210530,051924,85.684814,0.0,3.0,0.0,1.0,31.0,17.805883,1.333831,38.0,95.020966,3.336942,3.336942,286.118347,1.0,0.0,0.564064,0.0,-99900.0,0.0,0.0,0.0,3.336942,2.289993,1.333831,25.843582,122.046112,27.36417,86.921425,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.995811,1.0,38.0,0.0,0.0,263.332672,-99900.0,0.0,-99900.0,2.880743,2.880743,-99900.0
32.602711,20210530-052526,20210530,052526,84.026596,0.0,9.0,0.0,2.0,13.0,21.206436,1.377863,38.0,101.322678,3.959785,3.959785,310.192444,1.0,0.0,0.756089,0.0,-99900.0,2.30015,0.254,0.254,3.959785,2.618381,3.959785,25.828669,122.096718,31.759426,87.680962,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.129936,1.0,38.0,1.0,0.153139,288.069275,14.768566,0.0,0.01404,3.585891,3.585891,-0.004581
36.582886,20210530-053128,20210530,053128,82.974884,0.0,15.0,1.0,3.0,30.0,23.792198,1.326487,38.0,213.837936,4.090731,4.090731,783.564697,1.0,0.0,1.509017,0.0,-99900.0,1.258212,0.0,0.0,4.090731,1.857448,4.090731,25.819212,122.136345,35.925415,83.357101,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.681526,1.025,38.0,2.0,0.074778,286.647675,13.065229,0.0,0.012518,3.013058,3.013058,-0.003743
42.90712,20210530-053729,20210530,053729,81.213318,0.0,21.0,1.0,4.0,32.0,27.8486,1.971827,38.0,143.194183,3.525472,3.525472,586.623718,1.0,0.0,0.207245,0.0,-99900.0,1.851427,0.0,0.0,3.525472,2.310829,1.971827,25.80337,122.199303,42.130058,80.879791,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.851097,1.0,38.0,3.0,0.0,286.093658,14.42726,0.0,0.013862,1.256787,1.256787,-0.003999
47.195713,20210530-054331,20210530,054331,79.485855,0.0,24.0,0.0,5.0,43.0,30.700176,1.99708,38.0,71.405991,2.728956,2.728956,287.611023,1.0,0.0,0.181185,0.0,-99900.0,0.781184,0.0,0.0,2.728956,2.092073,2.728956,25.787834,122.241982,46.99802,79.217468,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.441528,1.0,38.0,4.0,0.0,287.031799,14.357681,0.0,0.013728,0.807701,0.807701,-0.004205
55.156246,20210530-054933,20210530,054933,82.454597,0.0,3.0,1.0,1.0,25.0,33.779621,1.446963,38.0,104.587646,4.755052,4.755052,403.385223,1.0,0.0,0.594417,0.0,-99900.0,5.395928,0.0,0.0,4.755052,2.318648,4.034852,25.814533,122.321312,52.914345,80.747253,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.201675,1.051282,38.0,0.0,0.073457,279.506836,15.078197,0.0,0.014871,2.84728,2.84728,-0.00249
61.530899,20210530-055534,20210530,055534,83.059372,0.0,6.0,0.0,2.0,29.0,36.531193,1.559206,38.0,35.273087,4.04537,4.04537,150.533081,1.0,0.0,0.940428,0.0,-99900.0,1.809376,0.0,0.0,4.04537,2.465768,3.082622,25.819971,122.384811,59.683315,82.394844,37.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.367844,1.027027,38.0,1.0,0.0,272.273071,16.181469,0.0,0.016169,2.055825,2.055825,-0.000642
68.333015,20210530-060135,20210530,060135,83.52861,0.0,0.0,0.0,1.0,22.0,39.285789,1.688089,38.0,47.307541,4.132617,4.132617,177.357712,1.0,0.0,0.607556,0.0,-99900.0,1.19286,0.0,0.0,4.132617,2.555958,4.132617,25.824192,122.452568,67.089241,84.020905,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.918625,1.026316,38.0,0.0,0.0,267.099976,17.615015,0.0,0.017592,2.381018,2.381018,0.000891
74.467667,20210530-060736,20210530,060736,84.927994,0.0,3.0,1.0,1.0,21.0,41.245258,1.78609,38.0,58.729767,4.443726,4.443726,213.66156,1.0,0.0,0.765953,0.0,-99900.0,1.099138,0.0,0.0,4.443726,2.521443,4.443726,25.836777,122.51371,73.19371,84.496231,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,112.952187,1.025641,38.0,0.0,0.0,262.168182,18.163296,0.0,0.017994,2.925763,2.925763,0.002475
81.597969,20210530-061337,20210530,061337,86.73008,0.0,3.0,0.0,1.0,24.0,43.253563,1.953246,38.0,113.157631,4.694497,4.694497,371.792999,1.0,0.0,1.502698,0.0,-99900.0,1.108225,0.0,0.0,4.694497,2.390484,3.644832,25.852983,122.584778,81.330444,86.660011,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.081215,1.0,38.0,0.0,0.055327,259.444946,19.052673,0.0,0.01873,3.809654,3.809654,0.00349
