3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-72.833076,20210530-055534,20210530,055534,72.823692,0.0,0.0,0.0,1.0,32.0,314.996399,1.579544,56.0,13.295471,3.070199,3.070199,66.045593,1.0,0.0,0.508803,0.0,-99900.0,0.0,0.0,0.0,3.070199,1.981632,2.308547,25.727921,121.046906,-72.861824,72.327477,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.994888,1.0,56.0,0.0,0.0,258.422668,-99900.0,0.0,-99900.0,1.471413,1.471413,-99900.0
-67.196892,20210530-060135,20210530,060135,72.802895,0.0,3.0,0.0,1.0,18.0,317.293152,1.513263,56.0,16.678104,2.149357,2.149357,62.110718,1.0,0.0,0.236603,0.0,-99900.0,0.974744,0.0,0.0,2.149357,1.683076,1.513263,25.727734,121.10302,-67.727104,73.071342,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.074135,1.0,56.0,0.0,0.0,270.211426,15.612714,0.0,0.015613,1.503416,1.503416,-5.8e-05
-60.333118,20210530-060736,20210530,060736,73.316551,0.0,6.0,0.0,2.0,25.0,320.548706,1.414736,56.0,27.95726,4.520669,4.520669,107.371582,1.0,0.0,1.427607,0.0,-99900.0,1.338917,0.0,0.0,4.520669,2.446553,3.55188,25.732353,121.171341,-60.714592,73.088379,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.949471,1.026316,56.0,1.0,0.0,267.742065,17.326347,0.0,0.017313,2.581553,2.581553,0.000683
-54.322781,20210530-061337,20210530,061337,73.328163,0.0,3.0,0.0,1.0,13.0,323.468384,1.35285,56.0,42.431122,4.339652,4.339652,128.727432,1.0,0.0,1.025806,0.0,-99900.0,0.335493,0.254,0.254,4.339652,2.401393,3.356502,25.732456,121.231178,-55.529629,73.414253,39.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.25779,1.076923,56.0,0.0,0.159201,268.139252,17.292936,0.0,0.017284,3.351971,3.351971,0.000562
-47.953968,20210530-061938,20210530,061938,73.737686,0.0,9.0,0.0,2.0,31.0,326.96283,1.28703,56.0,48.844227,4.108413,4.108413,152.470139,1.0,0.0,0.821917,0.0,-99900.0,0.243938,0.0,0.0,4.108413,2.203695,1.28703,25.736139,121.294579,-49.256512,73.925941,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.959251,1.0,56.0,1.0,0.0,267.848267,17.361902,0.0,0.01735,3.57612,3.57612,0.000652
-43.723988,20210530-062539,20210530,062539,75.820496,0.0,15.0,0.0,3.0,33.0,330.028992,1.251057,56.0,55.132092,4.117736,4.117736,163.357727,1.0,0.0,0.898326,0.0,-99900.0,2.74723,0.0,0.0,4.117736,2.150689,3.236801,25.754871,121.336655,-43.98745,75.114029,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.524483,1.025,56.0,2.0,0.024631,265.138611,16.62368,0.0,0.016564,3.164675,3.164675,0.001409
-39.434444,20210530-063140,20210530,063140,77.627571,0.0,21.0,0.0,4.0,25.0,333.069702,1.233172,56.0,68.589447,4.136648,4.136648,198.929565,1.0,0.0,0.76602,0.0,-99900.0,2.131263,0.0,0.0,4.136648,2.039114,3.204154,25.771122,121.379341,-39.410393,76.607071,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.069603,1.02439,56.0,3.0,0.057951,260.668274,15.640995,0.0,0.015434,3.44958,3.44958,0.002536
-34.221489,20210530-063741,20210530,063741,78.606171,0.0,27.0,0.0,5.0,30.0,336.473969,1.22321,56.0,67.646881,4.252384,4.252384,199.90593,1.0,0.0,0.793829,0.0,-99900.0,0.364215,0.0,0.0,4.252384,1.955093,1.802949,25.779922,121.431236,-34.938721,78.198257,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.732376,1.0,56.0,4.0,0.0,257.000275,14.57645,0.0,0.014203,3.271186,3.271186,0.003279
-31.112389,20210530-064343,20210530,064343,81.999588,0.0,33.0,0.0,6.0,30.0,339.222229,1.229693,56.0,57.012245,4.130741,4.130741,161.491089,1.0,0.0,1.483874,0.0,-99900.0,2.999805,0.0,0.0,4.130741,2.346172,1.229693,25.81044,121.462158,-30.387924,80.42569,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.703552,1.0,56.0,5.0,0.0,249.69339,13.626508,0.0,0.01278,3.715095,3.715095,0.004729
-26.715464,20210530-064944,20210530,064944,83.506218,0.0,39.0,1.0,7.0,38.0,342.25943,1.29595,56.0,55.598602,4.971355,4.971355,196.256134,1.0,0.0,1.174065,0.0,-99900.0,0.295116,0.0,0.0,4.971355,2.337856,3.991417,25.82399,121.505928,-29.161968,84.375214,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.67556,1.052632,56.0,6.0,0.0,245.388718,12.983458,0.0,0.011804,3.011725,3.011725,0.005407
