3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-19.128735,20210530-070145,20210530,070145,3.634638,0.0,0.0,0.0,1.0,52.0,280.758667,1.396614,26.0,14.33456,2.682146,2.682146,67.136703,1.0,0.0,0.576833,0.0,-99900.0,0.0,0.0,0.0,2.682146,1.697323,2.682146,25.105688,121.582054,-19.375952,3.340428,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,19.47098,1.026316,26.0,0.0,0.0,263.546082,-99900.0,0.0,-99900.0,0.990119,0.990119,-99900.0
-12.457339,20210530-070746,20210530,070746,3.904124,0.0,33.0,0.0,1.0,24.0,287.401123,0.049977,26.0,14.508216,2.409816,2.409816,57.38739,1.0,0.0,1.020778,0.0,-99900.0,1.408741,0.0,0.0,2.409816,1.268699,0.049977,25.10811,121.6483,-5.109421,2.04093,43.0,0.0,43.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.054788,1.0,26.0,0.0,0.0,267.686829,18.495365,0.0,0.01848,1.564988,1.564988,0.000746
-8.597848,20210530-071347,20210530,071347,4.087549,0.0,33.0,0.0,1.0,20.0,295.427277,0.129747,26.0,18.27586,2.586015,2.586015,64.61676,1.0,0.0,0.78866,0.0,-99900.0,2.813212,0.0,0.0,2.586015,1.290392,2.037373,25.10976,121.686623,-12.991582,3.711039,40.0,0.0,44.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,9.520034,1.1,26.0,0.0,0.0,267.537354,14.599219,0.0,0.014586,2.571506,2.571506,0.000627
-3.672619,20210530-071948,20210530,071948,4.080257,0.0,3.0,0.0,1.0,25.0,318.009888,0.082636,26.0,11.826021,1.527815,-1.527815,38.02702,-1.0,0.0,0.452627,0.0,-99900.0,0.412782,0.0,-0.0,1.527815,0.810579,1.322557,25.109695,121.735535,-7.920992,4.020608,43.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,5.489684,1.046512,26.0,0.0,0.0,268.266327,13.91991,0.0,0.013914,1.918657,-1.918657,0.000421
1.309951,20210530-072550,20210530,072550,4.247945,0.0,3.0,0.0,1.0,22.0,17.138308,0.0513,26.0,10.272999,1.519059,-1.519059,25.813755,-1.0,0.0,0.799935,0.0,-99900.0,0.056235,0.0,-0.0,1.519059,0.772844,1.321814,25.111202,121.785011,-2.138249,5.221166,42.0,0.0,46.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,4.445335,1.095238,26.0,0.0,0.0,268.382141,13.754597,0.0,0.013749,1.969079,-1.969079,0.000388
6.024949,20210530-073151,20210530,073151,4.252266,1.0,15.0,0.0,1.0,21.0,54.786331,0.04609,26.0,28.501528,2.654944,-2.654944,76.034355,-1.0,0.0,0.901034,0.0,-99900.0,0.283159,0.0,-0.0,2.654944,1.268857,0.257476,25.111242,121.831833,1.861289,4.736503,44.0,0.0,45.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,1.0,-1.0,0.0,-0.0,7.3744,1.022727,26.0,0.0,0.0,268.630402,13.607837,0.0,0.013604,2.546837,-2.546837,0.000325
10.952648,20210530-073751,20210530,073751,4.619056,0.0,39.0,0.0,1.0,15.0,67.133247,0.086035,26.0,45.840687,3.508498,3.508498,125.92897,1.0,0.0,0.806309,0.0,-99900.0,0.25153,0.254,0.254,3.508498,1.440874,0.469591,25.11454,121.880768,7.134158,5.850539,42.0,0.0,44.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,11.886807,1.047619,26.0,0.0,0.088473,268.537445,13.130378,0.0,0.013126,3.590535,3.590535,0.000335
16.725077,20210530-074352,20210530,074352,4.813437,0.0,27.0,0.0,1.0,23.0,73.94413,0.150558,26.0,59.099899,3.513346,3.513346,160.001495,1.0,0.0,0.967178,0.0,-99900.0,1.036509,0.0,0.0,3.513346,1.490698,0.150558,25.116289,121.938095,14.057338,6.46658,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,17.403948,1.0,26.0,0.0,0.031353,268.283966,13.872773,0.0,0.013867,3.839153,3.839153,0.000415
18.594343,20210530-074954,20210530,074954,3.82043,0.0,33.0,0.0,1.0,19.0,78.38929,0.176294,26.0,9.577298,0.671312,0.671312,15.248878,1.0,0.0,0.25677,0.0,-99900.0,3.351497,0.0,0.0,0.671312,0.359386,0.671312,25.107359,121.95665,17.494167,3.481738,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,18.982763,1.022727,26.0,0.0,0.0,269.73175,12.860244,0.0,0.01286,0.844565,0.844565,6e-05
26.864872,20210530-075555,20210530,075555,2.550282,0.0,3.0,1.0,1.0,15.0,84.576965,0.239741,26.0,32.625317,3.8857,3.8857,85.623688,1.0,0.0,1.320118,0.0,-99900.0,3.85118,0.0,0.0,3.8857,2.055461,2.581472,25.095936,122.038765,23.098331,3.758271,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.985649,1.022727,26.0,0.0,0.06004,273.207489,13.574918,0.0,0.013554,2.777319,2.777319,-0.00076
