3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
15.42199,20210530-080157,20210530,080157,-118.078072,0.0,3.0,1.0,1.0,25.0,172.558411,1.949112,59.0,44.364635,3.685447,3.685447,114.082405,1.0,0.0,0.551998,0.0,-99900.0,0.0,0.0,0.0,3.685447,2.336531,1.949112,24.011099,121.924477,15.225862,-117.694862,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.080933,1.0,59.0,0.0,0.0,266.297943,-99900.0,0.0,-99900.0,3.148592,3.148592,-99900.0
20.534067,20210530-080758,20210530,080758,-119.70829,0.0,9.0,1.0,2.0,36.0,170.266144,2.018477,59.0,30.342899,3.686996,3.686996,74.81002,1.0,0.0,0.717647,0.0,-99900.0,2.369955,0.0,0.0,3.686996,2.399937,2.018477,23.996439,121.975006,20.179979,-119.842293,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.456673,1.0,59.0,1.0,0.0,287.687256,14.863329,0.0,0.014161,2.708932,2.708932,-0.004516
26.271233,20210530-081400,20210530,081400,-119.53125,0.0,12.0,0.0,3.0,45.0,167.603912,2.034397,59.0,31.392611,3.764176,3.764176,108.803078,1.0,0.0,0.56105,0.0,-99900.0,1.912008,0.0,0.0,3.764176,2.414735,2.034397,23.998032,122.031723,25.53577,-119.480003,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.384224,1.0,59.0,2.0,0.0,277.624451,15.140038,0.0,0.015006,2.303687,2.303687,-0.002009
33.430725,20210530-082000,20210530,082000,-120.395737,0.0,0.0,0.0,1.0,48.0,164.481049,2.098983,59.0,37.511154,3.866928,3.866928,125.208298,1.0,0.0,0.530915,0.0,-99900.0,1.762941,0.0,0.0,3.866928,2.508788,2.098983,23.990257,122.102493,32.863991,-120.383186,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.950981,1.0,59.0,0.0,0.0,276.467712,16.655361,0.0,0.016549,2.425494,2.425494,-0.001876
39.566608,20210530-082602,20210530,082602,-121.425911,0.0,15.0,1.0,1.0,36.0,161.951431,2.166768,59.0,25.408728,3.978249,3.978249,81.079048,1.0,0.0,0.810569,0.0,-99900.0,0.379796,0.0,0.0,3.978249,2.723847,3.978249,23.980993,122.163132,39.331432,-121.2715,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.709702,1.026316,59.0,0.0,0.0,276.880157,17.062069,0.0,0.016939,2.440022,2.440022,-0.002044
43.547672,20210530-083203,20210530,083203,-122.435265,0.0,3.0,0.0,1.0,38.0,160.420212,2.222771,59.0,35.228115,4.094276,4.094276,98.818604,1.0,0.0,0.778593,0.0,-99900.0,2.151189,0.0,0.0,4.094276,2.582992,3.14585,23.971916,122.202477,43.430428,-122.206459,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.949188,1.0,59.0,0.0,0.0,277.727753,16.355017,0.0,0.016206,2.785802,2.785802,-0.002199
48.96262,20210530-083804,20210530,083804,-125.046989,0.0,0.0,0.0,1.0,53.0,158.616623,2.334868,59.0,21.042299,4.251075,4.251075,75.42852,1.0,0.0,0.838969,0.0,-99900.0,1.869271,0.0,0.0,4.251075,2.831574,2.334868,23.948427,122.255951,48.800312,-124.834259,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.291061,1.0,59.0,0.0,0.0,280.318909,16.090164,0.0,0.01583,2.326439,2.326439,-0.002882
60.677155,20210530-084405,20210530,084405,-127.786835,0.0,0.0,0.0,1.0,53.0,154.599823,2.52422,59.0,25.179821,3.550372,3.550372,90.159576,1.0,0.0,0.385108,0.0,-99900.0,6.23595,0.0,0.0,3.550372,2.783547,3.550372,23.923788,122.371681,60.461632,-127.554764,37.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.460922,1.054054,59.0,0.0,0.0,284.179199,18.16713,0.0,0.017614,1.929206,1.929206,-0.00445
67.206383,20210530-085007,20210530,085007,-130.622604,0.0,3.0,0.0,1.0,38.0,152.773468,3.706152,59.0,31.471279,4.740501,4.740501,78.226395,1.0,0.0,0.467536,0.0,-99900.0,1.234352,0.0,0.0,4.740501,3.817651,3.706152,23.898287,122.436142,67.167786,-130.615875,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,146.897797,1.0,59.0,0.0,0.059412,287.039429,19.654711,0.0,0.018792,1.294321,1.294321,-0.005759
71.451241,20210530-085608,20210530,085608,-131.408691,0.0,3.0,1.0,1.0,31.0,151.465271,2.753468,59.0,28.382492,3.810378,3.810378,53.60421,1.0,0.0,0.57986,0.0,-99900.0,2.849331,0.0,0.0,3.810378,3.044905,2.753468,23.891216,122.478065,71.364105,-131.335526,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,149.57782,1.0,59.0,0.0,0.021487,287.688843,20.100628,0.0,0.01915,3.439691,3.439691,-0.006108
