3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
21.374006,20210530-061938,20210530,061938,74.449348,0.0,0.0,0.0,1.0,41.0,16.01845,1.058695,57.0,24.516319,3.608623,3.608623,88.084106,1.0,0.0,1.293974,0.0,-99900.0,0.0,0.0,0.0,3.608623,1.812437,2.820643,25.742538,121.98481,20.138742,74.441238,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.456787,1.026316,57.0,0.0,0.0,263.092773,-99900.0,0.0,-99900.0,2.094234,2.094234,-99900.0
26.55567,20210530-062539,20210530,062539,75.91777,0.0,57.0,0.0,1.0,31.0,19.279545,1.111085,57.0,40.48838,3.809662,3.809662,123.852676,1.0,0.0,1.163079,0.0,-99900.0,1.04256,0.0,0.0,3.809662,1.986396,3.809662,25.755745,122.036407,25.709761,75.63768,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.428299,1.0,57.0,0.0,0.060245,254.177902,14.918923,0.0,0.014354,2.997961,2.997961,0.004068
31.589373,20210530-063140,20210530,063140,77.165367,0.0,21.0,0.0,1.0,19.0,22.262787,1.157934,57.0,40.703236,4.989914,4.989914,87.758171,1.0,0.0,2.116574,0.0,-99900.0,0.265828,0.254,0.254,4.989914,2.574142,3.104066,25.766966,122.086548,30.074827,76.631462,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.380943,1.02381,57.0,0.0,0.145068,255.110901,14.640272,0.0,0.014149,4.299344,4.299344,0.003762
36.662708,20210530-063741,20210530,063741,78.209312,0.0,21.0,0.0,1.0,9.0,25.116034,1.228075,57.0,46.382568,5.14128,5.14128,79.580978,1.0,0.0,1.990051,0.0,-99900.0,0.315937,0.508,0.508,5.14128,2.480307,3.219489,25.776354,122.137077,35.091515,78.398415,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.376221,1.022727,57.0,0.0,0.434721,256.173157,14.520441,0.0,0.0141,5.307299,5.307299,0.00347
42.182808,20210530-064343,20210530,064343,78.402779,0.0,21.0,0.0,1.0,9.0,28.281382,1.275249,57.0,73.05719,4.294181,4.294181,110.223358,1.0,0.0,0.989651,0.0,-99900.0,1.141277,0.508,0.508,4.294181,2.16064,1.275249,25.778093,122.192047,41.270363,78.005089,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.030243,1.0,57.0,0.0,0.417214,258.847687,14.595971,0.0,0.01432,5.379694,5.379694,0.002823
48.036915,20210530-064944,20210530,064944,79.279388,0.0,3.0,1.0,1.0,13.0,31.21241,1.34928,57.0,39.534,4.487798,4.487798,70.161674,1.0,0.0,1.552108,0.0,-99900.0,0.699144,0.254,0.254,4.487798,2.380003,1.34928,25.785976,122.250351,46.489986,79.246986,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.697174,1.0,57.0,0.0,0.105446,260.006592,14.879769,0.0,0.014654,4.235121,4.235121,0.002582
52.022472,20210530-065544,20210530,065544,80.782547,0.0,45.0,1.0,1.0,12.0,32.780712,1.425384,57.0,79.914024,3.68565,3.68565,113.790382,1.0,0.0,1.084408,0.0,-99900.0,1.411665,0.508,0.508,3.68565,1.925008,2.828469,25.799496,122.29007,50.301357,81.204475,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.084114,1.022727,57.0,0.0,0.396302,260.388153,14.621033,0.0,0.014416,4.679969,4.679969,0.002441
59.553284,20210530-070145,20210530,070145,80.500549,0.0,3.0,0.0,1.0,27.0,36.493477,1.520197,57.0,62.381638,3.832201,3.832201,122.846245,1.0,0.0,0.981391,0.0,-99900.0,2.601326,0.0,0.0,3.832201,2.48355,2.223112,25.796959,122.365059,58.949604,80.716675,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.134567,1.023256,57.0,0.0,0.081564,262.492676,15.307625,0.0,0.015176,4.042479,4.042479,0.002
64.569733,20210530-070746,20210530,070746,81.388344,0.0,9.0,0.0,1.0,33.0,38.426762,1.597142,57.0,57.334549,3.986498,3.986498,151.37262,1.0,0.0,0.572804,0.0,-99900.0,0.491071,0.0,0.0,3.986498,2.355079,3.068281,25.804943,122.415039,65.354256,80.206604,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.890869,1.0,57.0,0.0,0.01772,263.095795,15.601544,0.0,0.015488,3.103212,3.103212,0.001875
70.881645,20210530-071347,20210530,071347,80.985352,0.0,3.0,0.0,1.0,36.0,41.193626,1.6833,57.0,56.492004,3.229061,3.229061,182.841339,1.0,0.0,0.338299,0.0,-99900.0,1.298356,0.0,0.0,3.229061,1.967563,1.6833,25.801319,122.47789,69.681931,81.605789,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.623573,1.0,57.0,0.0,0.0,264.602966,15.959518,0.0,0.015889,2.559725,2.559725,0.001501
