3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-84.823181,20210530-040113,20210530,040113,47.736771,2.0,17.0,1.0,23.0,6.0,299.370056,1.506562,29.0,82.120354,5.706422,5.706422,133.196228,1.0,0.0,1.529612,0.0,-99900.0,4.17435,0.508,0.508,5.706422,2.775625,2.805757,25.502308,120.928322,-86.459824,48.881947,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,97.333298,1.022222,29.0,22.0,0.672796,286.732056,17.524254,0.0,0.016782,6.824402,6.824402,-0.005045
-76.542725,20210530-040714,20210530,040714,44.859253,2.0,23.0,0.0,24.0,9.0,300.373352,1.297061,29.0,161.766357,4.244897,4.244897,205.764801,1.0,0.0,0.691829,0.0,-99900.0,2.4603,0.508,0.508,4.244897,2.018237,1.904198,25.476431,121.010765,-77.279633,44.801994,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.719452,1.0,29.0,23.0,0.652079,283.685394,17.964649,0.0,0.017455,5.334701,5.334701,-0.00425
-71.282967,20210530-041315,20210530,041315,46.58123,2.0,29.0,0.0,25.0,3.0,303.163513,1.207351,29.0,104.035294,6.424753,6.424753,165.2742,1.0,0.0,2.52751,0.0,-99900.0,3.41878,1.016,1.016,6.424753,2.303959,4.044014,25.491917,121.063034,-71.439163,45.776291,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.153229,1.044444,29.0,24.0,1.969783,274.972656,16.385166,0.0,0.016323,7.552115,7.552115,-0.00142
-67.126198,20210530-041916,20210530,041916,48.419495,2.0,35.0,0.0,26.0,10.0,305.803802,1.195363,29.0,53.177299,4.836118,4.836118,111.309937,1.0,0.0,2.024726,0.0,-99900.0,2.922477,0.508,0.508,4.836118,2.420898,2.339715,25.508448,121.104332,-68.521034,48.999596,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,82.766983,1.022222,29.0,25.0,0.396989,265.737946,15.517011,0.0,0.015474,6.027022,6.027022,0.001153
-61.695065,20210530-042516,20210530,042516,51.002121,2.0,41.0,0.0,27.0,27.0,309.580017,1.116895,29.0,65.859222,4.898009,4.898009,156.171951,1.0,0.0,1.523317,0.0,-99900.0,2.171964,0.0,0.0,4.898009,2.332803,1.116895,25.531675,121.158295,-62.165916,50.656902,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.046844,1.0,29.0,26.0,0.073581,260.678711,15.857229,0.0,0.015648,4.014214,4.014214,0.002568
-54.832695,20210530-043718,20210530,043718,57.243828,2.0,53.0,0.0,28.0,39.0,316.232544,1.107079,29.0,52.563908,3.629344,3.629344,159.254791,1.0,0.0,0.661872,0.0,-99900.0,6.238676,0.0,0.0,3.629344,1.960934,1.660431,25.587807,121.226425,-55.688808,56.985123,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.26841,1.02439,29.0,27.0,0.0,249.828766,14.410793,0.0,0.013527,3.034284,3.034284,0.004969
-50.978504,20210530-044319,20210530,044319,59.042854,2.0,59.0,1.0,29.0,41.0,319.192261,1.085147,29.0,21.016216,3.669464,3.669464,63.78817,1.0,0.0,1.382473,0.0,-99900.0,1.029043,0.0,0.0,3.669464,1.999025,1.085147,25.603987,121.26474,-51.987968,58.847767,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.005554,1.0,29.0,28.0,0.0,239.462143,13.548626,0.0,0.011669,2.47987,2.47987,0.006884
-39.388119,20210530-044920,20210530,044920,59.068039,3.0,2.0,0.0,30.0,57.0,326.30368,0.957919,29.0,8.893618,1.934196,1.934196,36.836349,1.0,0.0,0.515738,0.0,-99900.0,7.777068,0.0,0.0,1.934196,1.42329,0.957919,25.604212,121.380074,-40.809483,58.871273,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.996178,1.0,29.0,29.0,0.0,244.282349,14.814438,0.0,0.013347,1.0856,1.0856,0.006429
-33.828281,20210530-045521,20210530,045521,60.67115,0.0,0.0,0.0,1.0,63.0,330.857422,0.923548,29.0,17.376343,1.366953,1.366953,72.734642,1.0,0.0,0.165567,0.0,-99900.0,1.031927,0.0,0.0,1.366953,0.985295,1.366953,25.618629,121.435371,-34.166718,60.764965,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.464676,1.0,29.0,0.0,0.0,248.855286,16.036964,0.0,0.014957,0.734673,0.734673,0.005785
-25.36595,20210530-050121,20210530,050121,63.467087,0.0,0.0,0.0,1.0,69.0,338.214905,1.858296,29.0,36.705883,2.373831,2.373831,171.173462,1.0,0.0,0.189728,0.0,-99900.0,3.159319,0.0,0.0,2.373831,1.894142,2.373831,25.643774,121.519562,-25.64356,63.514763,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.348389,1.0,29.0,0.0,0.0,253.268219,18.03846,0.0,0.017275,0.526722,0.526722,0.005193
