3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-63.29113,20210530-081400,20210530,081400,-44.274342,0.0,3.0,1.0,1.0,26.0,235.026154,1.072854,84.0,87.797295,2.649268,2.649268,149.829376,1.0,0.0,0.382712,0.0,-99900.0,0.0,0.0,0.0,2.649268,1.448152,2.116211,24.674833,121.144608,-63.911934,-44.488152,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.239784,1.0,84.0,0.0,0.0,263.194244,-99900.0,0.0,-99900.0,3.401036,3.401036,-99900.0
-55.904068,20210530-082000,20210530,082000,-41.464256,0.0,9.0,0.0,2.0,19.0,233.435822,0.944058,84.0,84.387543,4.950727,4.950727,183.355392,1.0,0.0,1.119169,0.0,-99900.0,3.080004,0.0,0.0,4.950727,2.067214,1.89741,24.700106,121.217781,-57.852139,-40.920113,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.602798,1.02381,84.0,1.0,0.019483,249.172867,21.954281,0.0,0.02052,4.138011,4.138011,0.007806
-49.436893,20210530-082602,20210530,082602,-39.120548,0.0,15.0,1.0,3.0,6.0,231.644928,0.807003,84.0,126.352486,5.864961,5.864961,332.572632,1.0,0.0,1.553132,0.0,-99900.0,1.075076,0.508,0.508,5.864961,2.146821,2.922372,24.721184,121.281853,-50.97393,-37.002338,41.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.04303,1.097561,84.0,2.0,0.426699,249.595154,20.472006,0.0,0.019187,5.280324,5.280324,0.007138
-43.842411,20210530-083203,20210530,083203,-41.164074,0.0,21.0,0.0,4.0,8.0,226.804962,0.751446,84.0,136.128082,5.306138,5.306138,252.72876,1.0,0.0,1.165488,0.0,-99900.0,4.808424,0.508,0.508,5.306138,2.782792,3.476589,24.702805,121.337349,-45.636848,-38.422932,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.138489,1.046512,84.0,3.0,0.466704,259.791656,18.236797,0.0,0.017948,5.63937,5.63937,0.003232
-39.199944,20210530-083804,20210530,083804,-41.370434,0.0,27.0,1.0,5.0,6.0,223.457199,0.721177,84.0,128.873795,4.130916,4.130916,180.024048,1.0,0.0,0.790378,0.0,-99900.0,2.293326,0.762,0.762,4.130916,2.802117,3.318774,24.700949,121.383377,-44.301498,-37.133492,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.992531,1.045455,84.0,4.0,0.849717,264.212219,16.768602,0.0,0.016683,5.862457,5.862457,0.001691
-36.64526,20210530-084405,20210530,084405,-44.024075,0.0,33.0,0.0,6.0,4.0,219.774033,2.020192,84.0,94.835083,4.203334,4.203334,96.455482,1.0,0.0,0.66568,0.0,-99900.0,4.762439,0.762,0.762,4.203334,2.792552,3.288503,24.677084,121.408745,-37.195518,-43.836826,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.279964,1.0,84.0,5.0,1.203024,270.155579,14.9498,0.0,0.01495,4.214753,4.214753,-4.1e-05
-25.725178,20210530-085007,20210530,085007,-41.742386,0.0,39.0,1.0,7.0,5.0,211.645218,0.576623,84.0,134.874817,3.803616,3.803616,172.431396,1.0,0.0,1.720808,0.0,-99900.0,5.967785,0.762,0.762,3.803616,2.605056,2.018669,24.697603,121.516968,-19.020267,-44.673996,45.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.032757,1.088889,84.0,6.0,0.816744,274.803467,15.390203,0.0,0.015336,5.870072,5.870072,-0.001289
-22.226469,20210530-085608,20210530,085608,-41.19574,0.0,45.0,0.0,8.0,21.0,208.348694,0.52744,84.0,175.789322,2.670648,2.670648,228.628693,1.0,0.0,0.310461,0.0,-99900.0,2.275058,0.0,0.0,2.670648,1.911659,1.609891,24.702518,121.551651,-18.328749,-41.353588,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.809238,1.043478,84.0,7.0,0.0,274.37262,15.307689,0.0,0.015263,4.951306,4.951306,-0.001167
-23.615726,20210530-090209,20210530,090209,-47.940098,0.0,51.0,0.0,9.0,3.0,206.225632,1.844684,84.0,176.737259,4.837366,4.837366,231.111908,1.0,0.0,0.861523,0.0,-99900.0,9.35844,1.27,1.27,4.837366,2.527057,3.986517,24.641865,121.537933,-23.680502,-47.349197,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.441143,1.021277,84.0,8.0,2.319857,280.790497,13.122829,0.0,0.012891,5.858425,5.858425,-0.002457
-23.718357,20210530-090809,20210530,090809,-49.782322,0.0,57.0,0.0,10.0,7.0,205.475418,3.182805,84.0,45.575546,5.034904,5.034904,83.443268,1.0,0.0,0.835746,0.0,-99900.0,4.839046,0.762,0.762,5.034904,3.564369,4.055301,24.625298,121.536934,-23.744108,-49.832966,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.143814,1.045455,84.0,9.0,1.184085,293.915955,10.390821,0.0,0.009499,2.683892,2.683892,-0.004212
