3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-2.843782,20210530-053128,20210530,053128,65.133049,0.0,3.0,1.0,1.0,15.0,357.5,1.35326,24.0,28.665726,4.574146,4.574146,93.920044,1.0,0.0,0.982615,0.0,-99900.0,0.0,0.254,0.254,4.574146,2.899227,3.750632,25.658756,121.743698,-1.948007,67.36969,36.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.195099,1.166667,24.0,0.0,0.132948,260.52356,-99900.0,0.0,-99900.0,1.945641,1.945641,-99900.0
6.20317,20210530-053729,20210530,053729,64.817917,0.0,9.0,1.0,2.0,15.0,5.466629,2.32657,24.0,25.595665,4.395184,4.395184,88.395378,1.0,0.0,0.767676,0.0,-99900.0,3.721383,0.254,0.254,4.395184,3.038142,3.802801,25.655922,121.83374,8.269409,64.746109,38.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.114067,1.105263,24.0,1.0,0.121746,271.994965,25.075857,0.0,0.025061,1.772491,1.772491,-0.000873
8.175726,20210530-054331,20210530,054331,66.057716,0.0,15.0,0.0,3.0,29.0,7.055397,0.874756,24.0,80.728531,3.84586,3.84586,295.379425,1.0,0.0,0.464733,0.0,-99900.0,7.267877,0.0,0.0,3.84586,2.313349,3.84586,25.66707,121.853378,7.415251,66.526024,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.561737,1.025,24.0,2.0,0.061102,265.198334,15.290486,0.0,0.015237,2.558505,2.558505,0.00128
13.120577,20210530-054933,20210530,054933,68.878944,0.0,21.0,1.0,4.0,19.0,10.784897,0.901218,24.0,48.531418,4.197381,4.197381,155.69928,1.0,0.0,1.723979,0.0,-99900.0,2.42602,0.0,0.0,4.197381,1.606719,1.493779,25.692444,121.902603,11.096581,67.543976,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.117462,1.02381,24.0,3.0,0.028565,255.944824,14.209516,0.0,0.013784,3.525875,3.525875,0.003451
20.527802,20210530-055534,20210530,055534,72.089287,0.0,27.0,1.0,5.0,16.0,15.894544,1.014295,24.0,17.098812,2.737417,2.737417,51.946552,1.0,0.0,0.939884,0.0,-99900.0,3.125715,0.0,0.0,2.737417,1.549716,2.737417,25.721315,121.976364,19.930408,72.020126,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.955025,1.0,24.0,4.0,0.0,251.479523,15.648748,0.0,0.014838,1.934816,1.934816,0.004971
25.404078,20210530-060135,20210530,060135,73.887558,0.0,33.0,1.0,6.0,16.0,18.973991,1.076053,24.0,18.881107,2.856096,2.856096,57.002625,1.0,0.0,0.673328,0.0,-99900.0,0.480368,0.0,0.0,2.856096,1.546897,1.076053,25.737488,122.024925,25.028448,73.918724,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.132828,1.0,24.0,5.0,0.0,250.116989,15.897631,0.0,0.01495,2.044021,2.044021,0.005407
30.764132,20210530-060736,20210530,060736,75.516716,0.0,36.0,0.0,7.0,26.0,22.165031,1.135718,24.0,15.272177,2.30148,2.30148,49.297134,1.0,0.0,0.460209,0.0,-99900.0,0.324794,0.0,0.0,2.30148,1.450295,1.728104,25.752138,122.078308,30.345066,75.287163,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.542664,1.0,24.0,6.0,0.0,246.207016,15.716229,0.0,0.01438,1.449324,1.449324,0.00634
37.276714,20210530-061337,20210530,061337,77.836174,0.0,3.0,0.0,1.0,25.0,25.590282,1.218038,24.0,38.12571,4.146077,4.146077,114.921555,1.0,0.0,1.170176,0.0,-99900.0,1.321577,0.0,0.0,4.146077,2.192855,3.227701,25.772997,122.143181,36.106613,77.378082,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.301933,1.051282,24.0,0.0,0.025113,248.373093,17.302776,0.0,0.016085,3.0122,3.0122,0.006377
42.919338,20210530-061938,20210530,061938,79.250221,0.0,9.0,0.0,2.0,10.0,28.438465,1.303399,24.0,65.59214,4.316709,4.316709,173.90889,1.0,0.0,0.927477,0.0,-99900.0,0.903108,0.254,0.254,4.316709,2.338492,3.38697,25.785715,122.199394,41.927113,79.229149,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.125839,1.047619,24.0,1.0,0.237889,250.930786,17.13335,0.0,0.016193,4.380379,4.380379,0.005598
48.889534,20210530-062539,20210530,062539,80.236534,0.0,15.0,0.0,3.0,27.0,31.354614,1.389736,24.0,43.114548,4.424562,4.424562,80.110199,1.0,0.0,1.401518,0.0,-99900.0,1.041893,0.0,0.0,4.424562,2.359026,1.389736,25.794584,122.258865,48.174553,80.512764,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.957909,1.0,24.0,2.0,0.042663,253.593353,16.572477,0.0,0.015898,4.047833,4.047833,0.004681
54.781757,20210530-063140,20210530,063140,81.506096,0.0,21.0,0.0,4.0,27.0,33.905701,1.466467,24.0,43.736126,3.720292,3.720292,113.05056,1.0,0.0,0.967902,0.0,-99900.0,0.447298,0.0,0.0,3.720292,2.185519,1.466467,25.806002,122.317566,54.15823,81.021576,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.205322,1.0,24.0,3.0,0.0,255.459427,16.917606,0.0,0.016376,3.087112,3.087112,0.004247
60.722149,20210530-063741,20210530,063741,82.601479,0.0,24.0,0.0,5.0,39.0,36.320335,1.570459,24.0,24.171177,3.052234,3.052234,89.943657,1.0,0.0,0.45089,0.0,-99900.0,0.438878,0.0,0.0,3.052234,1.811568,1.570459,25.815853,122.376747,60.463486,82.460472,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.519188,1.0,24.0,4.0,0.0,257.173615,16.905867,0.0,0.016484,1.770673,1.770673,0.003753
67.509399,20210530-064343,20210530,064343,83.900391,0.0,0.0,0.0,1.0,49.0,38.821369,1.685969,24.0,10.102333,2.470359,2.470359,36.151779,1.0,0.0,0.384015,0.0,-99900.0,0.822208,0.0,0.0,2.470359,1.864118,1.685969,25.827536,122.444374,67.126991,83.870979,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.688416,1.0,24.0,0.0,0.0,258.807556,16.973667,0.0,0.016651,1.391558,1.391558,0.003295
