3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
2.639499,20210530-074954,20210530,074954,28.113743,0.0,3.0,1.0,1.0,32.0,5.363562,2.455155,98.0,13.211449,3.940728,3.940728,82.360092,1.0,0.0,0.626218,0.0,-99900.0,0.0,0.0,0.0,3.940728,3.244398,3.940728,25.325832,121.798241,2.889612,26.929077,34.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.237377,1.205882,98.0,0.0,0.060339,267.152466,-99900.0,0.0,-99900.0,1.112582,1.112582,-99900.0
10.723144,20210530-075555,20210530,075555,30.312141,0.0,6.0,0.0,2.0,52.0,19.481564,2.643714,98.0,15.968758,4.033227,4.033227,113.783127,1.0,0.0,0.510412,0.0,-99900.0,3.243642,0.0,0.0,4.033227,3.45805,4.033227,25.345604,121.878593,8.554003,27.836618,34.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.152943,1.147059,98.0,1.0,0.0,254.785995,23.205639,0.0,0.022392,1.646034,1.646034,0.00609
23.87759,20210530-080157,20210530,080157,37.443089,0.0,3.0,1.0,1.0,29.0,32.525726,2.556597,98.0,30.546558,3.982507,3.982507,77.84967,1.0,0.0,0.371555,0.0,-99900.0,7.053833,0.0,0.0,3.982507,3.135647,3.982507,25.409735,122.009407,24.357422,37.673538,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.408607,1.0,98.0,0.0,0.067474,246.282532,32.088417,0.0,0.029378,1.699676,1.699676,0.012907
30.359074,20210530-080758,20210530,080758,38.503685,0.0,9.0,1.0,2.0,15.0,38.254696,2.23036,98.0,44.374283,4.190461,4.190461,112.467918,1.0,0.0,0.99824,0.0,-99900.0,5.473479,0.254,0.254,4.190461,2.685665,3.600938,25.419271,122.07386,30.245953,39.147381,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.032715,1.047619,98.0,1.0,0.230895,248.312027,28.682177,0.0,0.026652,2.614128,2.614128,0.0106
38.72113,20210530-081400,20210530,081400,37.983074,0.0,15.0,1.0,3.0,28.0,45.551182,0.701064,98.0,55.723103,5.103852,5.103852,165.691376,1.0,0.0,1.183049,0.0,-99900.0,4.543411,0.0,0.0,5.103852,3.139527,2.451705,25.414591,122.156998,44.836933,34.477306,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.240574,1.05,98.0,2.0,0.084317,253.077698,26.543812,0.0,0.025394,3.219561,3.219561,0.007726
44.382286,20210530-082000,20210530,082000,36.515724,0.0,21.0,1.0,4.0,6.0,50.55389,0.698535,98.0,47.509838,4.108346,4.108346,136.313416,1.0,0.0,1.324483,0.0,-99900.0,5.492592,0.254,0.254,4.108346,2.230684,3.444101,25.401394,122.213257,42.626766,36.935085,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.473347,1.0,98.0,3.0,0.190179,257.541534,24.230879,0.0,0.02366,3.797748,3.797748,0.005227
51.94434,20210530-082602,20210530,082602,37.649685,0.0,27.0,1.0,5.0,7.0,54.064964,1.714546,98.0,86.511742,4.806935,4.806935,229.79628,1.0,0.0,1.557045,0.0,-99900.0,1.257401,0.254,0.254,4.806935,2.183971,3.744851,25.411592,122.288467,51.263897,38.146935,40.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.153824,1.075,98.0,4.0,0.25859,263.098846,21.984327,0.0,0.021825,2.931771,2.931771,0.002642
59.251453,20210530-083203,20210530,083203,36.256462,0.0,33.0,1.0,6.0,13.0,58.537048,0.896491,98.0,73.709877,4.028915,4.028915,199.627106,1.0,0.0,0.943985,0.0,-99900.0,2.415466,0.254,0.254,4.028915,2.493112,3.2867,25.399063,122.361084,58.151157,35.5956,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.464134,1.046512,98.0,5.0,0.296668,272.306091,19.57691,0.0,0.019561,4.287367,4.287367,-0.000788
64.650948,20210530-083804,20210530,083804,37.150612,0.0,39.0,0.0,7.0,29.0,60.116734,0.969079,98.0,54.901993,3.590136,3.590136,140.84407,1.0,0.0,1.033376,0.0,-99900.0,2.037477,0.0,0.0,3.590136,2.31723,0.969079,25.407104,122.414787,61.614719,37.73312,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.564827,1.0,98.0,6.0,0.0445,272.571838,19.053946,0.0,0.019035,3.171664,3.171664,-0.000855
68.802475,20210530-084405,20210530,084405,39.154091,0.0,45.0,0.0,8.0,39.0,60.356533,1.061657,98.0,89.87323,3.791469,3.791469,311.860291,1.0,0.0,1.452247,0.0,-99900.0,3.569935,0.0,0.0,3.791469,2.809124,1.656589,25.425123,122.456116,67.120918,38.291737,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.163269,1.0,98.0,7.0,0.0,268.330261,17.298431,0.0,0.017291,2.885776,2.885776,0.000504
