3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-105.227333,20210530-040113,20210530,040113,-70.632545,0.0,15.0,0.0,3.0,1.0,236.129288,2.159904,67.0,113.311821,6.274689,6.274689,139.679718,1.0,0.0,2.192496,0.0,-99900.0,1.171151,1.016,1.016,6.274689,3.167476,3.917581,24.437792,120.729904,-106.043076,-70.280624,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,126.734955,1.021739,67.0,2.0,2.235866,258.277679,10.303871,0.0,0.010089,8.445009,8.445009,0.002093
-99.848282,20210530-040714,20210530,040714,-67.748756,0.0,21.0,0.0,4.0,1.0,235.842743,2.01187,67.0,133.238419,5.956737,5.956737,117.104828,1.0,0.0,1.388946,0.0,-99900.0,2.746925,1.016,1.016,5.956737,3.13768,2.847786,24.463726,120.783073,-101.091911,-66.964813,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,120.663063,1.021277,67.0,3.0,2.172983,251.920959,12.293832,0.0,0.011687,9.333186,9.333186,0.003815
-94.528374,20210530-041315,20210530,041315,-66.462463,0.0,27.0,0.0,5.0,1.0,234.88942,1.887216,67.0,156.109253,5.701998,5.701998,184.255478,1.0,0.0,1.375745,0.0,-99900.0,1.104696,1.27,1.27,5.701998,3.089241,3.475012,24.475294,120.835716,-95.714638,-65.696114,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,115.554634,1.021277,67.0,4.0,2.381968,251.957626,13.268832,0.0,0.012616,9.016302,9.016302,0.00411
-89.59951,20210530-041916,20210530,041916,-64.051003,0.0,33.0,1.0,6.0,3.0,234.440872,1.755388,67.0,125.185524,5.322851,5.322851,144.798187,1.0,0.0,1.606162,0.0,-99900.0,1.000556,0.762,0.762,5.322851,2.820932,2.536756,24.496979,120.88446,-90.381714,-63.507587,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,110.139023,1.0,67.0,5.0,1.040838,250.709061,13.805325,0.0,0.01303,8.478703,8.478703,0.004561
-85.346733,20210530-042516,20210530,042516,-60.58403,0.0,39.0,0.0,7.0,6.0,234.630966,1.636068,67.0,123.440849,5.015735,5.015735,124.559067,1.0,0.0,1.149121,0.0,-99900.0,1.876929,0.762,0.762,5.015735,2.367443,3.056343,24.528158,120.926476,-86.182838,-60.346405,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.663704,1.0,67.0,6.0,0.840463,246.730545,14.879312,0.0,0.013669,7.644233,7.644233,0.005878
-70.828789,20210530-043718,20210530,043718,-65.543694,0.0,51.0,0.0,8.0,7.0,227.219681,3.636802,67.0,43.114433,4.626404,4.626404,92.382637,1.0,0.0,0.450908,0.0,-99900.0,10.311186,0.762,0.762,4.626404,3.730199,3.636802,24.483555,121.070435,-70.877968,-65.543533,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.502296,1.0,67.0,7.0,0.8288,259.15155,15.75698,0.0,0.015475,1.785717,1.785717,0.002966
-64.501968,20210530-044319,20210530,044319,-65.343857,0.0,54.0,0.0,9.0,57.0,224.62883,3.428117,67.0,44.019745,4.400431,4.400431,183.512695,1.0,0.0,0.340008,0.0,-99900.0,1.142862,0.0,0.0,4.400431,3.734422,3.428117,24.485352,121.133095,-65.05619,-64.703796,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.816795,1.0,67.0,8.0,0.0,267.067017,16.437792,0.0,0.016416,0.923614,0.923614,0.000841
-58.473595,20210530-044920,20210530,044920,-64.845207,0.0,0.0,0.0,2.0,54.0,222.042603,3.239,67.0,62.199924,4.137601,4.137601,421.801056,1.0,0.0,0.154844,0.0,-99900.0,0.220127,0.0,0.0,4.137601,3.361747,3.239,24.489836,121.192795,-58.724407,-64.676804,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.31588,1.0,67.0,1.0,0.0,270.894531,17.113894,0.0,0.017112,0.99399,0.99399,-0.000267
-53.257992,20210530-045521,20210530,045521,-64.411575,0.0,0.0,0.0,1.0,70.0,219.585587,3.082054,67.0,45.777531,3.853927,3.853927,393.323273,1.0,0.0,0.131244,0.0,-99900.0,1.098168,0.0,0.0,3.853927,3.114596,3.082054,24.493736,121.244453,-53.158375,-64.608887,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.577896,1.0,67.0,0.0,0.0,273.672302,17.447147,0.0,0.017411,0.605351,0.605351,-0.001117
-46.567577,20210530-050121,20210530,050121,-61.28709,0.0,0.0,0.0,1.0,82.0,217.228882,2.80302,67.0,14.668278,4.506328,4.506328,123.297379,1.0,0.0,0.567769,0.0,-99900.0,3.551981,0.0,0.0,4.506328,3.084546,2.80302,24.521835,121.310669,-46.45314,-61.40464,34.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.971725,1.0,67.0,0.0,0.0,271.119843,17.638943,0.0,0.017636,0.672395,0.672395,-0.000345
