3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-39.089386,20210530-073151,20210530,073151,25.444464,0.0,3.0,0.0,1.0,41.0,303.061462,0.605883,77.0,21.289776,4.182397,4.182397,97.668381,1.0,0.0,1.147364,0.0,-99900.0,0.0,0.0,0.0,4.182397,2.040223,1.586917,25.301828,121.38353,-43.504871,25.615284,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.641193,1.025641,77.0,0.0,0.0,266.559937,-99900.0,0.0,-99900.0,2.238377,2.238377,-99900.0
-30.951275,20210530-073751,20210530,073751,26.130692,0.0,9.0,1.0,2.0,29.0,310.172943,1.054348,77.0,41.744438,4.245609,4.245609,138.843567,1.0,0.0,0.694007,0.0,-99900.0,2.614819,0.0,0.0,4.245609,1.80787,1.339345,25.307999,121.464401,-32.318943,26.096966,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.506721,1.04878,77.0,1.0,0.0,265.180054,22.686003,0.0,0.022606,2.475127,2.475127,0.001906
-19.708998,20210530-074352,20210530,074352,28.642391,0.0,15.0,0.0,3.0,21.0,325.467987,0.408017,77.0,65.457062,4.239686,4.239686,166.806488,1.0,0.0,1.99199,0.0,-99900.0,3.580726,0.0,0.0,4.239686,2.1416,1.557431,25.330587,121.576111,-20.654375,30.371454,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.76825,1.068182,77.0,2.0,0.033176,260.628418,27.245483,0.0,0.026882,5.129444,5.129444,0.004437
-15.233241,20210530-074954,20210530,074954,28.137556,0.0,21.0,0.0,4.0,14.0,331.569641,0.603188,77.0,104.279999,4.164296,4.164296,191.516266,1.0,0.0,0.730211,0.0,-99900.0,5.663545,0.254,0.254,4.164296,1.850712,0.812703,25.326048,121.620598,-13.981476,30.673365,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.996464,1.022222,77.0,3.0,0.105119,262.713165,23.123177,0.0,0.022936,4.71973,4.71973,0.002933
-10.946953,20210530-075555,20210530,075555,27.111292,0.0,27.0,0.0,5.0,8.0,338.012268,0.327526,77.0,141.95549,4.045801,4.045801,220.806824,1.0,0.0,0.729525,0.0,-99900.0,4.505273,0.254,0.254,4.045801,1.32791,0.967768,25.316818,121.663208,-12.941687,27.707802,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.237953,1.021739,77.0,4.0,0.158265,265.760071,19.992352,0.0,0.019938,5.383601,5.383601,0.001478
-4.401967,20210530-080157,20210530,080157,27.163195,0.0,33.0,0.0,6.0,10.0,350.794891,0.287604,77.0,114.372536,4.6745,4.6745,165.235077,1.0,0.0,0.790393,0.0,-99900.0,0.828025,0.254,0.254,4.6745,1.587263,0.93283,25.317284,121.728256,-6.766257,26.534824,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.517567,1.021277,77.0,5.0,0.352823,267.34787,18.835554,0.0,0.018815,6.683771,6.683771,0.000872
2.365533,20210530-080758,20210530,080758,27.996538,0.0,39.0,0.0,7.0,5.0,4.829654,0.254986,77.0,121.975098,5.69388,5.69388,188.97139,1.0,0.0,2.556042,0.0,-99900.0,0.519306,0.762,0.762,5.69388,1.94805,0.254986,25.32478,121.795517,-3.352589,24.460409,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.096296,1.0,77.0,6.0,0.984832,268.979218,17.138622,0.0,0.017136,8.178299,8.178299,0.000305
8.014369,20210530-081400,20210530,081400,28.561047,0.0,45.0,0.0,8.0,9.0,15.674342,0.280137,77.0,112.352226,4.881467,4.881467,166.968124,1.0,0.0,2.556733,0.0,-99900.0,0.71653,0.254,0.254,4.881467,1.764604,0.280137,25.329855,121.851662,2.681541,26.639133,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.664179,1.0,77.0,7.0,0.291409,270.225067,15.643992,0.0,0.015644,6.17905,6.17905,-6.1e-05
13.193135,20210530-082000,20210530,082000,28.81675,0.0,51.0,0.0,9.0,9.0,24.599609,0.33147,77.0,97.559158,4.137977,4.137977,161.038681,1.0,0.0,0.997919,0.0,-99900.0,0.531434,0.254,0.254,4.137977,1.346981,1.097752,25.332155,121.903137,10.910787,28.90036,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.693277,1.0,77.0,8.0,0.090542,267.613037,16.287024,0.0,0.016273,5.010809,5.010809,0.000678
20.162416,20210530-082602,20210530,082602,29.391386,0.0,57.0,0.0,10.0,8.0,34.449944,0.370068,77.0,104.37999,4.017474,4.017474,244.405716,1.0,0.0,0.999091,0.0,-99900.0,1.127584,0.254,0.254,4.017474,1.990138,1.192238,25.337324,121.972412,16.959543,29.326344,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.642342,1.045455,77.0,9.0,0.258214,265.477478,16.974005,0.0,0.016921,5.156959,5.156959,0.001338
