3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-75.963257,20210530-043718,20210530,043718,-54.474144,0.0,6.0,1.0,1.0,40.0,234.35553,1.400934,97.0,39.502731,4.414609,4.414609,103.335426,1.0,0.0,1.008614,0.0,-99900.0,0.0,0.0,0.0,4.414609,2.141314,1.400934,24.583105,121.019272,-77.069496,-54.443104,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.476463,1.0,97.0,0.0,0.0,261.313538,-99900.0,0.0,-99900.0,3.461329,3.461329,-99900.0
-71.142899,20210530-044319,20210530,044319,-51.190014,0.0,12.0,0.0,2.0,23.0,234.263855,1.288245,97.0,34.680748,4.104756,4.104756,76.452927,1.0,0.0,1.045225,0.0,-99900.0,2.133341,0.0,0.0,4.104756,2.122026,2.459498,24.61264,121.066956,-71.90744,-52.261185,41.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.645477,1.121951,97.0,1.0,0.0,235.733231,16.157352,0.0,0.013353,3.634936,3.634936,0.009097
-66.836281,20210530-044920,20210530,044920,-46.981022,0.0,18.0,1.0,3.0,22.0,234.895874,1.166001,97.0,34.714573,3.775876,3.775876,72.633278,1.0,0.0,1.002892,0.0,-99900.0,1.057967,0.0,0.0,3.775876,1.909352,2.262872,24.650492,121.109535,-67.697456,-47.565281,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.696419,1.0,97.0,2.0,0.0,230.614471,16.355747,0.0,0.012641,3.86286,3.86286,0.010378
-61.876049,20210530-045521,20210530,045521,-44.698265,0.0,24.0,1.0,4.0,26.0,234.156555,1.062564,97.0,34.759377,3.47595,3.47595,64.259117,1.0,0.0,1.319668,0.0,-99900.0,1.516622,0.0,0.0,3.47595,1.713107,2.071891,24.671022,121.158646,-63.162128,-44.603775,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.332039,1.0,97.0,3.0,0.0,234.240036,15.896795,0.0,0.0129,4.009104,4.009104,0.00929
-53.593712,20210530-050121,20210530,050121,-43.67458,0.0,30.0,1.0,5.0,37.0,230.823029,2.483128,97.0,25.266352,3.195383,3.195383,67.783737,1.0,0.0,0.306821,0.0,-99900.0,4.315508,0.0,0.0,3.195383,2.599302,2.483128,24.680227,121.24073,-53.650204,-43.664585,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.135773,1.0,97.0,4.0,0.0,242.514771,16.871548,0.0,0.014967,0.959854,0.959854,0.007787
-48.736866,20210530-050722,20210530,050722,-40.688015,0.0,36.0,0.0,6.0,33.0,230.143463,2.25983,97.0,34.033012,3.666111,3.666111,72.406273,1.0,0.0,0.684837,0.0,-99900.0,0.573865,0.0,0.0,3.666111,2.480701,2.907126,24.707087,121.288818,-48.92345,-40.628513,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.488556,1.0,97.0,5.0,0.021829,244.172928,17.045191,0.0,0.015343,1.735399,1.735399,0.007426
-42.478767,20210530-051323,20210530,051323,-39.017059,0.0,42.0,0.0,7.0,22.0,227.432602,2.030119,97.0,26.739473,3.328611,3.328611,60.492393,1.0,0.0,0.611738,0.0,-99900.0,1.239846,0.0,0.0,3.328611,2.269875,2.030119,24.722113,121.350838,-42.693302,-38.882839,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.678215,1.0,97.0,6.0,0.0,248.580338,17.517151,0.0,0.016307,1.41843,1.41843,0.006397
-36.19165,20210530-051924,20210530,051924,-36.975475,0.0,48.0,0.0,8.0,25.0,224.386536,2.341076,97.0,23.905354,2.964823,2.964823,51.082336,1.0,0.0,0.273971,0.0,-99900.0,0.481538,0.0,0.0,2.964823,2.41926,2.341076,24.740473,121.413147,-36.225002,-36.965454,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.739941,1.0,97.0,7.0,0.0,252.050293,18.003681,0.0,0.017127,1.060072,1.060072,0.005548
-30.187723,20210530-052526,20210530,052526,-35.542282,0.0,54.0,0.0,9.0,25.0,220.34314,1.611489,97.0,24.782616,3.380852,3.380852,64.542587,1.0,0.0,0.966706,0.0,-99900.0,0.607864,0.0,0.0,3.380852,2.038273,2.074729,24.753363,121.472664,-30.452791,-35.516171,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.632095,1.047619,97.0,8.0,0.0,252.702148,17.979792,0.0,0.017167,1.899668,1.899668,0.005346
-23.784248,20210530-053128,20210530,053128,-34.194397,1.0,0.0,0.0,10.0,41.0,214.821274,1.422399,97.0,16.017792,3.033608,3.033608,57.701569,1.0,0.0,0.555736,0.0,-99900.0,0.61711,0.0,0.0,3.033608,1.794155,1.859285,24.765484,121.536148,-24.155342,-33.984322,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.652699,1.0,97.0,9.0,0.0,252.908173,17.452065,0.0,0.016681,1.112709,1.112709,0.005129
