3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
6.818294,20210530-040113,20210530,040113,49.527798,0.0,3.0,0.0,1.0,9.0,7.838392,0.602937,43.0,110.865761,4.56818,4.56818,164.018936,1.0,0.0,1.194059,0.0,-99900.0,0.62139,0.508,0.508,4.56818,2.061024,2.245408,25.518414,121.839821,5.26879,50.01601,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.994915,1.022222,43.0,0.0,0.389478,258.925964,14.552507,0.0,0.014282,5.957572,5.957572,0.002795
12.307271,20210530-040714,20210530,040714,50.348812,2.0,17.0,1.0,1.0,5.0,13.736004,0.62414,43.0,152.543503,4.714057,4.714057,186.594849,1.0,0.0,1.06977,0.0,-99900.0,0.382731,0.762,0.762,4.714057,2.041231,1.806373,25.525797,121.894424,10.586812,50.578815,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.831188,1.044444,43.0,0.0,0.982033,259.763519,14.782607,0.0,0.014547,6.917596,6.917596,0.002627
18.351686,20210530-041315,20210530,041315,51.364674,2.0,5.0,0.0,1.0,4.0,19.660862,0.662865,43.0,138.539139,4.914087,4.914087,146.96875,1.0,0.0,2.050122,0.0,-99900.0,0.795705,1.016,1.016,4.914087,2.126508,2.521962,25.534933,121.954559,16.130245,51.700924,46.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.544605,1.065217,43.0,0.0,1.49333,259.80484,15.22654,0.0,0.014986,8.317564,8.317564,0.002695
24.384886,20210530-041916,20210530,041916,52.244507,0.0,9.0,1.0,1.0,7.0,25.020542,0.714909,43.0,160.455383,4.162943,4.162943,193.670151,1.0,0.0,1.16862,0.0,-99900.0,0.630125,0.508,0.508,4.162943,2.20692,2.047351,25.542847,122.01458,22.562557,52.80024,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.655106,1.0,43.0,0.0,0.617593,261.081146,15.822598,0.0,0.015631,7.57922,7.57922,0.002453
30.321741,20210530-042516,20210530,042516,54.190773,0.0,3.0,0.0,1.0,14.0,29.228558,0.770196,43.0,149.324661,4.386815,4.386815,183.71051,1.0,0.0,1.5484,0.0,-99900.0,1.107323,0.508,0.508,4.386815,1.9362,1.216195,25.56035,122.073662,28.683798,53.598846,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.097084,1.0,43.0,0.0,0.548162,260.334351,16.296904,0.0,0.016066,7.543316,7.543316,0.002736
41.39257,20210530-043718,20210530,043718,58.54908,0.0,3.0,0.0,1.0,12.0,35.259163,0.948492,43.0,131.414749,4.186518,4.186518,175.435013,1.0,0.0,1.557495,0.0,-99900.0,2.44066,0.508,0.508,4.186518,2.295909,0.948492,25.599545,122.183868,41.950302,57.416004,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.70314,1.0,43.0,0.0,0.372894,255.686188,16.623556,0.0,0.016107,7.095561,7.095561,0.00411
46.134884,20210530-044319,20210530,044319,60.972218,0.0,21.0,0.0,1.0,11.0,37.113037,1.036669,43.0,278.720764,4.619412,4.619412,409.110107,1.0,0.0,0.576373,0.0,-99900.0,1.425776,0.254,0.254,4.619412,1.894297,1.036669,25.621336,122.231102,45.447697,60.834656,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.459396,1.0,43.0,0.0,0.2498,252.266205,16.482996,0.0,0.0157,5.452386,5.452386,0.005021
51.935051,20210530-044920,20210530,044920,63.213394,0.0,21.0,1.0,1.0,8.0,39.405849,1.130236,43.0,311.214081,5.032575,5.032575,431.892426,1.0,0.0,0.884336,0.0,-99900.0,0.44875,0.508,0.508,5.032575,1.890843,3.082026,25.641493,122.288864,51.302963,62.536446,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.811874,1.0,43.0,0.0,0.498887,249.730423,16.388535,0.0,0.015374,5.880314,5.880314,0.005678
57.586243,20210530-045521,20210530,045521,67.879959,0.0,3.0,0.0,1.0,3.0,40.30965,1.273522,43.0,109.27169,5.322787,5.322787,147.734863,1.0,0.0,2.174804,0.0,-99900.0,2.618911,0.762,0.762,5.322787,3.03912,2.540191,25.68346,122.3452,55.099293,68.825829,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.01609,1.0,43.0,0.0,1.227353,245.686584,16.65827,0.0,0.015181,7.207625,7.207625,0.006859
63.398838,20210530-050121,20210530,050121,68.890808,0.0,3.0,0.0,1.0,5.0,42.622646,1.366627,43.0,151.355667,5.61247,5.61247,171.320282,1.0,0.0,1.760463,0.0,-99900.0,1.499109,1.016,1.016,5.61247,2.723306,3.56881,25.692551,122.403084,61.912159,69.014366,46.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.623474,1.021739,43.0,0.0,1.706438,244.903824,16.7882,0.0,0.015203,7.969691,7.969691,0.007121
