3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-71.634346,20210530-080758,20210530,080758,6.124308,0.0,0.0,0.0,1.0,56.0,274.886749,0.968167,42.0,8.690756,1.446375,1.446375,35.091351,1.0,0.0,0.178909,0.0,-99900.0,0.0,0.0,0.0,1.446375,1.109326,1.446375,25.128078,121.0606,-71.941315,6.109399,37.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.895668,1.027027,42.0,0.0,0.0,263.62973,-99900.0,0.0,-99900.0,0.799848,0.799848,-99900.0
-64.92009,20210530-081400,20210530,081400,7.25245,0.0,0.0,0.0,1.0,47.0,276.374481,0.875962,42.0,20.038067,4.404048,4.404048,82.561546,1.0,0.0,1.563967,0.0,-99900.0,1.35853,0.0,0.0,4.404048,2.084047,1.770518,25.138226,121.127251,-66.604218,7.338037,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.323936,1.026316,42.0,0.0,0.0,260.462158,18.807686,0.0,0.018548,1.973155,1.973155,0.003116
-60.619766,20210530-082000,20210530,082000,8.796758,0.0,3.0,0.0,1.0,46.0,278.256958,0.795726,42.0,14.934961,2.094195,2.094195,50.98344,1.0,0.0,0.489804,0.0,-99900.0,2.414087,0.0,0.0,2.094195,1.246719,1.605905,25.152113,121.16993,-61.708858,8.700023,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.254707,1.0,42.0,0.0,0.0,256.366516,15.701161,0.0,0.015259,1.406752,1.406752,0.003701
-55.032871,20210530-082602,20210530,082602,9.862861,0.0,45.0,0.0,1.0,14.0,280.160736,0.700827,42.0,39.619701,4.187587,4.187587,138.949799,1.0,0.0,0.778367,0.0,-99900.0,0.280841,0.254,0.254,4.187587,2.926682,4.187587,25.161701,121.225395,-55.704262,9.716262,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.909687,1.051282,42.0,0.0,0.104628,256.731903,15.391124,0.0,0.01498,3.072957,3.072957,0.003532
-52.8027,20210530-083203,20210530,083203,11.07382,0.0,45.0,0.0,1.0,14.0,281.844635,0.627021,42.0,86.271935,4.104997,4.104997,250.861755,1.0,0.0,1.900221,0.0,-99900.0,3.17836,0.254,0.254,4.104997,3.208627,1.741375,25.17259,121.24752,-50.84338,10.225886,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.951408,1.073171,42.0,0.0,0.261599,255.261948,13.613023,0.0,0.013165,3.855861,3.855861,0.003463
-44.002369,20210530-083804,20210530,083804,11.36539,0.0,57.0,0.0,1.0,21.0,284.482605,0.551595,42.0,26.524878,2.492097,2.492097,43.42971,1.0,0.0,0.928032,0.0,-99900.0,4.159683,0.0,0.0,2.492097,1.400017,0.870339,25.175213,121.33493,-45.457737,11.445848,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.446457,1.045455,42.0,0.0,0.0,257.862061,14.57321,0.0,0.014247,3.111777,3.111777,0.003064
-39.010941,20210530-084405,20210530,084405,12.0158,0.0,3.0,0.0,1.0,21.0,287.119568,0.484361,42.0,53.185162,4.199799,4.199799,134.060303,1.0,0.0,1.779145,0.0,-99900.0,0.480426,0.0,0.0,4.199799,2.422567,0.761191,25.181061,121.384499,-40.438007,12.212572,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.819515,1.0,42.0,0.0,0.064012,259.783905,14.603152,0.0,0.014372,3.283529,3.283529,0.00259
-32.792046,20210530-085007,20210530,085007,12.662086,0.0,15.0,0.0,1.0,36.0,291.113373,1.566193,42.0,30.839455,2.426595,2.426595,99.474396,1.0,0.0,0.29875,0.0,-99900.0,1.057287,0.0,0.0,2.426595,1.710846,1.948728,25.186874,121.446266,-33.131199,12.621551,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.151768,1.02439,42.0,0.0,0.0,262.421448,15.637088,0.0,0.0155,1.117065,1.117065,0.002062
-26.145174,20210530-085608,20210530,085608,13.624683,0.0,3.0,1.0,1.0,52.0,297.524902,1.323246,42.0,27.700809,3.999287,3.999287,112.35743,1.0,0.0,0.629391,0.0,-99900.0,1.07358,0.0,0.0,3.999287,2.265607,3.999287,25.19553,121.512283,-27.140356,13.217386,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.482235,1.0,42.0,0.0,0.0,263.403137,16.678034,0.0,0.016568,2.250998,2.250998,0.001916
-20.30085,20210530-090209,20210530,090209,16.701265,0.0,45.0,1.0,1.0,22.0,309.443848,1.119636,42.0,33.224525,4.264324,4.264324,93.671555,1.0,0.0,1.270358,0.0,-99900.0,2.388806,0.254,0.254,4.264324,2.151805,2.426898,25.223198,121.570312,-20.012575,16.144712,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.287958,1.046512,42.0,0.0,0.096533,260.911743,17.804842,0.0,0.017581,2.877966,2.877966,0.002812
