3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-26.663607,20210530-082602,20210530,082602,-59.90258,0.0,3.0,1.0,1.0,5.0,203.99498,2.303568,29.0,55.544651,4.764282,4.764282,188.487,1.0,0.0,0.585718,0.0,-99900.0,0.0,0.508,0.508,4.764282,3.020747,3.92905,24.534285,121.507843,-26.785313,-58.889332,39.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.568794,1.128205,29.0,0.0,0.495607,264.476776,-99900.0,0.0,-99900.0,2.358012,2.358012,-99900.0
-22.41914,20210530-083203,20210530,083203,-59.088581,0.0,9.0,0.0,2.0,43.0,200.777908,2.245609,29.0,76.663666,4.485773,4.485773,249.947418,1.0,0.0,0.522557,0.0,-99900.0,1.160453,0.0,0.0,4.485773,2.793582,3.695172,24.541605,121.549881,-22.855196,-58.960285,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.198723,1.0,29.0,1.0,0.0,259.143677,11.971775,0.0,0.011758,2.01893,2.01893,0.002255
-16.585052,20210530-083804,20210530,083804,-57.887058,0.0,15.0,0.0,3.0,36.0,195.987762,2.106209,29.0,83.271133,4.758442,4.758442,274.522919,1.0,0.0,0.610072,0.0,-99900.0,1.63618,0.0,0.0,4.758442,2.584655,2.106209,24.55241,121.607674,-16.369608,-57.407295,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.216076,1.0,29.0,2.0,0.0,258.691101,14.235659,0.0,0.013959,1.749988,1.749988,0.002792
-7.663358,20210530-084405,20210530,084405,-53.415348,0.0,21.0,0.0,4.0,16.0,188.164764,2.364245,29.0,36.656998,4.072822,4.072822,108.642242,1.0,0.0,0.400986,0.0,-99900.0,5.203074,0.254,0.254,4.072822,3.398843,4.072822,24.592625,121.69606,-4.455518,-52.042263,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.962269,1.025,29.0,3.0,0.094372,251.796555,18.322811,0.0,0.017406,1.554456,1.554456,0.005724
-8.610873,20210530-085007,20210530,085007,-54.837662,0.0,27.0,0.0,5.0,22.0,188.924393,0.68742,29.0,31.111887,2.487856,2.487856,53.765583,1.0,0.0,0.603696,0.0,-99900.0,8.046751,0.0,0.0,2.487856,1.520887,1.935592,24.579834,121.686676,-10.434371,-54.721806,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.509605,1.0,29.0,4.0,0.0,252.740128,14.743282,0.0,0.014079,3.023942,3.023942,0.004374
-3.479568,20210530-085608,20210530,085608,-53.494968,0.0,33.0,0.0,6.0,12.0,183.721954,1.397156,29.0,53.777199,3.919971,3.919971,82.429169,1.0,0.0,0.986583,0.0,-99900.0,0.241426,0.254,0.254,3.919971,2.09665,1.880675,24.591908,121.737518,-4.182353,-53.259781,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.608013,1.0,29.0,5.0,0.336335,253.496719,13.714759,0.0,0.01315,3.666531,3.666531,0.003896
0.36636,20210530-090209,20210530,090209,-52.314678,0.0,39.0,0.0,7.0,8.0,179.598343,0.612997,29.0,45.577206,3.87592,3.87592,69.646599,1.0,0.0,1.421801,0.0,-99900.0,0.929079,0.762,0.762,3.87592,1.815077,3.87592,24.602522,121.775635,-1.436445,-50.930313,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.31596,1.045455,29.0,6.0,0.833217,253.324051,12.572813,0.0,0.012044,4.89958,4.89958,0.003608
5.814025,20210530-090809,20210530,090809,-50.39513,0.0,45.0,0.0,8.0,28.0,173.418549,1.756573,29.0,49.803059,2.921633,2.921633,60.788528,1.0,0.0,0.430064,0.0,-99900.0,1.273345,0.0,0.0,2.921633,2.044972,2.300566,24.619785,121.829628,5.415513,-50.339272,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.729401,1.0,29.0,7.0,0.032809,253.398712,11.658702,0.0,0.011173,2.068958,2.068958,0.003331
10.458943,20210530-091410,20210530,091410,-48.932693,0.0,51.0,0.0,9.0,16.0,167.934677,1.304689,29.0,54.245724,3.612141,3.612141,87.463478,1.0,0.0,0.87387,0.0,-99900.0,0.664518,0.254,0.254,3.612141,2.132207,2.262788,24.632938,121.875664,9.102787,-49.449184,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.037964,1.045455,29.0,8.0,0.283762,254.996445,11.286301,0.0,0.010902,3.417989,3.417989,0.002922
14.076218,20210530-092012,20210530,092012,-47.401848,0.0,57.0,0.0,10.0,17.0,163.460571,0.595299,29.0,50.209053,3.429093,3.429093,78.195953,1.0,0.0,1.525663,0.0,-99900.0,0.576349,0.254,0.254,3.429093,1.621253,3.429093,24.646706,121.911522,11.605109,-48.419559,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.447701,1.022727,29.0,9.0,0.249859,251.815643,13.390948,0.0,0.012722,4.585992,4.585992,0.004179
16.669636,20210530-092611,20210530,092611,-46.321972,1.0,3.0,0.0,11.0,24.0,160.207611,0.588282,29.0,22.408739,0.924249,0.924249,33.883114,1.0,0.0,0.115123,0.0,-99900.0,2.01811,0.0,0.0,0.924249,0.673289,0.924249,24.656418,121.937233,16.474621,-46.495392,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.230091,1.0,29.0,10.0,0.0,250.437469,12.316803,0.0,0.011606,1.413521,1.413521,0.004124
