3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-125.067581,20210530-061337,20210530,061337,-68.224892,0.0,3.0,0.0,1.0,29.0,241.387619,2.559213,29.0,34.407734,3.557462,3.557462,106.013039,1.0,0.0,0.324159,0.0,-99900.0,0.0,0.0,0.0,3.557462,2.710044,2.559213,24.459444,120.53331,-125.001221,-68.311386,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.465912,1.0,29.0,0.0,0.0,262.314178,-99900.0,0.0,-99900.0,2.609843,2.609843,-99900.0
-120.874855,20210530-061938,20210530,061938,-67.991104,0.0,9.0,0.0,2.0,30.0,240.642883,2.464479,29.0,34.863514,4.378697,4.378697,79.604507,1.0,0.0,0.974873,0.0,-99900.0,1.027909,0.0,0.0,4.378697,2.984967,2.464479,24.461546,120.574829,-121.131348,-68.05014,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.684967,1.0,29.0,1.0,0.0,266.808472,11.632226,0.0,0.011614,3.74518,3.74518,0.000648
-116.226463,20210530-062539,20210530,062539,-68.349922,0.0,15.0,0.0,3.0,30.0,239.54155,2.360751,29.0,38.645233,4.213945,4.213945,72.342964,1.0,0.0,0.957695,0.0,-99900.0,0.747542,0.0,0.0,4.213945,2.888089,3.297643,24.458321,120.62088,-116.406914,-68.414352,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.834351,1.0,29.0,2.0,0.06966,270.810211,12.246554,0.0,0.012245,3.961679,3.961679,-0.000173
-111.278801,20210530-063140,20210530,063140,-66.868118,0.0,21.0,0.0,4.0,9.0,238.998352,2.22654,29.0,80.876183,4.054616,4.054616,128.037384,1.0,0.0,0.53855,0.0,-99900.0,1.631795,0.508,0.508,4.054616,2.516298,2.22654,24.471645,120.669823,-111.431526,-66.647659,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,129.824173,1.0,29.0,3.0,0.373871,265.38855,12.787868,0.0,0.012746,4.913214,4.913214,0.001028
-106.383072,20210530-063741,20210530,063741,-67.739372,0.0,27.0,0.0,5.0,20.0,237.513367,2.142198,29.0,81.64798,3.844144,3.844144,132.68338,1.0,0.0,0.563846,0.0,-99900.0,1.276771,0.0,0.0,3.844144,2.609302,2.142198,24.46381,120.718346,-106.896431,-67.670166,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.118912,1.0,29.0,4.0,0.082005,267.447052,13.022644,0.0,0.01301,4.408409,4.408409,0.00058
-100.295586,20210530-064343,20210530,064343,-68.471222,0.0,33.0,0.0,6.0,14.0,235.679153,2.032362,29.0,116.125412,4.619287,4.619287,205.903061,1.0,0.0,0.669555,0.0,-99900.0,1.669085,0.254,0.254,4.619287,2.605636,2.032362,24.457228,120.778664,-101.179123,-68.338165,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.439331,1.0,29.0,5.0,0.146972,269.666779,13.630546,0.0,0.01363,5.078435,5.078435,7.9e-05
-93.004501,20210530-064944,20210530,064944,-68.709435,0.0,39.0,0.0,7.0,15.0,233.54422,1.891345,29.0,60.310608,4.450233,4.450233,108.243179,1.0,0.0,1.133712,0.0,-99900.0,2.385514,0.254,0.254,4.450233,2.697407,4.450233,24.455086,120.850883,-93.802345,-68.692787,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.632278,1.02439,29.0,6.0,0.306351,271.440735,15.194586,0.0,0.01519,4.08314,4.08314,-0.000382
-88.075676,20210530-065544,20210530,065544,-67.874695,0.0,45.0,0.0,8.0,11.0,232.380981,1.793328,29.0,66.872398,6.834206,6.834206,138.60434,1.0,0.0,1.610706,0.0,-99900.0,1.111924,0.508,0.508,6.834206,3.209278,4.24941,24.462593,120.899673,-89.904755,-66.961006,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.19487,1.02381,29.0,7.0,0.420252,271.103638,15.958783,0.0,0.015956,5.335808,5.335808,-0.000307
-80.715088,20210530-070145,20210530,070145,-69.649689,0.0,51.0,0.0,9.0,20.0,229.209137,4.088333,29.0,41.955299,5.185288,5.185288,89.340477,1.0,0.0,0.504203,0.0,-99900.0,2.308838,0.254,0.254,5.185288,4.246498,4.088333,24.446629,120.972626,-80.969032,-69.435783,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.611465,1.0,29.0,8.0,0.232426,273.87262,17.057659,0.0,0.017019,1.502581,1.502581,-0.001152
-73.198067,20210530-070746,20210530,070746,-69.858765,0.0,57.0,0.0,10.0,46.0,226.337494,3.844688,29.0,70.806076,4.877852,4.877852,242.304825,1.0,0.0,0.275198,0.0,-99900.0,1.388754,0.0,0.0,4.877852,3.960171,3.844688,24.444748,121.047081,-73.247375,-69.884605,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.184013,1.0,29.0,9.0,0.0,273.315399,18.207756,0.0,0.018177,1.312971,1.312971,-0.001053
