3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-64.444458,20210530-051323,20210530,051323,-24.897861,0.0,3.0,0.0,1.0,25.0,248.876419,0.923383,4.0,28.954424,3.103578,3.103578,75.986618,1.0,0.0,0.73564,0.0,-99900.0,0.0,0.0,0.0,3.103578,1.434121,1.393352,24.849091,121.132729,-64.918365,-25.378284,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.086845,1.0,4.0,0.0,0.0,262.696533,-99900.0,0.0,-99900.0,2.975382,2.975382,-99900.0
-59.086346,20210530-051924,20210530,051924,-21.996202,0.0,9.0,0.0,2.0,23.0,249.58136,0.823637,4.0,25.773127,2.82179,2.82179,61.666603,1.0,0.0,1.010366,0.0,-99900.0,2.396499,0.0,0.0,2.82179,1.425909,0.823637,24.875185,121.185814,-60.286655,-21.390299,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.047832,1.0,4.0,1.0,0.0,241.562469,16.879084,0.0,0.014842,2.717164,2.717164,0.008038
-52.860203,20210530-052526,20210530,052526,-18.15519,0.0,15.0,0.0,3.0,17.0,251.044876,0.724248,4.0,49.166149,2.408479,2.408479,68.951981,1.0,0.0,0.701357,0.0,-99900.0,1.263052,0.0,0.0,2.408479,1.231977,1.426434,24.909729,121.247513,-54.528927,-19.748844,43.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.891071,1.139535,4.0,2.0,0.0,239.797516,18.539743,0.0,0.016023,4.222045,4.222045,0.009327
-46.269962,20210530-053128,20210530,053128,-15.501226,0.0,21.0,0.0,4.0,16.0,251.478516,0.598254,4.0,42.34174,2.671602,2.671602,40.304108,1.0,0.0,1.134674,0.0,-99900.0,1.070326,0.0,0.0,2.671602,1.124993,0.598254,24.933596,121.312859,-47.489544,-15.597154,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.797516,1.0,4.0,3.0,0.0,242.1996,18.987698,0.0,0.016796,5.202619,5.202619,0.008856
-40.187866,20210530-053729,20210530,053729,-13.913971,0.0,27.0,0.0,5.0,16.0,250.903214,0.516085,4.0,40.439289,3.671734,3.671734,63.275181,1.0,0.0,1.304081,0.0,-99900.0,1.609771,0.0,0.0,3.671734,1.434492,1.078615,24.94787,121.373184,-42.072819,-14.34986,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.528381,1.0,4.0,4.0,0.022342,245.103638,18.698439,0.0,0.016961,4.805559,4.805559,0.007872
-33.614834,20210530-054331,20210530,054331,-12.310232,0.0,33.0,0.0,6.0,11.0,249.88681,0.429559,4.0,57.132004,4.667185,4.667185,79.719269,1.0,0.0,1.976998,0.0,-99900.0,1.318969,0.254,0.254,4.667185,1.653767,1.208841,24.962294,121.4384,-36.220688,-12.490352,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.798027,1.0,4.0,5.0,0.179671,247.550583,18.587696,0.0,0.017179,6.828713,6.828713,0.007098
-24.945381,20210530-054933,20210530,054933,-12.943019,0.0,39.0,0.0,7.0,5.0,242.577545,1.269614,4.0,46.970901,4.641134,4.641134,110.692001,1.0,0.0,1.313469,0.0,-99900.0,4.03239,0.254,0.254,4.641134,2.403155,3.093166,24.956602,121.524445,-25.188831,-14.400257,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.10327,1.022727,4.0,6.0,0.346711,254.647873,19.20886,0.0,0.018523,4.132468,4.132468,0.005086
-20.06596,20210530-055534,20210530,055534,-11.942985,0.0,45.0,0.0,8.0,6.0,239.239746,0.281176,4.0,57.53714,4.100796,4.100796,144.252731,1.0,0.0,1.973906,0.0,-99900.0,1.991441,0.0,0.0,4.100796,1.816187,0.813593,24.965595,121.572861,-24.561314,-10.869314,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,23.351181,1.046512,4.0,7.0,0.062761,260.240387,18.801168,0.0,0.018529,4.484573,4.484573,0.003187
-16.877716,20210530-060135,20210530,060135,-10.957069,0.0,51.0,1.0,9.0,6.0,237.008514,1.143556,4.0,19.906973,2.109217,2.109217,30.583019,1.0,0.0,0.447281,0.0,-99900.0,3.504619,0.0,0.0,2.109217,1.382014,1.143556,24.974461,121.604492,-17.198866,-11.402702,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.122492,1.0,4.0,8.0,0.0,262.614471,17.216002,0.0,0.017073,1.583612,1.583612,0.002213
-9.112665,20210530-060736,20210530,060736,-10.607784,0.0,57.0,0.0,10.0,5.0,220.664703,0.181461,4.0,56.719734,3.653463,3.653463,83.191566,1.0,0.0,1.227964,0.0,-99900.0,1.663549,0.254,0.254,3.653463,1.918024,2.75747,24.977602,121.681557,-11.888819,-13.917347,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,13.984483,1.022222,4.0,9.0,0.195144,264.143555,16.728718,0.0,0.016641,5.399989,5.399989,0.001707
