3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
13.405059,20210530-040113,20210530,040113,88.351784,0.0,57.0,1.0,10.0,7.0,8.627308,1.318512,90.0,144.570587,5.144913,5.144913,259.674042,1.0,0.0,0.997626,0.0,-99900.0,1.375026,0.508,0.508,5.144913,2.324734,3.28111,25.867567,121.905533,12.459792,89.516731,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.36293,1.046512,90.0,9.0,0.60578,286.125427,13.565907,0.0,0.013032,5.64924,5.64924,-0.003768
18.491581,20210530-040714,20210530,040714,87.881081,1.0,3.0,0.0,11.0,2.0,11.882575,1.317721,90.0,204.473724,5.225532,5.225532,285.859283,1.0,0.0,0.897169,0.0,-99900.0,0.967996,1.016,1.016,5.225532,2.374992,3.332584,25.863333,121.9562,17.637276,88.602631,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,89.805473,1.044444,90.0,10.0,1.807974,290.498932,14.051898,0.0,0.013162,7.462283,7.462283,-0.004921
24.213863,20210530-041315,20210530,041315,85.832054,1.0,9.0,0.0,12.0,2.0,15.754119,1.294753,90.0,124.77298,5.299776,5.299776,127.908173,1.0,0.0,2.005298,0.0,-99900.0,1.00831,1.016,1.016,5.299776,2.526194,2.564285,25.844906,122.013184,22.908995,86.222084,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,89.182129,1.021277,90.0,11.0,1.973537,288.98764,13.961354,0.0,0.013202,8.699716,8.699716,-0.004543
30.294214,20210530-041916,20210530,041916,85.472946,1.0,15.0,0.0,13.0,2.0,19.515829,1.320083,90.0,151.322647,5.423425,5.423425,155.689163,1.0,0.0,1.49281,0.0,-99900.0,1.835298,1.016,1.016,5.423425,2.659535,1.958551,25.841677,122.073746,29.050915,85.664627,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,90.68277,1.021277,90.0,12.0,1.503,285.118164,14.526193,0.0,0.014023,8.294117,8.294117,-0.003789
34.87532,20210530-042516,20210530,042516,86.132629,1.0,21.0,0.0,14.0,2.0,22.043098,1.36419,90.0,127.89402,5.613962,5.613962,134.29837,1.0,0.0,1.709048,0.0,-99900.0,2.076837,1.27,1.27,5.613962,2.647985,2.012798,25.84761,122.119377,33.901455,86.168541,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,92.925339,1.021277,90.0,13.0,3.148284,279.213135,14.661048,0.0,0.014472,9.117561,9.117561,-0.002347
47.002529,20210530-043718,20210530,043718,84.556091,1.0,33.0,0.0,15.0,10.0,29.068476,1.4414,90.0,126.324715,3.672678,3.672678,141.593674,1.0,0.0,1.153082,0.0,-99900.0,1.682645,0.508,0.508,3.672678,2.468546,1.4414,25.833431,122.240143,46.601059,84.24881,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.741776,1.0,90.0,14.0,0.390178,276.167297,15.599367,0.0,0.015509,5.979943,5.979943,-0.001676
52.426514,20210530-044319,20210530,044319,84.120125,1.0,39.0,1.0,16.0,3.0,31.932484,1.494512,90.0,201.133286,6.046684,6.046684,272.074341,1.0,0.0,0.947935,0.0,-99900.0,0.243151,1.016,1.016,6.046684,2.311127,1.494512,25.829512,122.294159,51.282829,84.4049,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,99.119797,1.0,90.0,15.0,1.485159,275.141266,15.726384,0.0,0.015663,7.682159,7.682159,-0.001409
55.743092,20210530-044920,20210530,044920,85.288513,1.0,45.0,0.0,17.0,7.0,33.167858,1.558314,90.0,172.314957,5.001889,5.001889,313.19928,1.0,0.0,0.784524,0.0,-99900.0,2.877171,0.508,0.508,5.001889,2.184186,2.274431,25.840019,122.327217,55.419952,85.27227,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.889267,1.0,90.0,16.0,0.545402,272.24295,14.95547,0.0,0.014944,5.82609,5.82609,-0.000585
58.200367,20210530-045521,20210530,045521,86.772133,1.0,51.0,1.0,18.0,19.0,33.850723,1.621008,90.0,104.787125,5.114787,5.114787,212.555664,1.0,0.0,0.898437,0.0,-99900.0,3.391418,0.254,0.254,5.114787,2.376106,1.621008,25.853361,122.351723,58.131699,86.881607,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.482941,1.0,90.0,17.0,0.097147,269.590485,13.575284,0.0,0.013575,3.758922,3.758922,9.7e-05
63.017429,20210530-050121,20210530,050121,86.639999,1.0,57.0,0.0,19.0,13.0,36.030109,1.669174,90.0,60.994846,4.157159,4.157159,93.905472,1.0,0.0,1.136262,0.0,-99900.0,0.181101,0.254,0.254,4.157159,2.34911,3.20048,25.852173,122.399704,62.032738,86.794586,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.133965,1.023256,90.0,18.0,0.347639,267.495941,12.578142,0.0,0.012566,4.601152,4.601152,0.00055
