3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
5.396198,20210530-053729,20210530,053729,87.743713,0.0,3.0,0.0,1.0,31.0,3.519223,1.264939,61.0,30.935341,4.166296,4.166296,118.184547,1.0,0.0,1.20357,0.0,-99900.0,0.0,0.0,0.0,4.166296,2.342642,4.166296,25.862099,121.825752,4.40682,87.62719,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.909492,1.081081,61.0,0.0,0.0,262.186737,-99900.0,0.0,-99900.0,2.576511,2.576511,-99900.0
9.987985,20210530-054331,20210530,054331,89.756714,0.0,9.0,0.0,2.0,13.0,6.349645,1.314763,61.0,47.612877,4.307487,4.307487,125.625267,1.0,0.0,1.597145,0.0,-99900.0,1.548869,0.254,0.254,4.307487,2.305789,4.307487,25.880201,121.871506,9.144588,89.731537,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.31073,1.02439,61.0,1.0,0.261156,246.327759,13.849878,0.0,0.012685,3.82258,3.82258,0.005561
15.051811,20210530-054933,20210530,054933,91.555527,0.0,15.0,1.0,3.0,22.0,9.335944,1.378607,61.0,47.377323,4.359794,4.359794,139.893661,1.0,0.0,0.827009,0.0,-99900.0,0.518355,0.0,0.0,4.359794,2.191671,1.378607,25.896379,121.921959,14.307943,92.187653,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,92.784538,1.0,61.0,2.0,0.033857,248.457031,14.338127,0.0,0.013337,3.524432,3.524432,0.005265
20.079826,20210530-055534,20210530,055534,92.595917,0.0,18.0,0.0,4.0,27.0,12.235364,1.402105,61.0,24.403677,2.75657,2.75657,89.419983,1.0,0.0,0.380072,0.0,-99900.0,0.88636,0.0,0.0,2.75657,1.698624,2.086854,25.905735,121.972054,19.641621,92.349953,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.7481,1.0,61.0,3.0,0.0,251.580276,14.31199,0.0,0.013579,1.55964,1.55964,0.004522
25.608667,20210530-060135,20210530,060135,97.096527,0.0,0.0,0.0,4.0,27.0,14.774952,1.527841,61.0,20.995441,2.23998,2.23998,83.167274,1.0,0.0,0.21856,0.0,-99900.0,2.935797,0.0,0.0,2.23998,1.723819,2.23998,25.946211,122.027184,25.341663,97.049126,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.416824,1.0,61.0,3.0,0.0,246.903915,15.191563,0.0,0.013974,1.155341,1.155341,0.005959
31.168837,20210530-060736,20210530,060736,98.849899,0.0,0.0,0.0,1.0,33.0,17.500793,1.593158,61.0,19.49538,2.362996,2.362996,77.484818,1.0,0.0,0.290972,0.0,-99900.0,0.651277,0.0,0.0,2.362996,1.761619,2.362996,25.961979,122.082611,31.065493,98.498726,37.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.647476,1.027027,61.0,0.0,0.0,246.501877,15.582991,0.0,0.014291,1.248593,1.248593,0.006213
36.104836,20210530-061337,20210530,061337,101.848152,0.0,0.0,0.0,2.0,39.0,19.519203,1.691107,61.0,21.822266,3.239043,3.239043,80.129013,1.0,0.0,0.555041,0.0,-99900.0,0.787493,0.0,0.0,3.239043,2.076483,1.691107,25.988943,122.131836,35.748631,101.543808,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.058342,1.0,61.0,1.0,0.0,244.791016,16.129803,0.0,0.014594,1.778169,1.778169,0.00687
37.554287,20210530-061938,20210530,061938,101.35685,0.0,0.0,0.0,1.0,46.0,20.330402,1.70275,61.0,33.052258,2.433409,2.433409,131.668396,1.0,0.0,0.169519,0.0,-99900.0,4.838662,0.0,0.0,2.433409,1.768074,1.70275,25.984524,122.146278,37.725456,101.372925,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.090401,1.0,61.0,0.0,0.0,244.705887,14.544183,0.0,0.01315,1.397556,1.397556,0.006214
42.361347,20210530-062539,20210530,062539,102.905067,0.0,6.0,0.0,1.0,48.0,22.374689,1.782455,61.0,36.965183,3.317119,3.317119,138.081833,1.0,0.0,0.566712,0.0,-99900.0,0.697698,0.0,0.0,3.317119,2.068103,2.508991,25.998447,122.194206,42.775234,103.112701,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.283134,1.026316,61.0,0.0,0.0,246.135284,13.170384,0.0,0.012044,2.000994,2.000994,0.005328
45.758499,20210530-063140,20210530,063140,104.549469,0.0,15.0,0.0,1.0,38.0,23.63765,1.839091,61.0,28.948874,3.451868,3.451868,98.97699,1.0,0.0,0.640291,0.0,-99900.0,0.990997,0.0,0.0,3.451868,2.131856,2.637828,26.013237,122.228096,45.362183,104.648438,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.124634,1.0,61.0,0.0,0.0,250.178894,11.422775,0.0,0.010746,2.169978,2.169978,0.003873
