3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-56.142277,20210530-050722,20210530,050722,52.991951,0.0,0.0,0.0,1.0,48.0,313.346649,2.143502,86.0,17.329533,4.518649,4.518649,91.877045,1.0,0.0,1.096871,0.0,-99900.0,0.0,0.0,0.0,4.518649,2.788807,2.81411,25.549568,121.213486,-56.325287,53.039913,37.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.201698,1.054054,86.0,0.0,0.0,259.139557,-99900.0,0.0,-99900.0,1.699653,1.699653,-99900.0
-52.085793,20210530-051323,20210530,051323,54.707554,0.0,45.0,1.0,1.0,31.0,316.406433,1.046548,86.0,16.373043,3.465483,3.465483,46.229889,1.0,0.0,1.254721,0.0,-99900.0,1.342798,0.0,0.0,3.465483,2.085238,3.465483,25.564999,121.253807,-53.222294,54.905674,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.537048,1.025,86.0,0.0,0.033392,247.075119,12.200477,0.0,0.011237,2.645218,2.645218,0.004752
-46.902905,20210530-051924,20210530,051924,56.187893,0.0,33.0,0.0,1.0,28.0,320.146606,1.007296,86.0,30.468729,3.298892,3.298892,80.151375,1.0,0.0,0.853698,0.0,-99900.0,1.150697,0.0,0.0,3.298892,1.832872,2.603662,25.57831,121.305344,-48.20042,56.604973,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.191269,1.02439,86.0,0.0,0.0,250.919266,13.540882,0.0,0.012797,3.035164,3.035164,0.004427
-39.634037,20210530-052526,20210530,052526,57.449379,0.0,15.0,0.0,1.0,31.0,325.398499,0.959071,86.0,40.437977,5.139376,5.139376,102.323647,1.0,0.0,1.434301,0.0,-99900.0,2.65833,0.0,0.0,5.139376,2.516776,2.515146,25.589655,121.377647,-42.768929,57.543232,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.794617,1.0,86.0,0.0,0.0,254.812683,15.691216,0.0,0.015143,3.939837,3.939837,0.004111
-34.463432,20210530-053128,20210530,053128,59.791477,0.0,3.0,1.0,1.0,8.0,330.041199,0.940113,86.0,48.028801,3.947489,3.947489,73.485939,1.0,0.0,0.867954,0.0,-99900.0,0.908962,0.508,0.508,3.947489,2.728545,3.947489,25.610718,121.42907,-37.929672,59.594337,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.012672,1.071429,86.0,0.0,0.590142,253.68042,16.087292,0.0,0.015439,4.514713,4.514713,0.00452
-30.349386,20210530-053729,20210530,053729,61.316456,0.0,3.0,1.0,1.0,3.0,333.666351,0.921631,86.0,87.80291,5.041222,5.041222,112.724258,1.0,0.0,1.682595,0.0,-99900.0,1.463388,1.016,1.016,5.041222,2.460682,3.93439,25.624432,121.469986,-32.410324,61.597733,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,68.416321,1.044444,86.0,0.0,2.021578,252.911087,15.637156,0.0,0.014947,7.369899,7.369899,0.004595
-25.532091,20210530-054331,20210530,054331,62.34343,0.0,45.0,0.0,1.0,2.0,337.729004,0.893003,86.0,122.526917,6.182928,6.182928,156.96814,1.0,0.0,2.875922,0.0,-99900.0,0.870186,1.27,1.27,6.182928,2.363517,3.941514,25.633669,121.517914,-27.153124,62.323879,45.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,67.369064,1.066667,86.0,0.0,2.975227,253.40538,15.466181,0.0,0.014822,8.794097,8.794097,0.004417
-20.093851,20210530-054933,20210530,054933,63.190113,0.0,51.0,1.0,1.0,1.0,342.359863,0.87639,86.0,117.805077,6.056465,6.056465,143.820648,1.0,0.0,2.695017,0.0,-99900.0,0.755814,1.27,1.27,6.056465,2.508801,2.380737,25.641283,121.572029,-21.875216,63.361996,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,66.308022,1.043478,86.0,0.0,3.098839,254.15593,14.816833,0.0,0.014254,9.099383,9.099383,0.004045
-14.407719,20210530-055534,20210530,055534,63.953419,0.0,57.0,0.0,1.0,1.0,347.304138,0.859311,86.0,82.107445,4.759507,4.759507,135.726898,1.0,0.0,1.531748,0.0,-99900.0,0.882033,0.762,0.762,4.759507,2.329311,3.005098,25.648148,121.628616,-16.358318,63.99007,44.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.556252,1.068182,86.0,0.0,0.845627,255.892822,14.179538,0.0,0.013752,6.280179,6.280179,0.003456
-9.149054,20210530-060135,20210530,060135,65.214798,1.0,3.0,1.0,1.0,2.0,352.014038,0.85556,86.0,69.211182,3.798069,3.798069,108.352417,1.0,0.0,0.954676,0.0,-99900.0,0.294548,0.254,0.254,3.798069,2.02411,0.85556,25.659491,121.680946,-10.78461,64.941414,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,65.853432,1.0,86.0,0.0,0.280084,258.718628,14.493929,0.0,0.014214,4.73522,4.73522,0.002835
