3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-152.612289,20210530-045521,20210530,045521,-62.575611,0.0,3.0,0.0,1.0,44.0,247.70517,3.207153,33.0,31.278006,4.333879,4.333879,87.7649,1.0,0.0,0.480438,0.0,-99900.0,0.0,0.0,0.0,4.333879,3.379985,3.207153,24.51025,120.260193,-152.734589,-62.554832,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.943085,1.0,33.0,0.0,0.029503,256.703888,-99900.0,0.0,-99900.0,3.316691,3.316691,-99900.0
-148.326202,20210530-050121,20210530,050121,-62.055195,0.0,9.0,0.0,2.0,34.0,247.297302,3.085668,33.0,41.68684,5.288926,5.288926,92.140526,1.0,0.0,0.951071,0.0,-99900.0,0.803065,0.0,0.0,5.288926,3.429343,3.085668,24.514931,120.302628,-148.573715,-61.975239,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,160.784042,1.0,33.0,1.0,0.022518,263.077026,11.993193,0.0,0.011906,3.999961,3.999961,0.001446
-145.137344,20210530-050722,20210530,050722,-60.646145,0.0,15.0,0.0,3.0,32.0,247.322479,2.985618,33.0,82.364433,5.081751,5.081751,224.943298,1.0,0.0,0.50012,0.0,-99900.0,1.420298,0.0,0.0,5.081751,3.194788,2.985618,24.527601,120.334145,-145.551208,-60.377388,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,157.298462,1.0,33.0,2.0,0.040979,255.522598,10.706712,0.0,0.010367,4.401474,4.401474,0.002677
-142.764282,20210530-051323,20210530,051323,-59.278481,0.0,21.0,0.0,4.0,32.0,247.451096,2.907608,33.0,116.770454,4.982835,4.982835,384.160645,1.0,0.0,0.422919,0.0,-99900.0,1.426941,0.0,0.0,4.982835,3.160897,2.907608,24.539902,120.357582,-143.103104,-59.256641,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,154.58194,1.0,33.0,3.0,0.013549,250.949982,9.599799,0.0,0.009074,3.370466,3.370466,0.003133
-140.291718,20210530-051924,20210530,051924,-57.898621,0.0,27.0,0.0,5.0,9.0,247.574249,2.825679,33.0,80.636398,3.851891,3.851891,142.522247,1.0,0.0,0.353144,0.0,-99900.0,0.84081,0.254,0.254,3.851891,3.090409,2.825679,24.552311,120.382011,-140.554428,-57.932003,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.769608,1.0,33.0,4.0,0.342181,248.114838,9.020654,0.0,0.008371,4.813087,4.813087,0.003362
-136.378525,20210530-052526,20210530,052526,-57.394249,0.0,33.0,0.0,6.0,2.0,247.176697,2.714672,33.0,164.707596,4.77473,4.77473,221.968536,1.0,0.0,0.521297,0.0,-99900.0,1.134861,1.016,1.016,4.77473,3.074919,2.714672,24.556847,120.420753,-136.585373,-57.222301,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,147.963516,1.0,33.0,5.0,1.491416,249.734726,9.081554,0.0,0.008519,7.354219,7.354219,0.003146
-131.535172,20210530-053128,20210530,053128,-58.112129,0.0,39.0,1.0,7.0,3.0,246.164459,2.623295,33.0,164.115509,7.290329,7.290329,236.627853,1.0,0.0,2.131433,0.0,-99900.0,2.557758,1.524,1.524,7.290329,3.837465,3.602957,24.55039,120.468781,-132.686661,-57.955502,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,30.0,30.0,0.0,0.0,143.800278,1.021277,33.0,6.0,3.615783,254.696899,9.23923,0.0,0.008912,10.590472,10.590472,0.002438
-126.977394,20210530-053729,20210530,053729,-56.488163,0.0,45.0,0.0,8.0,2.0,246.017517,2.481467,33.0,345.487885,6.969587,6.969587,391.728058,1.0,0.0,1.115465,0.0,-99900.0,1.533124,1.27,1.27,6.969587,3.287944,3.430008,24.564995,120.513863,-127.796654,-56.109177,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,138.975433,1.0,33.0,7.0,2.25807,259.074249,10.336552,0.0,0.010149,9.640005,9.640005,0.001959
-122.827248,20210530-054331,20210530,054331,-55.531681,0.0,51.0,1.0,9.0,1.0,245.671967,2.365957,33.0,310.395447,8.352171,8.352171,347.310974,1.0,0.0,2.193179,0.0,-99900.0,0.53652,1.27,1.27,8.352171,3.2983,4.210787,24.573597,120.554939,-123.168785,-55.80444,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,134.797256,1.0,33.0,8.0,3.191011,261.24704,11.549027,0.0,0.011415,10.484565,10.484565,0.001757
-120.659019,20210530-054933,20210530,054933,-54.000484,0.0,57.0,0.0,10.0,2.0,245.889557,2.292728,33.0,240.731979,8.107569,8.107569,300.075043,1.0,0.0,1.696363,0.0,-99900.0,2.158156,1.27,1.27,8.107569,3.352082,3.211167,24.587368,120.576355,-120.973511,-53.84021,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,132.191711,1.0,33.0,9.0,2.485878,259.450409,11.518654,0.0,0.011324,10.610022,10.610022,0.002109
-116.917313,20210530-055534,20210530,055534,-53.657448,1.0,3.0,1.0,11.0,2.0,245.348221,2.198781,33.0,160.691208,5.117598,5.117598,215.457169,1.0,0.0,0.771561,0.0,-99900.0,0.542988,0.762,0.762,5.117598,2.669017,3.105355,24.590452,120.613419,-117.060242,-53.612373,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,128.642059,1.0,33.0,10.0,1.307353,256.587067,10.890682,0.0,0.010594,6.891073,6.891073,0.002526
-114.657654,20210530-060135,20210530,060135,-52.647194,1.0,9.0,0.0,12.0,1.0,245.337173,2.136376,33.0,131.783875,4.946903,4.946903,198.256348,1.0,0.0,0.813592,0.0,-99900.0,1.567719,0.508,0.508,4.946903,2.610472,3.015693,24.599537,120.635773,-114.785934,-52.646992,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.166977,1.022727,33.0,11.0,0.546624,252.258102,9.687517,0.0,0.009227,5.9133,5.9133,0.002952
-110.942757,20210530-060736,20210530,060736,-52.660828,1.0,15.0,1.0,13.0,4.0,244.608124,2.054214,33.0,78.266258,4.817603,4.817603,136.249207,1.0,0.0,0.893433,0.0,-99900.0,1.14562,0.254,0.254,4.817603,2.712979,2.054214,24.599415,120.672585,-111.08696,-52.76841,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.806587,1.0,33.0,12.0,0.270614,255.451935,8.856421,0.0,0.008572,4.910603,4.910603,0.002225
-107.219215,20210530-061337,20210530,061337,-52.339386,1.0,21.0,0.0,14.0,7.0,243.98082,1.967098,33.0,114.999481,4.641984,4.641984,165.805817,1.0,0.0,1.039449,0.0,-99900.0,0.792145,0.508,0.508,4.641984,2.390871,2.794517,24.602304,120.709473,-107.29361,-52.432564,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.312073,1.022727,33.0,13.0,0.399562,259.141449,8.816528,0.0,0.008659,5.463424,5.463424,0.001661
-103.097206,20210530-061938,20210530,061938,-51.873577,1.0,27.0,1.0,15.0,27.0,243.290924,1.878709,33.0,59.319927,3.461199,3.461199,113.703384,1.0,0.0,0.623911,0.0,-99900.0,1.005173,0.0,0.0,3.461199,2.486424,1.878709,24.606495,120.750305,-102.819588,-53.126389,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.41188,1.0,33.0,14.0,0.039338,263.109985,9.615797,0.0,0.009546,3.630735,3.630735,0.001154
