3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
25.244114,20210530-083203,20210530,083203,39.455715,0.0,3.0,0.0,1.0,42.0,32.611397,1.198855,76.0,12.311129,2.129061,2.129061,36.258915,1.0,0.0,0.406405,0.0,-99900.0,0.0,0.0,0.0,2.129061,1.507646,2.129061,25.427834,122.02301,24.997328,39.36018,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.840351,1.0,76.0,0.0,0.0,264.132965,-99900.0,0.0,-99900.0,0.862762,0.862762,-99900.0
29.68951,20210530-083804,20210530,083804,39.667423,0.0,9.0,1.0,2.0,34.0,36.813328,0.575119,76.0,18.383198,2.281962,2.281962,56.81517,1.0,0.0,0.62233,0.0,-99900.0,0.83345,0.0,0.0,2.281962,1.229413,0.917684,25.429739,122.067215,28.074286,39.492489,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.547672,1.05,76.0,1.0,0.0,267.273407,12.328176,0.0,0.012314,1.737162,1.737162,0.000586
35.200809,20210530-084405,20210530,084405,40.036888,0.0,15.0,0.0,3.0,40.0,41.32214,1.006078,76.0,19.306572,2.476432,2.476432,66.91745,1.0,0.0,0.572094,0.0,-99900.0,1.07748,0.0,0.0,2.476432,1.39565,1.36877,25.433062,122.122025,34.514179,39.717896,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.310875,1.051282,76.0,2.0,0.0,266.659424,13.813961,0.0,0.01379,1.197129,1.197129,0.000805
38.840454,20210530-085007,20210530,085007,36.986073,0.0,21.0,0.0,4.0,43.0,46.400814,1.012546,76.0,45.304409,2.496292,2.496292,157.119583,1.0,0.0,0.347689,0.0,-99900.0,3.605503,0.0,0.0,2.496292,1.485539,1.897522,25.405624,122.158165,37.931973,36.880466,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.633484,1.051282,76.0,3.0,0.0,278.652008,12.961921,0.0,0.012814,1.305758,1.305758,-0.00195
41.485771,20210530-085608,20210530,085608,33.315594,0.0,27.0,0.0,5.0,29.0,51.233299,0.655775,76.0,35.786583,2.394802,2.394802,117.284103,1.0,0.0,0.599229,0.0,-99900.0,3.567019,0.0,0.0,2.394802,1.05781,1.840152,25.372616,122.18441,41.14724,34.517159,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,53.207123,1.04878,76.0,4.0,0.0,289.770081,12.244954,0.0,0.011523,1.93201,1.93201,-0.004142
47.788303,20210530-090209,20210530,090209,35.242455,0.0,33.0,0.0,6.0,29.0,53.592201,0.72137,76.0,63.611172,3.058979,3.058979,188.096161,1.0,0.0,0.422237,0.0,-99900.0,4.037504,0.0,0.0,3.058979,1.175351,0.72137,25.389944,122.247101,46.321239,34.601059,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.378048,1.0,76.0,5.0,0.0,285.883759,12.477888,0.0,0.012001,2.357644,2.357644,-0.003415
53.469379,20210530-090809,20210530,090809,32.894558,0.0,39.0,0.0,7.0,43.0,58.399879,1.685444,76.0,59.541241,2.93351,2.93351,193.220108,1.0,0.0,0.326758,0.0,-99900.0,1.761279,0.0,0.0,2.93351,1.821005,2.178817,25.36883,122.303535,53.296906,33.51413,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.777596,1.025,76.0,6.0,0.0,288.05426,13.257292,0.0,0.012605,1.146562,1.146562,-0.004109
56.917072,20210530-091410,20210530,091410,30.066269,0.0,45.0,0.0,8.0,36.0,62.154739,2.289367,76.0,36.76931,2.980909,2.980909,114.185287,1.0,0.0,0.198123,0.0,-99900.0,1.739197,0.0,0.0,2.980909,2.352291,2.289367,25.343393,122.337746,56.852825,30.118069,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.370285,1.0,76.0,7.0,0.0,290.768707,13.441492,0.0,0.012568,0.863361,0.863361,-0.004766
53.369804,20210530-092012,20210530,092012,24.098516,0.0,51.0,0.0,9.0,39.0,65.698845,2.061247,76.0,85.585228,3.432021,3.432021,271.302002,1.0,0.0,0.237623,0.0,-99900.0,9.140973,0.0,0.0,3.432021,2.130741,2.061247,25.289724,122.302376,53.397549,24.004665,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,58.5583,1.0,76.0,8.0,0.0,301.56781,11.576845,0.0,0.009864,1.35111,1.35111,-0.006061
63.919079,20210530-092611,20210530,092611,26.723038,0.0,57.0,0.0,10.0,36.0,67.311203,1.988839,76.0,41.762001,3.409401,3.409401,109.454079,1.0,0.0,0.267376,0.0,-99900.0,8.494549,0.0,0.0,3.409401,2.30102,2.355692,25.313328,122.407265,67.026642,27.886372,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.280373,1.02439,76.0,9.0,0.0,297.626129,11.828925,0.0,0.01048,1.404568,1.404568,-0.005485
