3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-99.090935,20210530-061938,20210530,061938,-33.998672,0.0,0.0,0.0,1.0,45.0,251.062866,1.623975,60.0,15.967454,2.377443,2.377443,55.779259,1.0,0.0,0.274215,0.0,-99900.0,0.0,0.0,0.0,2.377443,1.713938,1.623975,24.767246,120.789368,-99.035149,-33.876144,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,104.761269,1.0,60.0,0.0,0.0,263.092773,-99900.0,0.0,-99900.0,1.30455,1.30455,-99900.0
-94.585274,20210530-062539,20210530,062539,-33.007389,0.0,0.0,0.0,1.0,36.0,250.762817,1.52553,60.0,36.485104,2.220447,2.220447,127.555214,1.0,0.0,0.280471,0.0,-99900.0,0.608614,0.0,0.0,2.220447,1.601155,2.220447,24.776161,120.834015,-94.64061,-32.902435,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,100.179146,1.0,60.0,0.0,0.0,257.592133,12.779595,0.0,0.012481,1.709571,1.709571,0.002746
-88.851639,20210530-063140,20210530,063140,-32.270477,0.0,15.0,0.0,1.0,32.0,250.03949,1.407688,60.0,30.816692,3.527045,3.527045,81.779175,1.0,0.0,1.03414,0.0,-99900.0,1.254029,0.0,0.0,3.527045,2.045774,1.407688,24.782789,120.890854,-89.254791,-31.593987,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.530403,1.0,60.0,0.0,0.0,260.419861,14.38245,0.0,0.014182,2.591604,2.591604,0.002394
-84.085693,20210530-063741,20210530,063741,-33.177097,0.0,15.0,0.0,1.0,38.0,248.467911,2.584604,60.0,51.673336,3.338874,3.338874,160.831482,1.0,0.0,0.197326,0.0,-99900.0,1.805701,0.0,0.0,3.338874,2.68693,2.584604,24.774635,120.938141,-84.214813,-33.152481,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.394264,1.0,60.0,0.0,0.0,266.390167,14.085946,0.0,0.014058,0.974227,0.974227,0.000887
-79.908997,20210530-064343,20210530,064343,-32.833572,0.0,15.0,0.0,1.0,27.0,247.663147,1.258617,60.0,98.092354,4.007133,4.007133,199.561493,1.0,0.0,0.639497,0.0,-99900.0,0.912577,0.0,0.0,4.007133,1.98646,1.258617,24.777723,120.979553,-81.193268,-32.411003,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,86.391502,1.0,60.0,0.0,0.019615,267.468933,13.54101,0.0,0.013528,3.74806,3.74806,0.000598
-73.939163,20210530-064944,20210530,064944,-32.685848,0.0,21.0,0.0,1.0,14.0,246.151764,1.156075,60.0,62.836365,4.770823,4.770823,140.393158,1.0,0.0,1.438882,0.0,-99900.0,1.088431,0.254,0.254,4.770823,2.419698,2.984528,24.779053,121.03875,-75.785683,-31.900396,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.841606,1.04878,60.0,0.0,0.10168,267.973053,13.814854,0.0,0.013806,3.936914,3.936914,0.000489
-69.918541,20210530-065544,20210530,065544,-32.566029,0.0,21.0,1.0,1.0,7.0,245.025543,1.092665,60.0,158.864105,5.568296,5.568296,273.428925,1.0,0.0,1.336026,0.0,-99900.0,0.95127,0.508,0.508,5.568296,2.031457,3.493077,24.78013,121.078621,-71.928322,-32.474995,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,77.13073,1.022727,60.0,0.0,0.599154,269.566315,13.628689,0.0,0.013628,5.984415,5.984415,0.000103
-63.844467,20210530-070145,20210530,070145,-32.300976,0.0,39.0,0.0,1.0,6.0,243.163956,0.987112,60.0,218.096405,6.35047,6.35047,344.731873,1.0,0.0,1.138737,0.0,-99900.0,1.176525,0.508,0.508,6.35047,1.873588,2.54801,24.782513,121.138847,-65.630333,-32.515728,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.550461,1.044444,60.0,0.0,0.745786,269.396667,13.73287,0.0,0.013732,7.327132,7.327132,0.000145
-58.331844,20210530-070746,20210530,070746,-31.405926,1.0,39.0,0.0,1.0,2.0,241.702209,0.902169,60.0,192.610275,5.783841,5.783841,300.563049,1.0,0.0,1.906618,0.0,-99900.0,1.009348,0.762,0.762,5.783841,1.730337,3.611146,24.790562,121.193497,-60.570881,-31.99831,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.249046,1.0,60.0,0.0,0.823841,266.656311,14.352865,0.0,0.014328,7.461236,7.461236,0.000837
-55.270164,20210530-071347,20210530,071347,-33.689159,0.0,33.0,0.0,1.0,8.0,238.636475,0.818047,60.0,139.02478,4.877537,4.877537,228.582687,1.0,0.0,0.674969,0.0,-99900.0,3.337714,0.254,0.254,4.877537,1.41643,0.818047,24.770029,121.223907,-55.513531,-31.117849,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,64.728279,1.0,60.0,0.0,0.245193,270.057007,13.94554,0.0,0.013946,5.325609,5.325609,-1.4e-05
-47.331657,20210530-071948,20210530,071948,-39.642998,0.0,45.0,0.0,1.0,1.0,230.052185,2.830938,60.0,105.381256,5.714795,5.714795,194.728638,1.0,0.0,0.680467,0.0,-99900.0,6.619878,1.016,1.016,5.714795,3.336622,4.521235,24.716484,121.302734,-47.130558,-39.828224,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,61.740208,1.0,60.0,0.0,1.614655,281.542023,14.747813,0.0,0.01445,3.79419,3.79419,-0.002951
