3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-108.908058,20210530-040714,20210530,040714,-5.439667,0.0,3.0,0.0,1.0,24.0,267.140808,1.72526,83.0,21.301054,3.226263,3.226263,50.999275,1.0,0.0,0.786859,0.0,-99900.0,0.0,0.0,0.0,3.226263,2.123079,1.72526,25.024084,120.690887,-109.034592,-5.048985,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.043823,1.0,83.0,0.0,0.0,265.514038,-99900.0,0.0,-99900.0,2.373901,2.373901,-99900.0
-102.720192,20210530-041315,20210530,041315,-4.815016,0.0,9.0,0.0,2.0,27.0,267.316437,2.300998,83.0,40.27095,3.833642,3.833642,110.965675,1.0,0.0,0.58441,0.0,-99900.0,1.509091,0.0,0.0,3.833642,2.521503,3.041051,25.029701,120.752289,-102.725014,-4.637682,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.832985,1.0,83.0,1.0,0.014114,264.235657,17.228079,0.0,0.017141,1.724925,1.724925,0.00173
-98.331306,20210530-041916,20210530,041916,-3.786778,0.0,15.0,0.0,3.0,21.0,267.79483,1.494083,83.0,66.846115,4.676006,4.676006,151.69281,1.0,0.0,0.777081,0.0,-99900.0,1.843717,0.0,0.0,4.676006,2.158291,2.164254,25.038948,120.795822,-98.695297,-3.069073,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.404198,1.046512,83.0,2.0,0.021907,261.117889,14.82706,0.0,0.014649,4.318773,4.318773,0.002289
-93.909103,20210530-042516,20210530,042516,-3.797252,0.0,21.0,0.0,4.0,24.0,267.684692,1.425703,83.0,56.49118,4.374886,4.374886,124.40892,1.0,0.0,1.435262,0.0,-99900.0,1.192357,0.0,0.0,4.374886,2.362048,2.078841,25.038853,120.839729,-95.446991,-4.141973,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.985847,1.045455,83.0,3.0,0.041844,263.12265,13.791416,0.0,0.013692,4.778767,4.778767,0.001651
-80.229111,20210530-043718,20210530,043718,2.144061,0.0,33.0,0.0,5.0,23.0,271.531036,2.945867,83.0,46.130432,4.692751,4.692751,114.966003,1.0,0.0,0.615908,0.0,-99900.0,6.078563,0.254,0.254,4.692751,3.180184,2.945867,25.092285,120.975357,-80.39978,2.143082,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.257759,1.0,83.0,4.0,0.097002,255.45694,16.01376,0.0,0.015501,2.015357,2.015357,0.004021
-75.707207,20210530-044319,20210530,044319,4.520338,0.0,39.0,0.0,6.0,26.0,273.417175,1.060138,83.0,32.984608,4.381179,4.381179,71.711136,1.0,0.0,1.792323,0.0,-99900.0,1.417064,0.0,0.0,4.381179,2.147619,1.060138,25.113655,121.020195,-77.00219,5.442087,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.842041,1.0,83.0,5.0,0.0,253.006088,16.159769,0.0,0.015454,3.817258,3.817258,0.004723
-69.741562,20210530-044920,20210530,044920,2.775531,0.0,45.0,0.0,7.0,43.0,272.279236,3.241416,83.0,40.517101,4.054481,4.054481,138.471924,1.0,0.0,0.256828,0.0,-99900.0,3.471421,0.0,0.0,4.054481,3.308979,3.241416,25.097963,121.079483,-69.791847,2.815228,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,69.796768,1.0,83.0,6.0,0.0,253.979492,16.257029,0.0,0.015626,0.907739,0.907739,0.004487
-62.910572,20210530-045521,20210530,045521,-4.970383,0.0,51.0,1.0,8.0,25.0,265.482819,0.793285,83.0,12.270269,1.380955,1.380955,18.099421,1.0,0.0,0.316136,0.0,-99900.0,9.440905,0.0,0.0,1.380955,0.879739,0.793285,25.028303,121.147491,-61.96386,-5.105559,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.106613,1.0,83.0,7.0,0.0,264.743866,16.491829,0.0,0.016422,1.899802,1.899802,0.001511
-54.154205,20210530-050121,20210530,050121,-0.87123,0.0,57.0,0.0,9.0,27.0,269.078522,2.466254,83.0,32.869495,3.051308,3.051308,83.977921,1.0,0.0,0.211527,0.0,-99900.0,4.553004,0.0,0.0,3.051308,2.540433,2.466254,25.065166,121.234329,-54.318016,-0.773943,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.161213,1.0,83.0,8.0,0.011538,270.177368,17.751343,0.0,0.017751,1.257027,1.257027,-5.5e-05
-46.091599,20210530-050722,20210530,050722,-0.169827,1.0,3.0,0.0,10.0,23.0,269.789093,1.609506,83.0,54.105507,3.164039,3.164039,72.773148,1.0,0.0,0.529067,0.0,-99900.0,1.804782,0.0,0.0,3.164039,1.860519,1.609506,25.071474,121.314369,-46.731102,0.161465,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.091911,1.0,83.0,9.0,0.041326,278.339813,19.383575,0.0,0.019179,2.959656,2.959656,-0.002811
-50.335854,20210530-051323,20210530,051323,2.521785,1.0,9.0,0.0,11.0,23.0,272.868286,2.28055,83.0,49.625641,2.7341,2.7341,84.859726,1.0,0.0,0.143028,0.0,-99900.0,11.766762,0.0,0.0,2.7341,2.296706,2.28055,25.09568,121.272179,-50.45554,2.309599,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.398983,1.0,83.0,10.0,0.0,274.081268,16.400696,0.0,0.016359,1.0902,1.0902,-0.001167
-42.062424,20210530-051924,20210530,051924,10.92387,1.0,15.0,0.0,12.0,35.0,284.558624,1.490458,83.0,10.921014,1.925116,1.925116,27.920635,1.0,0.0,0.237283,0.0,-99900.0,9.135644,0.0,0.0,1.925116,1.565184,1.925116,25.171242,121.354202,-42.197636,10.715004,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.457775,1.0,83.0,11.0,0.0,250.856598,15.438758,0.0,0.014585,0.688009,0.688009,0.005063
