3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-117.382774,20210530-050722,20210530,050722,-64.751236,0.0,3.0,0.0,1.0,35.0,241.118073,2.337375,79.0,53.961811,4.175368,4.175368,143.523483,1.0,0.0,0.501997,0.0,-99900.0,0.0,0.0,0.0,4.175368,2.514219,2.337375,24.490683,120.609276,-117.354828,-64.951096,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.057587,1.0,79.0,0.0,0.0,259.139557,-99900.0,0.0,-99900.0,3.328997,3.328997,-99900.0
-116.240059,20210530-051323,20210530,051323,-60.721142,0.0,9.0,1.0,2.0,26.0,242.418747,2.261855,79.0,24.500158,3.167706,3.167706,47.635757,1.0,0.0,0.474505,0.0,-99900.0,5.024265,0.0,0.0,3.167706,2.476649,2.261855,24.526926,120.62043,-116.384399,-60.604176,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,131.144226,1.0,79.0,1.0,0.0,195.830444,11.603831,0.0,0.003165,3.147645,3.147645,0.011164
-112.59832,20210530-051924,20210530,051924,-59.347733,0.0,15.0,0.0,3.0,33.0,242.207703,2.165334,79.0,39.404598,3.925323,3.925323,89.085732,1.0,0.0,0.937781,0.0,-99900.0,3.647346,0.0,0.0,3.925323,2.492859,3.032813,24.539278,120.656448,-112.740616,-59.403923,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.281326,1.0,79.0,2.0,0.015734,221.522842,9.996218,0.0,0.006627,3.157306,3.157306,0.007484
-108.100571,20210530-052526,20210530,052526,-58.383091,0.0,21.0,0.0,4.0,27.0,241.627625,2.055007,79.0,33.279091,3.756502,3.756502,62.944202,1.0,0.0,0.77888,0.0,-99900.0,2.72928,0.0,0.0,3.756502,2.555588,2.902308,24.547953,120.700974,-108.188911,-58.548096,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.85894,1.0,79.0,3.0,0.025072,236.970932,10.39661,0.0,0.008716,3.526952,3.526952,0.005667
-103.914993,20210530-053128,20210530,053128,-57.564102,0.0,27.0,1.0,5.0,27.0,241.015854,1.951636,79.0,43.404388,4.606487,4.606487,102.379227,1.0,0.0,1.235595,0.0,-99900.0,1.606291,0.0,0.0,4.606487,2.658775,1.951636,24.555319,120.742409,-104.3647,-56.716454,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,118.793739,1.0,79.0,4.0,0.006612,244.531235,10.748297,0.0,0.009704,3.797239,3.797239,0.004622
-100.290726,20210530-053729,20210530,053729,-57.420296,0.0,33.0,0.0,6.0,22.0,240.207489,1.888204,79.0,62.100529,5.621769,5.621769,159.832596,1.0,0.0,1.289055,0.0,-99900.0,1.529537,0.0,0.0,5.621769,2.641113,1.888204,24.556612,120.778313,-101.256836,-56.867981,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.565224,1.0,79.0,5.0,0.0,249.649872,10.701198,0.0,0.010033,4.05084,4.05084,0.003721
-95.767525,20210530-054331,20210530,054331,-57.477512,0.0,39.0,0.0,7.0,25.0,239.029053,1.799944,79.0,75.071579,5.410804,5.410804,169.133194,1.0,0.0,1.028415,0.0,-99900.0,1.663248,0.0,0.0,5.410804,2.757646,3.317615,24.556097,120.823135,-96.758026,-57.169022,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.69191,1.0,79.0,6.0,0.075133,260.962921,11.477913,0.0,0.011335,4.461385,4.461385,0.001803
-92.238792,20210530-054933,20210530,054933,-56.535442,0.0,45.0,1.0,8.0,8.0,238.495117,1.717466,79.0,91.064499,5.215075,5.215075,197.38063,1.0,0.0,0.839158,0.0,-99900.0,0.643466,0.254,0.254,5.215075,2.521595,3.194532,24.564569,120.858063,-93.169746,-56.206085,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.186188,1.0,79.0,7.0,0.281361,263.223572,11.327991,0.0,0.011249,4.948676,4.948676,0.001337
-86.44397,20210530-055534,20210530,055534,-56.69249,0.0,51.0,1.0,9.0,18.0,236.742249,3.038704,79.0,84.747116,3.932451,3.932451,243.728302,1.0,0.0,0.193982,0.0,-99900.0,1.84818,0.0,0.0,3.932451,3.069543,3.038704,24.563156,120.915489,-86.489212,-56.636116,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.376007,1.0,79.0,8.0,0.0,265.558441,11.71512,0.0,0.01168,0.983446,0.983446,0.000907
-87.834579,20210530-060135,20210530,060135,-53.734558,0.0,57.0,0.0,10.0,10.0,238.543243,1.566823,79.0,74.554245,4.8916,4.8916,218.147873,1.0,0.0,0.49033,0.0,-99900.0,6.193411,0.0,0.0,4.8916,3.060405,3.081509,24.589758,120.901619,-87.97258,-51.793629,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.967552,1.04878,79.0,9.0,0.065268,259.936615,10.072769,0.0,0.009918,3.960314,3.960314,0.00176
-81.096649,20210530-060736,20210530,060736,-54.260601,1.0,3.0,0.0,11.0,1.0,236.214386,3.684209,79.0,71.573776,4.694477,4.694477,125.424583,1.0,0.0,0.380489,0.0,-99900.0,3.364435,0.508,0.508,4.694477,3.881241,3.684209,24.585026,120.968399,-81.18425,-54.202671,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,97.574989,1.0,79.0,10.0,0.499291,257.923462,10.152787,0.0,0.009928,1.881215,1.881215,0.002124
