3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-43.753658,20210530-080157,20210530,080157,-52.410122,0.0,0.0,0.0,1.0,62.0,219.856537,3.147379,87.0,18.211866,4.064623,4.064623,83.603561,1.0,0.0,0.397801,0.0,-99900.0,0.0,0.0,0.0,4.064623,3.329233,3.147379,24.601667,121.338409,-43.672604,-52.119499,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.273003,1.0,87.0,0.0,0.0,266.297943,-99900.0,0.0,-99900.0,0.829517,0.829517,-99900.0
-37.138954,20210530-080758,20210530,080758,-49.558022,0.0,33.0,1.0,1.0,19.0,216.848358,2.847589,87.0,23.706406,4.536141,4.536141,59.959152,1.0,0.0,0.91129,0.0,-99900.0,2.361226,0.254,0.254,4.536141,3.123671,3.581213,24.627316,121.403923,-37.335602,-49.547146,41.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,61.929794,1.02439,87.0,0.0,0.104964,246.675461,19.953768,0.0,0.018323,1.703942,1.703942,0.0079
-38.485226,20210530-081400,20210530,081400,-44.819843,0.0,39.0,0.0,1.0,5.0,220.651855,2.028607,87.0,90.387177,4.886823,4.886823,82.294891,1.0,0.0,1.161497,0.0,-99900.0,8.197302,0.508,0.508,4.886823,2.545491,2.639363,24.669928,121.390511,-37.07679,-44.220093,47.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,59.075638,1.042553,87.0,0.0,0.752312,214.742935,12.777452,0.0,0.007282,4.055846,4.055846,0.010499
-34.223427,20210530-082000,20210530,082000,-43.495975,0.0,57.0,0.0,1.0,4.0,218.19664,2.532921,87.0,260.303772,4.782466,4.782466,401.540924,1.0,0.0,0.358863,0.0,-99900.0,2.953364,0.508,0.508,4.782466,2.649329,2.532921,24.681833,121.432739,-34.682587,-43.563763,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,55.345665,1.0,87.0,0.0,0.492908,220.859863,11.529327,0.0,0.007543,3.028155,3.028155,0.00872
-34.961765,20210530-082602,20210530,082602,-45.930096,0.0,21.0,1.0,1.0,2.0,217.278549,3.350138,87.0,86.690384,5.274962,5.274962,82.140427,1.0,0.0,0.978162,0.0,-99900.0,6.57936,1.27,1.27,5.274962,3.643299,3.350138,24.659943,121.425453,-35.307083,-45.921005,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,57.722603,1.0,87.0,0.0,2.459518,227.132706,7.741108,0.0,0.005674,4.051868,4.051868,0.005266
-27.451809,20210530-083203,20210530,083203,-44.981232,0.0,27.0,0.0,1.0,3.0,211.395844,1.729042,87.0,120.140411,6.288769,6.288769,142.683319,1.0,0.0,2.501638,0.0,-99900.0,5.544144,1.016,1.016,6.288769,2.667341,2.468481,24.668476,121.499886,-23.698771,-43.917767,46.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.696423,1.065217,87.0,0.0,1.598388,241.864761,8.27854,0.0,0.0073,4.839397,4.839397,0.003904
-20.411419,20210530-083804,20210530,083804,-42.738293,0.0,3.0,0.0,1.0,4.0,205.529083,0.515924,87.0,109.352348,4.201524,4.201524,112.172653,1.0,0.0,1.431609,0.0,-99900.0,4.48317,0.762,0.762,4.201524,2.068172,1.737574,24.688646,121.569656,-17.710922,-40.759979,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,47.362305,1.020833,87.0,0.0,1.4013,254.953094,9.500978,0.0,0.009175,8.179018,8.179018,0.002467
-21.102423,20210530-084405,20210530,084405,-41.563244,0.0,27.0,0.0,1.0,3.0,206.918106,0.527807,87.0,108.172867,4.39604,4.39604,117.383575,1.0,0.0,1.88253,0.0,-99900.0,4.013365,1.016,1.016,4.39604,2.074389,1.223943,24.699213,121.562798,-18.130604,-41.468342,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,46.613468,1.0,87.0,0.0,1.477082,261.832642,10.859807,0.0,0.01075,6.377484,6.377484,0.001543
-19.715446,20210530-085007,20210530,085007,-40.066776,0.0,33.0,0.0,1.0,6.0,206.200531,3.241878,87.0,104.705116,5.17513,5.17513,157.418427,1.0,0.0,0.630371,0.0,-99900.0,2.674288,0.762,0.762,5.17513,3.438564,3.241878,24.712671,121.576538,-19.833487,-39.972725,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,44.654736,1.0,87.0,0.0,1.152995,254.990021,9.918713,0.0,0.00958,2.871357,2.871357,0.002569
-17.83148,20210530-085608,20210530,085608,-36.88623,0.0,3.0,1.0,1.0,4.0,205.800323,2.389991,87.0,94.687935,5.561003,5.561003,144.384903,1.0,0.0,0.691514,0.0,-99900.0,2.748823,0.762,0.762,5.561003,3.047529,2.924824,24.741276,121.595192,-15.5823,-39.07983,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.970181,1.022222,87.0,0.0,1.035634,240.521011,9.826687,0.0,0.008554,4.343153,4.343153,0.004836
