3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-72.839615,20210530-045521,20210530,045521,134.007919,0.0,0.0,0.0,1.0,65.0,331.473907,2.785346,41.0,61.523445,3.949789,3.949789,388.399261,1.0,0.0,0.13057,0.0,-99900.0,0.0,0.0,0.0,3.949789,3.492046,3.949789,26.278164,121.045174,-69.582458,133.564499,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,152.524536,1.0,41.0,0.0,0.0,256.703888,-99900.0,0.0,-99900.0,1.962668,1.962668,-99900.0
-69.976646,20210530-050121,20210530,050121,131.542114,0.0,21.0,0.0,1.0,64.0,331.988373,2.649535,41.0,74.109383,3.839371,3.839371,498.718597,1.0,0.0,0.117524,0.0,-99900.0,4.050443,0.0,0.0,3.839371,3.435198,3.839371,26.255987,121.073807,-70.080597,127.788155,36.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,148.996841,1.027778,41.0,0.0,0.0,310.737518,10.49569,0.0,0.007953,1.710269,1.710269,-0.006849
-62.023018,20210530-050722,20210530,050722,127.157722,0.0,0.0,0.0,1.0,59.0,333.998596,2.538793,41.0,81.148323,4.406865,4.406865,372.551514,1.0,0.0,0.481,0.0,-99900.0,5.43036,0.0,0.0,4.406865,2.909145,3.561702,26.216558,121.153267,-62.364826,127.234879,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.477707,1.0,41.0,0.0,0.0,302.343964,17.761028,0.0,0.015005,2.179451,2.179451,-0.009502
-55.511528,20210530-051323,20210530,051323,127.387634,0.0,12.0,0.0,1.0,55.0,336.453979,2.481857,41.0,67.878159,4.354621,4.354621,341.078125,1.0,0.0,0.394765,0.0,-99900.0,3.820342,0.0,0.0,4.354621,2.914775,2.481857,26.218624,121.218224,-56.636646,127.579681,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.957321,1.0,41.0,0.0,0.0,292.019775,17.926657,0.0,0.016619,2.029697,2.029697,-0.006721
-52.493416,20210530-051924,20210530,051924,128.657288,0.0,24.0,0.0,1.0,61.0,337.804108,2.472676,41.0,60.088493,3.331723,3.331723,259.833466,1.0,0.0,0.31287,0.0,-99900.0,4.748559,0.0,0.0,3.331723,2.546195,3.331723,26.230043,121.248306,-52.775341,128.854828,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,138.954147,1.0,41.0,0.0,0.0,285.069946,15.832633,0.0,0.015288,1.74897,1.74897,-0.004116
-50.22049,20210530-052526,20210530,052526,133.042419,0.0,0.0,0.0,1.0,53.0,339.319672,2.546529,41.0,70.443855,3.717022,3.717022,295.277191,1.0,0.0,0.219317,0.0,-99900.0,6.719793,0.0,0.0,3.717022,2.596879,2.546529,26.26948,121.270897,-50.044094,132.870544,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,142.205429,1.0,41.0,0.0,0.0,274.392761,13.656692,0.0,0.013617,1.906702,1.906702,-0.001046
-39.820904,20210530-053128,20210530,053128,128.135452,0.0,0.0,0.0,1.0,47.0,342.736267,2.346204,41.0,41.15844,3.235124,3.235124,146.662415,1.0,0.0,0.242483,0.0,-99900.0,7.101456,0.0,0.0,3.235124,2.515126,2.346204,26.225349,121.374741,-40.133373,128.338654,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.180466,1.0,41.0,0.0,0.0,269.425873,14.960001,0.0,0.014959,2.113591,2.113591,0.00015
-35.712341,20210530-053729,20210530,053729,130.081024,0.0,3.0,1.0,1.0,38.0,344.648346,2.367828,41.0,41.752613,3.244809,3.244809,165.545181,1.0,0.0,0.225892,0.0,-99900.0,2.290457,0.0,0.0,3.244809,2.538765,2.367828,26.242847,121.415703,-36.061447,130.397552,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.894196,1.0,41.0,0.0,0.0,263.303833,14.396748,0.0,0.014299,1.866439,1.866439,0.001679
-30.90122,20210530-054331,20210530,054331,131.31575,0.0,12.0,0.0,1.0,42.0,346.758118,2.348683,41.0,38.687943,4.254299,4.254299,162.718933,1.0,0.0,0.829925,0.0,-99900.0,0.725503,0.0,0.0,4.254299,2.66439,4.254299,26.253952,121.463692,-30.556728,131.046799,37.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,134.902603,1.054054,41.0,0.0,0.0,264.09787,14.59903,0.0,0.014522,2.307635,2.307635,0.001501
-27.236425,20210530-054933,20210530,054933,133.880966,0.0,9.0,1.0,1.0,38.0,348.500824,2.408185,41.0,27.134956,4.295486,4.295486,106.646393,1.0,0.0,0.765542,0.0,-99900.0,2.573356,0.0,0.0,4.295486,2.979018,2.408185,26.277021,121.500229,-27.714216,133.985886,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,136.623337,1.0,41.0,0.0,0.0,263.072357,14.985838,0.0,0.014876,2.378922,2.378922,0.001808
