3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-2.164533,20210530-043718,20210530,043718,68.175598,0.0,0.0,0.0,1.0,62.0,358.181519,1.835119,13.0,10.488327,4.016442,4.016442,72.514442,1.0,0.0,0.789519,0.0,-99900.0,0.0,0.0,0.0,4.016442,3.133179,4.016442,25.686117,121.750458,-3.572243,67.66671,31.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,68.209946,1.225806,13.0,0.0,0.0,261.313538,-99900.0,0.0,-99900.0,0.871586,0.871586,-99900.0
3.525987,20210530-044319,20210530,044319,71.442879,0.0,0.0,0.0,1.0,56.0,2.825473,1.965359,13.0,25.075417,4.111486,4.111486,179.446671,1.0,0.0,0.579823,0.0,-99900.0,2.379113,0.0,0.0,4.111486,3.068391,4.111486,25.715502,121.807106,2.583199,71.81739,33.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.529839,1.181818,13.0,0.0,0.0,240.137192,18.176777,0.0,0.015763,1.254379,1.254379,0.009051
3.569286,20210530-044920,20210530,044920,75.928871,0.0,0.0,0.0,1.0,56.0,2.691389,1.057343,13.0,26.242123,3.622563,3.622563,144.269684,1.0,0.0,1.242691,0.0,-99900.0,5.777246,0.0,0.0,3.622563,2.596105,1.057343,25.755844,121.807541,2.137398,77.015396,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,76.012718,1.0,13.0,0.0,0.0,216.484222,13.356148,0.0,0.007942,1.82681,1.82681,0.010739
-3.188736,20210530-045521,20210530,045521,83.237953,0.0,3.0,0.0,1.0,12.0,357.806152,1.783218,13.0,28.289227,3.881714,3.881714,172.623108,1.0,0.0,0.896615,0.0,-99900.0,10.218659,0.508,0.508,3.881714,2.595099,3.881714,25.821577,121.740242,-3.6677,84.151375,34.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.299004,1.294118,13.0,0.0,0.475962,176.510147,13.785434,0.0,-0.000839,1.735096,1.735096,0.01376
-5.195678,20210530-050121,20210530,050121,84.667923,0.0,0.0,0.0,1.0,50.0,356.488434,1.82773,13.0,23.06024,3.916394,3.916394,176.7276,1.0,0.0,0.853881,0.0,-99900.0,3.914351,0.0,0.0,3.916394,2.478834,3.916394,25.834436,121.720253,-4.355137,85.785286,34.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.827194,1.147059,13.0,0.0,0.0,164.082245,12.906885,0.0,-0.00354,1.147577,1.147577,0.012412
-4.002936,20210530-050722,20210530,050722,81.770348,0.0,0.0,0.0,1.0,68.0,357.197418,2.318407,13.0,13.43576,3.817186,3.817186,85.839752,1.0,0.0,0.421768,0.0,-99900.0,7.780957,0.0,0.0,3.817186,3.05883,3.817186,25.808378,121.73214,-2.958482,82.604309,35.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.868263,1.028571,13.0,0.0,0.0,159.885803,9.696298,0.0,-0.003334,0.822508,0.822508,0.009105
3.720077,20210530-051323,20210530,051323,81.121872,0.0,0.0,0.0,1.0,62.0,2.625617,2.280311,13.0,12.88465,2.903759,2.903759,90.35202,1.0,0.0,0.202273,0.0,-99900.0,9.755717,0.0,0.0,2.903759,2.371786,2.280311,25.802546,121.809052,3.681053,81.431313,35.0,0.0,35.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.207123,1.0,13.0,0.0,0.0,160.580109,5.656046,0.0,-0.001881,0.450536,0.450536,0.005334
3.031911,20210530-051924,20210530,051924,75.006737,0.0,12.0,0.0,1.0,55.0,2.314736,3.519288,13.0,19.38942,4.329758,4.329758,111.783546,1.0,0.0,0.285653,0.0,-99900.0,8.040807,0.0,0.0,4.329758,3.61413,3.519288,25.747551,121.802193,2.978257,75.207497,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,75.067993,1.0,13.0,0.0,0.0,305.778992,1.879186,0.0,0.001525,0.897926,0.897926,-0.001099
8.813588,20210530-052526,20210530,052526,70.615562,0.0,0.0,0.0,1.0,48.0,7.114328,0.911908,13.0,8.171963,2.098803,2.098803,30.674656,1.0,0.0,0.645798,0.0,-99900.0,6.580153,0.0,0.0,2.098803,1.347324,2.098803,25.708061,121.859741,9.529142,68.394646,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,71.163452,1.0,13.0,0.0,0.0,315.101685,10.365354,0.0,0.007316,1.084413,1.084413,-0.007342
14.919453,20210530-053128,20210530,053128,71.590515,0.0,3.0,1.0,1.0,38.0,11.771914,1.004697,13.0,34.730156,4.202434,4.202434,112.084488,1.0,0.0,1.300065,0.0,-99900.0,5.01509,0.0,0.0,4.202434,1.809505,2.615039,25.716829,121.920525,12.987201,73.059601,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.128593,1.0,13.0,0.0,0.0,307.186401,13.730198,0.0,0.010938,2.75069,2.75069,-0.008299
19.870447,20210530-053729,20210530,053729,72.119728,0.0,3.0,1.0,1.0,20.0,15.403926,1.005673,13.0,41.517971,3.573306,3.573306,114.862152,1.0,0.0,0.870231,0.0,-99900.0,3.664732,0.0,0.0,3.573306,1.780963,2.062595,25.721588,121.969818,19.06502,71.769043,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.807014,1.05,13.0,0.0,0.005443,297.098572,14.09498,0.0,0.012548,2.735729,2.735729,-0.006421
25.139883,20210530-054331,20210530,054331,73.839607,0.0,3.0,0.0,1.0,31.0,18.801926,1.074078,13.0,37.061905,4.627339,4.627339,96.452919,1.0,0.0,1.271819,0.0,-99900.0,4.108984,0.0,0.0,4.627339,2.30539,2.85446,25.737055,122.022293,23.371347,74.349388,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.00193,1.0,13.0,0.0,0.008197,285.07193,13.396752,0.0,0.012936,3.499461,3.499461,-0.003484
30.176685,20210530-054933,20210530,054933,74.79174,0.0,39.0,0.0,1.0,7.0,21.972851,1.117255,13.0,48.372219,4.766362,4.766362,112.047379,1.0,0.0,1.722333,0.0,-99900.0,2.241321,0.254,0.254,4.766362,2.224945,3.805008,25.745619,122.072449,28.922802,74.814545,41.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.650085,1.04878,13.0,0.0,0.284199,267.246002,14.996749,0.0,0.014979,3.940835,3.940835,0.000721
35.138138,20210530-055534,20210530,055534,76.556709,0.0,21.0,1.0,1.0,13.0,24.654205,1.189275,13.0,23.574259,3.128537,3.128537,72.878189,1.0,0.0,0.758376,0.0,-99900.0,1.56958,0.0,0.0,3.128537,1.787929,2.368125,25.761492,122.121872,34.430252,76.540901,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.235489,1.025,13.0,0.0,0.0,257.340576,14.791502,0.0,0.014432,2.242716,2.242716,0.003242
39.12075,20210530-060135,20210530,060135,78.536171,0.0,3.0,0.0,1.0,17.0,26.478933,1.260868,13.0,27.558941,1.895528,1.895528,93.09407,1.0,0.0,0.171886,0.0,-99900.0,1.470085,0.0,0.0,1.895528,1.410428,1.260868,25.779293,122.161552,39.098312,78.318306,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,87.740318,1.0,13.0,0.0,0.0,254.088531,14.1239,0.0,0.013583,1.399912,1.399912,0.003872
42.079807,20210530-060736,20210530,060736,80.304054,0.0,0.0,0.0,1.0,24.0,27.654745,1.324951,13.0,15.626108,1.952536,1.952536,58.271393,1.0,0.0,0.2953,0.0,-99900.0,1.979223,0.0,0.0,1.952536,1.427567,1.952536,25.795193,122.191048,42.03088,80.366974,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,90.661186,1.026316,13.0,0.0,0.0,250.230713,13.271043,0.0,0.012489,1.206013,1.206013,0.004489
46.791149,20210530-061337,20210530,061337,81.628601,0.0,0.0,0.0,1.0,33.0,29.822128,1.386786,13.0,21.406084,3.573159,3.573159,78.067749,1.0,0.0,0.757382,0.0,-99900.0,0.358739,0.0,0.0,3.573159,1.858137,1.386786,25.807104,122.237991,46.18235,81.509514,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.08847,1.0,13.0,0.0,0.0,248.775543,12.556805,0.0,0.011705,1.983063,1.983063,0.004546
