3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-94.329124,20210530-040113,20210530,040113,56.84906,2.0,5.0,0.0,1.0,4.0,301.076111,1.741782,15.0,222.969238,5.339644,5.339644,405.933105,1.0,0.0,0.57868,0.0,-99900.0,1.725695,0.762,0.762,5.339644,3.162908,2.528376,25.584257,120.833458,-94.659203,55.780525,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,110.135368,1.0,15.0,0.0,1.109006,239.876694,18.462645,0.0,0.015969,7.289249,7.289249,0.009266
-95.493324,20210530-040714,20210530,040714,58.66909,0.0,39.0,1.0,1.0,6.0,301.565826,1.815884,15.0,458.365021,5.291517,5.291517,640.096436,1.0,0.0,0.464221,0.0,-99900.0,7.094893,0.762,0.762,5.291517,2.260179,1.815884,25.600626,120.821808,-96.604828,58.752296,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,112.076035,1.0,15.0,0.0,1.050698,238.450058,16.054127,0.0,0.013681,7.436294,7.436294,0.0084
-94.01667,20210530-041315,20210530,041315,60.369781,0.0,3.0,0.0,1.0,12.0,302.705383,1.781608,15.0,453.029877,4.385996,4.385996,698.103516,1.0,0.0,0.338632,0.0,-99900.0,3.70952,0.508,0.508,4.385996,2.359713,2.569236,25.615921,120.836449,-94.323036,59.640366,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.730232,1.022727,15.0,0.0,0.47265,234.533112,12.743432,0.0,0.010379,5.369292,5.369292,0.007394
-90.684593,20210530-041916,20210530,041916,62.106617,2.0,29.0,0.0,1.0,4.0,304.405975,1.758123,15.0,292.211365,5.120517,5.120517,474.865875,1.0,0.0,0.91949,0.0,-99900.0,1.020514,0.762,0.762,5.120517,2.493509,4.009012,25.63154,120.869545,-91.496086,62.102741,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.913277,1.045455,15.0,0.0,1.395402,231.845749,10.258443,0.0,0.008067,6.939076,6.939076,0.006337
-93.016823,20210530-042516,20210530,042516,65.582207,0.0,33.0,0.0,1.0,15.0,305.186157,1.860511,15.0,72.636475,5.503127,5.503127,162.541718,1.0,0.0,1.324709,0.0,-99900.0,5.37068,0.508,0.508,5.503127,3.174814,3.404596,25.662796,120.846214,-94.764534,65.090279,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.811928,1.02381,15.0,0.0,0.384,213.563797,6.587556,0.0,0.003642,4.99475,4.99475,0.005489
-82.487724,20210530-043718,20210530,043718,66.803429,0.0,0.0,0.0,1.0,51.0,309.002716,4.064476,15.0,75.819801,5.187638,5.187638,283.33844,1.0,0.0,0.267512,0.0,-99900.0,8.361905,0.0,0.0,5.187638,4.109556,4.064476,25.673779,120.950974,-82.473106,66.807281,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,106.14576,1.0,15.0,0.0,0.0,226.996078,7.174495,0.0,0.005247,0.997045,0.997045,0.004893
-88.024002,20210530-044319,20210530,044319,73.3964,0.0,3.0,0.0,1.0,13.0,309.822235,2.651337,15.0,70.197754,5.582713,5.582713,129.667938,1.0,0.0,1.108836,0.0,-99900.0,8.860307,0.254,0.254,5.582713,3.186132,2.651337,25.733072,120.895653,-88.342049,72.971611,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.609146,1.0,15.0,0.0,0.202596,217.457733,7.733201,0.0,0.004703,2.792701,2.792701,0.006139
-82.924644,20210530-044920,20210530,044920,75.669754,0.0,3.0,0.0,1.0,12.0,312.380951,3.379472,15.0,57.773766,5.481862,5.481862,120.119293,1.0,0.0,0.939175,0.0,-99900.0,3.402002,0.508,0.508,5.481862,3.701485,3.379472,25.753515,120.94635,-83.299759,75.863312,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,112.260445,1.0,15.0,0.0,0.3627,215.178314,8.440664,0.0,0.004863,2.131575,2.131575,0.006899
-88.759026,20210530-045521,20210530,045521,77.006821,0.0,51.0,0.0,1.0,14.0,310.944824,1.926384,15.0,36.44212,4.559037,4.559037,78.03978,1.0,0.0,0.981511,0.0,-99900.0,7.677028,0.254,0.254,4.559037,2.997195,3.558309,25.765541,120.888214,-89.475906,76.515663,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.508362,1.02381,15.0,0.0,0.284955,200.570587,7.519998,0.0,0.002642,4.403854,4.403854,0.007041
-84.54335,20210530-050121,20210530,050121,78.94046,0.0,51.0,0.0,1.0,14.0,313.037231,1.881062,15.0,62.964775,4.465116,4.465116,125.958328,1.0,0.0,1.138056,0.0,-99900.0,3.319326,0.254,0.254,4.465116,2.557077,2.691433,25.78293,120.93013,-85.107208,78.574707,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.668381,1.047619,15.0,0.0,0.333591,199.924637,7.219797,0.0,0.00246,4.622946,4.622946,0.006788
-79.547569,20210530-050722,20210530,050722,81.067329,0.0,3.0,0.0,1.0,30.0,315.542236,1.847362,15.0,43.883213,4.349929,4.349929,95.65773,1.0,0.0,1.288508,0.0,-99900.0,4.120298,0.0,0.0,4.349929,2.729196,2.615285,25.802057,120.97982,-80.580666,81.215988,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.576973,1.0,15.0,0.0,0.043566,192.192932,7.234968,0.0,0.001528,4.218714,4.218714,0.007072
-75.054726,20210530-051323,20210530,051323,81.932182,0.0,36.0,0.0,1.0,33.0,317.508575,1.777391,15.0,40.196407,4.290848,4.290848,100.439766,1.0,0.0,1.064243,0.0,-99900.0,4.287504,0.0,0.0,4.290848,2.53714,1.777391,25.809835,121.024536,-75.976501,81.49128,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.112976,1.0,15.0,0.0,0.0,232.482742,7.907756,0.0,0.006272,3.355033,3.355033,0.004816
