3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
0.736864,20210530-080157,20210530,080157,-117.041336,0.0,0.0,0.0,3.0,59.0,179.63887,3.539409,81.0,23.740423,4.581411,4.581411,92.062164,1.0,0.0,0.456461,0.0,-99900.0,0.0,0.0,0.0,4.581411,3.803277,3.539409,24.020422,121.779297,0.616317,-116.922516,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.043655,1.0,81.0,2.0,0.0,266.297943,-99900.0,0.0,-99900.0,0.973972,0.973972,-99900.0
8.428608,20210530-080758,20210530,080758,-117.281677,0.0,0.0,0.0,1.0,66.0,175.889023,3.564689,81.0,59.935184,4.585223,4.585223,280.614441,1.0,0.0,0.223024,0.0,-99900.0,2.11032,0.0,0.0,4.585223,3.609375,3.564689,24.018261,121.855339,8.579315,-117.277809,36.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.584152,1.0,81.0,0.0,0.0,271.789703,21.316942,0.0,0.021307,0.750945,0.750945,-0.000666
16.73085,20210530-081400,20210530,081400,-116.191261,0.0,33.0,0.0,1.0,41.0,171.805664,3.558516,81.0,85.624794,4.576911,4.576911,321.37384,1.0,0.0,0.185812,0.0,-99900.0,1.455996,0.0,0.0,4.576911,3.863284,4.576911,24.028069,121.937431,16.946732,-116.199173,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.389648,1.052632,81.0,0.0,0.0,266.955475,22.153233,0.0,0.022122,1.219746,1.219746,0.001177
18.216124,20210530-082000,20210530,082000,-116.092674,0.0,0.0,0.0,1.0,56.0,171.082016,1.924088,81.0,37.306179,2.723373,2.723373,164.440186,1.0,0.0,0.18361,0.0,-99900.0,6.48678,0.0,0.0,2.723373,2.049939,1.924088,24.028955,121.952118,17.559319,-116.31739,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.51313,1.0,81.0,0.0,0.0,266.291534,16.860201,0.0,0.016825,1.512337,1.512337,0.001091
28.020723,20210530-082602,20210530,082602,-116.129913,0.0,3.0,1.0,1.0,42.0,166.434143,3.643876,81.0,108.029907,4.631445,4.631445,378.861664,1.0,0.0,0.211892,0.0,-99900.0,3.739028,0.0,0.0,4.631445,3.814516,4.631445,24.02862,122.049057,27.928541,-116.36631,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.462624,1.0,81.0,0.0,0.0,267.320435,17.83886,0.0,0.017819,1.210487,1.210487,0.000834
30.860489,20210530-083203,20210530,083203,-117.07029,0.0,0.0,0.0,1.0,40.0,165.23201,1.973348,81.0,91.717087,4.717275,4.717275,338.469543,1.0,0.0,0.35536,0.0,-99900.0,3.801444,0.0,0.0,4.717275,3.577557,3.726427,24.020163,122.077118,33.732662,-114.825356,36.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,121.069496,1.111111,81.0,0.0,0.0,269.073639,16.684361,0.0,0.016682,2.54108,2.54108,0.00027
34.527042,20210530-083804,20210530,083804,-117.442307,0.0,3.0,0.0,1.0,45.0,163.61673,2.006301,81.0,160.263596,4.785851,4.785851,578.223206,1.0,0.0,0.328755,0.0,-99900.0,2.402022,0.0,0.0,4.785851,3.219459,3.78929,24.016817,122.113365,36.232487,-115.481003,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.412468,1.052632,81.0,0.0,0.0,271.089935,14.455897,0.0,0.014453,2.864391,2.864391,-0.000275
40.23632,20210530-084405,20210530,084405,-117.650192,1.0,27.0,0.0,1.0,35.0,161.118942,2.070203,81.0,122.961761,4.918179,4.918179,487.428101,1.0,0.0,0.885488,0.0,-99900.0,0.503498,0.0,0.0,4.918179,3.070588,3.816272,24.01495,122.169807,40.100971,-116.945435,36.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.340378,1.138889,81.0,0.0,0.071087,274.149872,13.432471,0.0,0.013397,2.864932,2.864932,-0.000972
42.766918,20210530-085007,20210530,085007,-120.87413,0.0,3.0,0.0,1.0,14.0,160.515152,2.155451,81.0,195.32048,5.108612,5.108612,740.801636,1.0,0.0,0.744784,0.0,-99900.0,3.691536,0.254,0.254,5.108612,2.801706,3.989129,23.985956,122.194778,43.79343,-119.254913,38.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,128.216858,1.105263,81.0,0.0,0.211902,280.030457,13.096529,0.0,0.012896,3.281478,3.281478,-0.002281
43.114441,20210530-085608,20210530,085608,-125.059509,1.0,9.0,0.0,1.0,20.0,160.977921,3.216474,81.0,337.545593,4.125301,4.125301,1221.590576,1.0,0.0,0.085725,0.0,-99900.0,5.464605,0.254,0.254,4.125301,3.482194,4.125301,23.948315,122.198151,43.360332,-125.093758,38.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,132.282791,1.078947,81.0,0.0,0.09024,295.707275,10.261373,0.0,0.009246,1.257862,1.257862,-0.004451
