3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-113.232864,20210530-080157,20210530,080157,3.15678,0.0,3.0,1.0,1.0,35.0,271.597107,1.827763,60.0,19.477352,2.57847,2.57847,51.075821,1.0,0.0,0.336475,0.0,-99900.0,0.0,0.0,0.0,2.57847,1.988941,2.57847,25.101393,120.647606,-113.530411,3.176907,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,113.276855,1.0,60.0,0.0,0.0,266.297943,-99900.0,0.0,-99900.0,1.997681,1.997681,-99900.0
-107.097305,20210530-080758,20210530,080758,3.488573,0.0,9.0,1.0,2.0,35.0,271.865906,1.703061,60.0,36.183487,4.020913,4.020913,112.467949,1.0,0.0,0.805888,0.0,-99900.0,0.476706,0.0,0.0,4.020913,2.432318,3.131332,25.104378,120.708519,-108.121262,3.525841,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.154106,1.0,60.0,1.0,0.019636,266.904633,17.02066,0.0,0.016996,3.292755,3.292755,0.000919
-102.535217,20210530-081400,20210530,081400,3.535903,0.0,15.0,0.0,3.0,37.0,271.97525,1.595275,60.0,39.085442,3.839342,3.839342,115.235962,1.0,0.0,0.991531,0.0,-99900.0,1.615802,0.0,0.0,3.839342,2.327034,2.29635,25.104803,120.753815,-103.316307,3.546901,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.596169,1.0,60.0,2.0,0.0,267.970856,14.804399,0.0,0.014795,3.051995,3.051995,0.000524
-98.365822,20210530-082000,20210530,082000,4.183028,0.0,21.0,1.0,4.0,26.0,272.435242,1.497325,60.0,40.395222,4.705023,4.705023,110.016212,1.0,0.0,1.123991,0.0,-99900.0,1.244362,0.0,0.0,4.705023,2.322539,2.173201,25.110622,120.795197,-98.806671,4.142771,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.454727,1.0,60.0,3.0,0.0,266.36319,13.642781,0.0,0.013615,3.741197,3.741197,0.000865
-94.324776,20210530-082602,20210530,082602,4.768547,0.0,27.0,0.0,5.0,28.0,272.894287,1.415216,60.0,16.013536,2.677132,2.677132,43.497116,1.0,0.0,0.551915,0.0,-99900.0,0.928506,0.0,0.0,2.677132,1.827391,2.053952,25.115887,120.835304,-94.931465,4.529848,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,94.445236,1.0,60.0,4.0,0.0,265.189148,12.932526,0.0,0.012887,2.248013,2.248013,0.001085
-84.785378,20210530-083203,20210530,083203,7.933231,0.0,33.0,1.0,6.0,32.0,275.345703,1.300985,60.0,45.723019,3.895406,3.895406,143.637085,1.0,0.0,1.238406,0.0,-99900.0,5.619173,0.0,0.0,3.895406,3.074215,3.252464,25.144348,120.929939,-89.348053,5.550863,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.155716,1.025,60.0,5.0,0.019745,261.269165,14.783257,0.0,0.014612,3.267646,3.267646,0.002244
-84.242661,20210530-083804,20210530,083804,6.518598,0.0,39.0,0.0,7.0,38.0,274.424866,1.217845,60.0,20.18836,2.998905,2.998905,68.284988,1.0,0.0,0.608714,0.0,-99900.0,5.229061,0.0,0.0,2.998905,1.634803,1.217845,25.131626,120.935371,-85.117508,6.663165,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.494484,1.0,60.0,6.0,0.0,260.429382,13.763719,0.0,0.013572,2.132529,2.132529,0.002288
-79.81842,20210530-084405,20210530,084405,5.810685,0.0,42.0,0.0,8.0,54.0,274.16394,1.119424,60.0,7.491,1.652168,1.652168,27.61182,1.0,0.0,0.241907,0.0,-99900.0,1.605971,0.0,0.0,1.652168,1.265443,1.652168,25.125259,120.979332,-80.115929,5.77711,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.029648,1.0,60.0,7.0,0.0,262.58194,13.205651,0.0,0.013095,1.137386,1.137386,0.001705
-74.423218,20210530-085007,20210530,085007,6.085018,0.0,0.0,0.0,2.0,62.0,274.674438,1.026575,60.0,9.967109,2.659238,2.659238,42.440514,1.0,0.0,0.737144,0.0,-99900.0,0.739106,0.0,0.0,2.659238,1.631764,2.659238,25.127726,121.032906,-75.189514,5.523042,36.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.67157,1.027778,60.0,1.0,0.0,266.079742,12.982367,0.0,0.012952,1.256427,1.256427,0.000888
-72.546143,20210530-085608,20210530,085608,1.698066,0.0,0.0,0.0,1.0,61.0,271.341064,2.616612,60.0,15.702699,3.406655,3.406655,63.431168,1.0,0.0,0.392038,0.0,-99900.0,5.476443,0.0,0.0,3.406655,2.750499,3.406655,25.088274,121.051659,-72.441528,1.691317,36.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,72.56601,1.027778,60.0,0.0,0.0,278.510681,11.548795,0.0,0.011422,0.644966,0.644966,-0.001709
