3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-93.229538,20210530-040113,20210530,040113,5.439045,2.0,11.0,1.0,1.0,21.0,273.339081,1.412657,24.0,46.344635,4.329404,4.329404,109.77417,1.0,0.0,1.344601,0.0,-99900.0,1.346837,0.0,0.0,4.329404,2.381593,2.052219,25.121918,120.846161,-94.695183,6.499148,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,93.388062,1.023256,24.0,0.0,0.0,248.659348,14.26048,0.0,0.013283,4.361239,4.361239,0.00519
-89.092743,20210530-040714,20210530,040714,7.581923,0.0,3.0,0.0,1.0,19.0,274.864441,1.306175,24.0,39.643879,2.487716,2.487716,61.714581,1.0,0.0,0.393725,0.0,-99900.0,0.711268,0.0,0.0,2.487716,1.515019,1.306175,25.14119,120.887169,-89.46888,7.410861,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.414772,1.0,24.0,0.0,0.0,245.46283,14.700755,0.0,0.013373,3.027205,3.027205,0.006105
-83.172478,20210530-041315,20210530,041315,10.462162,0.0,9.0,0.0,1.0,13.0,277.169708,1.219815,24.0,82.471725,4.819563,4.819563,140.461319,1.0,0.0,1.281183,0.0,-99900.0,1.284954,0.254,0.254,4.819563,2.29268,2.346414,25.167091,120.945885,-84.796654,10.765885,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.827911,1.023256,24.0,0.0,0.300671,243.498154,15.158627,0.0,0.013566,5.253708,5.253708,0.006764
-77.981346,20210530-041916,20210530,041916,11.599563,0.0,3.0,0.0,1.0,16.0,278.460785,1.123358,24.0,99.718254,4.453082,4.453082,138.134979,1.0,0.0,0.956132,0.0,-99900.0,1.337167,0.254,0.254,4.453082,1.944519,1.123358,25.17732,120.997414,-79.581108,12.321151,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.839333,1.0,24.0,0.0,0.226727,245.432663,15.439417,0.0,0.014042,6.045874,6.045874,0.006419
-71.312523,20210530-042516,20210530,042516,19.474768,0.0,9.0,1.0,1.0,32.0,285.274658,1.542009,24.0,26.556835,4.23031,4.23031,54.205597,1.0,0.0,1.389262,0.0,-99900.0,5.793616,0.0,0.0,4.23031,2.305694,1.542009,25.248142,121.063446,-72.360306,19.591831,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.923897,1.0,24.0,0.0,0.031373,241.047821,17.022272,0.0,0.014895,2.031793,2.031793,0.00824
-57.4207,20210530-043718,20210530,043718,17.691114,0.0,15.0,0.0,1.0,32.0,287.124054,2.158447,24.0,20.759239,2.662054,2.662054,36.966141,1.0,0.0,0.188046,0.0,-99900.0,8.345355,0.0,0.0,2.662054,2.332616,2.662054,25.232101,121.201515,-58.240894,18.228189,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.084209,1.073171,24.0,0.0,0.0,248.674438,17.860609,0.0,0.016638,1.189262,1.189262,0.006495
-48.662956,20210530-044319,20210530,044319,16.828245,0.0,6.0,1.0,1.0,6.0,289.076172,3.771654,24.0,68.147141,4.589334,4.589334,97.353973,1.0,0.0,0.318415,0.0,-99900.0,4.22613,0.762,0.762,4.589334,3.819118,3.771654,25.22434,121.288536,-48.758911,16.866476,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.490517,1.0,24.0,0.0,0.88597,256.068024,19.102959,0.0,0.018541,2.022759,2.022759,0.004599
-42.803925,20210530-044920,20210530,044920,17.917841,0.0,21.0,1.0,1.0,1.0,292.714478,1.632749,24.0,110.885567,4.867396,4.867396,112.176453,1.0,0.0,1.189526,0.0,-99900.0,1.010845,0.762,0.762,4.867396,2.391452,1.632749,25.23414,121.346733,-43.696728,18.240433,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.402855,1.0,24.0,0.0,1.368974,260.89566,19.410702,0.0,0.019166,6.434652,6.434652,0.003071
-38.144604,20210530-045521,20210530,045521,19.154263,0.0,21.0,0.0,1.0,11.0,296.663605,0.51011,24.0,242.377457,4.380262,4.380262,226.407303,1.0,0.0,0.753227,0.0,-99900.0,2.263265,0.508,0.508,4.380262,1.445804,0.51011,25.24526,121.393005,-39.452229,19.570724,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.683678,1.0,24.0,0.0,0.496026,264.022186,19.096466,0.0,0.018993,7.8437,7.8437,0.001989
-29.656925,20210530-050121,20210530,050121,20.36623,0.0,3.0,0.0,1.0,6.0,304.478577,0.428192,24.0,186.806076,5.89782,5.89782,181.35141,1.0,0.0,1.129099,0.0,-99900.0,1.723261,0.762,0.762,5.89782,1.580437,0.428192,25.256159,121.477325,-32.792625,19.620159,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.976612,1.0,24.0,0.0,1.402548,268.539337,18.923243,0.0,0.018917,8.357892,8.357892,0.000482
-24.596176,20210530-050722,20210530,050722,19.21236,0.0,3.0,0.0,1.0,11.0,307.993927,0.847199,24.0,102.512497,3.731568,3.731568,120.602966,1.0,0.0,1.294251,0.0,-99900.0,2.21146,0.508,0.508,3.731568,2.456585,1.536533,25.245781,121.527618,-23.78985,24.33485,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.210361,1.043478,24.0,0.0,0.490786,265.0755,17.948406,0.0,0.017882,3.910964,3.910964,0.001541
