3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-65.969933,20210530-083203,20210530,083203,43.555695,0.0,0.0,0.0,3.0,55.0,303.434326,2.854259,100.0,24.617199,3.866468,3.866468,88.842377,1.0,0.0,0.400807,0.0,-99900.0,0.0,0.0,0.0,3.866468,3.082191,3.866468,25.464706,121.115944,-64.838066,43.77446,38.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.051445,1.0,100.0,2.0,0.0,264.132965,-99900.0,0.0,-99900.0,0.859172,0.859172,-99900.0
-55.385544,20210530-083804,20210530,083804,44.353271,0.0,3.0,0.0,1.0,35.0,308.688202,1.940083,100.0,43.870949,2.497513,2.497513,91.344269,1.0,0.0,0.299388,0.0,-99900.0,5.334949,0.0,0.0,2.497513,1.982078,2.497513,25.47188,121.221191,-55.524422,44.366661,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.956123,1.0,100.0,0.0,0.0,265.690674,29.403002,0.0,0.02932,1.059966,1.059966,0.002209
-51.37487,20210530-084405,20210530,084405,44.06937,0.0,9.0,0.0,2.0,8.0,310.623108,0.90365,100.0,93.026894,4.920763,4.920763,164.046066,1.0,0.0,1.177774,0.0,-99900.0,6.662169,0.508,0.508,4.920763,2.350979,1.820764,25.469326,121.261086,-52.536518,44.092628,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.686676,1.071429,100.0,1.0,0.546726,267.984314,20.227339,0.0,0.020215,5.466343,5.466343,0.000711
-45.629452,20210530-085007,20210530,085007,44.358555,0.0,15.0,0.0,3.0,8.0,314.190979,0.840498,100.0,110.573387,4.556626,4.556626,176.28183,1.0,0.0,1.189775,0.0,-99900.0,1.572664,0.508,0.508,4.556626,2.254179,3.656118,25.471928,121.318214,-47.520645,44.283405,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.637474,1.0,100.0,2.0,0.602713,268.128845,18.007891,0.0,0.017998,6.025775,6.025775,0.000588
-40.799618,20210530-085608,20210530,085608,44.843468,0.0,21.0,0.0,4.0,11.0,317.703461,0.778341,100.0,75.360115,4.274517,4.274517,112.955574,1.0,0.0,1.907005,0.0,-99900.0,1.689691,0.508,0.508,4.274517,1.730918,3.505767,25.476288,121.366241,-41.801979,44.809883,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.626278,1.022727,100.0,3.0,0.376238,267.540985,16.648205,0.0,0.016633,5.187513,5.187513,0.000714
-35.202938,20210530-090209,20210530,090209,44.530811,0.0,27.0,0.0,5.0,19.0,321.672668,0.729318,100.0,77.878197,4.024196,4.024196,155.901611,1.0,0.0,1.202674,0.0,-99900.0,0.701268,0.254,0.254,4.024196,2.222971,1.146415,25.473476,121.421906,-36.546509,45.431393,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.764778,1.023256,100.0,4.0,0.157514,268.13092,16.090097,0.0,0.016082,4.218318,4.218318,0.000525
-30.278061,20210530-090809,20210530,090809,42.939182,0.0,33.0,0.0,6.0,14.0,324.810944,0.677084,100.0,95.502243,3.695585,3.695585,189.622467,1.0,0.0,0.948493,0.0,-99900.0,1.979318,0.254,0.254,3.695585,2.023035,2.353685,25.459162,121.470901,-33.411232,43.761669,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.540787,1.046512,100.0,5.0,0.30554,271.662964,14.160357,0.0,0.014154,4.594093,4.594093,-0.000411
-23.724009,20210530-091410,20210530,091410,42.674789,0.0,39.0,0.0,7.0,22.0,330.92926,0.596308,100.0,73.628952,3.540499,3.540499,167.776489,1.0,0.0,1.102351,0.0,-99900.0,1.448971,0.254,0.254,3.540499,1.961058,1.698674,25.456783,121.536079,-26.568604,42.188328,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,48.825878,1.0,100.0,6.0,0.098165,273.475983,15.061354,0.0,0.015034,3.980452,3.980452,-0.000913
-17.620569,20210530-092012,20210530,092012,41.560417,0.0,45.0,1.0,8.0,20.0,337.024323,0.567471,100.0,55.220478,3.884096,3.884096,135.457443,1.0,0.0,1.189662,0.0,-99900.0,1.025484,0.254,0.254,3.884096,2.168829,0.567471,25.446762,121.596786,-20.891586,43.152569,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.141476,1.0,100.0,7.0,0.133859,276.423187,15.63137,0.0,0.015533,3.636944,3.636944,-0.001749
-9.337379,20210530-092611,20210530,092611,39.833393,0.0,51.0,0.0,9.0,13.0,346.807465,2.387017,100.0,100.552208,3.961209,3.961209,340.424652,1.0,0.0,0.526031,0.0,-99900.0,2.921446,0.508,0.508,3.961209,2.654979,3.961209,25.431231,121.679161,-9.6614,40.896183,41.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.913151,1.073171,100.0,8.0,0.406515,278.977966,17.369761,0.0,0.017157,2.427964,2.427964,-0.002711
