3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-126.363747,20210530-073751,20210530,073751,3.047515,0.0,3.0,0.0,1.0,2.0,271.381744,2.152917,89.0,97.190392,6.24164,6.24164,96.461037,1.0,0.0,1.987222,0.0,-99900.0,0.0,1.016,1.016,6.24164,3.02137,2.152917,25.10041,120.51722,-126.902283,3.141867,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.40049,1.0,89.0,0.0,1.706157,269.09729,-99900.0,0.0,-99900.0,8.323013,8.323013,-99900.0
-124.312164,20210530-074352,20210530,074352,9.549692,0.0,9.0,1.0,2.0,5.0,274.393066,2.152408,89.0,138.757065,5.88096,5.88096,188.62738,1.0,0.0,1.852733,0.0,-99900.0,7.175304,0.762,0.762,5.88096,2.997486,3.713499,25.158886,120.5373,-126.508179,10.227839,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,124.678429,1.0,89.0,1.0,1.390697,197.511658,18.886934,0.0,0.005683,7.857238,7.857238,0.018012
-117.964218,20210530-074954,20210530,074954,9.300933,0.0,15.0,0.0,3.0,5.0,274.508392,1.964589,89.0,357.837891,5.501724,5.501724,452.765686,1.0,0.0,1.557808,0.0,-99900.0,8.01429,0.762,0.762,5.501724,2.451399,2.697268,25.156649,120.600357,-118.953407,9.297124,46.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,118.330322,1.0,89.0,2.0,1.390854,233.3526,14.483387,0.0,0.01162,7.975676,7.975676,0.008645
-110.987587,20210530-075555,20210530,075555,10.31583,0.0,21.0,0.0,4.0,3.0,275.310364,1.807229,89.0,213.615005,4.094913,4.094913,284.460297,1.0,0.0,0.614342,0.0,-99900.0,3.48894,0.762,0.762,4.094913,2.232567,3.222152,25.165777,120.669609,-112.227425,10.281947,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.465958,1.0,89.0,3.0,1.201246,247.673141,15.697728,0.0,0.014521,7.689605,7.689605,0.005963
-102.750267,20210530-080157,20210530,080157,11.64717,0.0,27.0,0.0,5.0,3.0,276.467285,1.627768,89.0,167.130402,3.810633,3.810633,221.12381,1.0,0.0,0.687046,0.0,-99900.0,3.093467,0.762,0.762,3.810633,2.200372,3.810633,25.177748,120.751381,-104.20153,11.541181,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,103.408287,1.044444,89.0,4.0,1.193398,253.47818,17.47242,0.0,0.016751,6.105714,6.105714,0.004969
-95.20565,20210530-080758,20210530,080758,12.78996,0.0,33.0,1.0,6.0,12.0,277.65152,1.456068,89.0,85.585846,3.489561,3.489561,116.897949,1.0,0.0,0.941324,0.0,-99900.0,1.632869,0.508,0.508,3.489561,1.9076,3.489561,25.188026,120.826279,-96.153908,12.540886,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,96.060913,1.0,89.0,5.0,0.366993,256.165466,18.516521,0.0,0.017979,5.033391,5.033391,0.004428
-87.932617,20210530-081400,20210530,081400,14.016549,0.0,39.0,0.0,7.0,8.0,279.057007,1.321813,89.0,49.2799,3.981552,3.981552,80.449303,1.0,0.0,1.121722,0.0,-99900.0,0.85206,0.254,0.254,3.981552,2.142076,3.981552,25.199057,120.898483,-89.504135,13.663424,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,89.04274,1.0,89.0,6.0,0.297149,262.475708,20.598585,0.0,0.020421,4.536686,4.536686,0.002697
-78.645164,20210530-082000,20210530,082000,15.823849,0.0,45.0,0.0,8.0,8.0,281.376526,1.200372,89.0,101.2229,3.725017,3.725017,316.01947,1.0,0.0,1.301793,0.0,-99900.0,2.108724,0.254,0.254,3.725017,3.253427,1.200372,25.215309,120.990692,-83.094009,15.311764,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,80.221291,1.0,89.0,7.0,0.122517,260.678955,21.900738,0.0,0.021612,3.151905,3.151905,0.003547
-68.732918,20210530-082602,20210530,082602,14.993057,0.0,48.0,0.0,9.0,49.0,282.305634,0.89519,89.0,5.731949,1.472334,1.472334,27.925671,1.0,0.0,0.198936,0.0,-99900.0,2.972543,0.0,0.0,1.472334,1.211695,1.472334,25.207838,121.089188,-66.747543,13.538072,35.0,0.0,36.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,70.349174,1.028571,89.0,8.0,0.0,262.723114,23.186714,0.0,0.023,0.587605,0.587605,0.002937
-64.583572,20210530-083203,20210530,083203,13.906453,0.0,3.0,0.0,1.0,9.0,282.151855,1.748819,89.0,150.414688,3.872913,3.872913,541.838562,1.0,0.0,0.390416,0.0,-99900.0,4.675643,0.508,0.508,3.872913,2.603627,3.872913,25.198065,121.13044,-63.695007,12.97742,38.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,66.063812,1.157895,89.0,0.0,0.45593,265.966919,22.166666,0.0,0.022112,2.029979,2.029979,0.001559
