3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
107.061424,20210530-072550,20210530,072550,18.643637,0.0,0.0,0.0,18.0,52.0,80.121407,1.70603,46.0,172.650894,2.496068,2.496068,799.559265,1.0,0.0,0.078463,0.0,-99900.0,0.0,0.0,0.0,2.496068,1.958741,2.496068,25.240669,122.835724,106.65612,18.850525,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.6726,1.0,46.0,17.0,0.0,266.086914,-99900.0,0.0,-99900.0,1.274887,1.274887,-99900.0
108.740723,20210530-073151,20210530,073151,11.881289,0.0,0.0,0.0,1.0,55.0,83.764252,1.728274,46.0,160.287277,2.500682,2.500682,731.146362,1.0,0.0,0.077617,0.0,-99900.0,8.081363,0.0,0.0,2.500682,1.98224,2.500682,25.179853,122.852142,108.634956,11.884048,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.387886,1.0,46.0,0.0,0.0,346.053802,19.301193,0.0,0.004652,1.286847,1.286847,-0.018732
111.996017,20210530-073751,20210530,073751,6.974359,0.0,15.0,0.0,1.0,19.0,86.436401,2.572898,46.0,348.001007,4.179816,4.179816,1371.739868,1.0,0.0,0.376955,0.0,-99900.0,2.423188,0.254,0.254,4.179816,2.979297,4.179816,25.135725,122.884277,111.780151,7.056569,37.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,112.212967,1.135135,46.0,0.0,0.216759,337.082458,17.573099,0.0,0.006843,1.843319,1.843319,-0.016186
117.20105,20210530-074352,20210530,074352,7.132853,0.0,3.0,0.0,1.0,43.0,86.517075,1.826202,46.0,426.938171,3.660407,3.660407,1702.425903,1.0,0.0,0.114979,0.0,-99900.0,6.595313,0.0,0.0,3.660407,2.897464,3.660407,25.137152,122.935974,113.402534,4.899192,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,117.4179,1.081081,46.0,0.0,0.0,319.507111,14.381092,0.0,0.009338,2.039329,2.039329,-0.010937
119.333214,20210530-074954,20210530,074954,1.285025,0.0,3.0,0.0,1.0,45.0,89.382828,1.926055,46.0,224.693314,3.762568,3.762568,1010.147461,1.0,0.0,0.741223,0.0,-99900.0,2.264026,0.0,0.0,3.762568,2.321192,3.762568,25.08456,122.956894,117.713333,0.965117,37.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,119.340134,1.081081,46.0,0.0,0.0,320.095093,14.254926,0.0,0.009145,2.12115,2.12115,-0.010935
118.394691,20210530-075555,20210530,075555,-2.616141,0.0,33.0,0.0,1.0,25.0,91.265633,1.918465,46.0,259.348846,3.515453,3.515453,1109.508057,1.0,0.0,0.433133,0.0,-99900.0,4.240031,0.0,0.0,3.515453,2.328368,3.515453,25.049477,122.947411,117.371025,-2.639932,37.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,118.423592,1.108108,46.0,0.0,0.034417,325.827148,13.194333,0.0,0.007411,2.163734,2.163734,-0.010916
126.683952,20210530-080157,20210530,080157,-4.636887,0.0,0.0,0.0,1.0,43.0,92.095985,3.079424,46.0,519.531128,3.790142,3.790142,2116.893066,1.0,0.0,0.045389,0.0,-99900.0,5.92964,0.0,0.0,3.790142,3.292095,3.790142,25.031303,123.02961,128.143265,-3.559587,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.768784,1.052632,46.0,0.0,0.0,316.547424,12.769823,0.0,0.008782,1.10143,1.10143,-0.00927
135.779892,20210530-080758,20210530,080758,-3.27999,0.0,0.0,0.0,1.0,58.0,91.383591,2.366711,46.0,84.725868,3.350526,3.350526,372.636261,1.0,0.0,0.13247,0.0,-99900.0,7.565272,0.0,0.0,3.350526,2.843288,3.350526,25.043507,123.119972,135.172028,-4.579289,36.0,0.0,38.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.819504,1.055556,46.0,0.0,0.0,301.715149,13.606251,0.0,0.011574,1.600371,1.600371,-0.007153
148.041412,20210530-081400,20210530,081400,0.820104,0.0,3.0,0.0,1.0,46.0,89.682396,2.688627,46.0,97.538673,4.949953,4.949953,425.176666,1.0,0.0,0.246674,0.0,-99900.0,10.483231,0.0,0.0,4.949953,3.571988,3.74796,25.080379,123.241928,147.15332,0.024044,35.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,148.043686,1.114286,46.0,0.0,0.0,282.58139,17.152611,0.0,0.016741,2.114873,2.114873,-0.003736
148.427368,20210530-082000,20210530,082000,-6.200937,1.0,0.0,0.0,1.0,60.0,92.392075,2.721741,46.0,58.617149,4.763745,4.763745,268.918365,1.0,0.0,0.35043,0.0,-99900.0,8.002138,0.0,0.0,4.763745,3.373451,3.779388,25.017239,123.245377,148.265015,-4.732882,35.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,148.556839,1.057143,46.0,0.0,0.0,276.03418,19.365036,0.0,0.019258,1.979243,1.979243,-0.002036
