3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-11.312428,20210530-040113,20210530,040113,31.832914,0.0,9.0,0.0,1.0,19.0,340.436401,0.377438,6.0,75.86245,4.402037,4.402037,110.967232,1.0,0.0,2.202529,0.0,-99900.0,1.019566,0.0,0.0,4.402037,1.355158,0.595125,25.35928,121.659554,-13.188595,31.811766,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,33.783211,1.0,6.0,0.0,0.042556,252.753082,16.317198,0.0,0.015584,6.329852,6.329852,0.004838
-4.30312,20210530-040714,20210530,040714,32.691872,0.0,3.0,0.0,1.0,15.0,352.501465,0.613054,6.0,64.129478,4.209174,4.209174,86.178551,1.0,0.0,1.274522,0.0,-99900.0,1.64384,0.0,0.0,4.209174,1.718286,1.130062,25.367004,121.729225,-5.68424,33.724449,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.973858,1.0,6.0,0.0,0.058385,254.598618,16.973284,0.0,0.016364,5.350015,5.350015,0.004508
1.266545,20210530-041315,20210530,041315,32.83392,0.0,3.0,0.0,1.0,15.0,2.209043,0.357332,6.0,68.446747,4.107043,4.107043,85.045387,1.0,0.0,1.785352,0.0,-99900.0,1.523149,0.254,0.254,4.107043,1.774503,0.357332,25.368282,121.784592,-0.771513,32.892704,50.0,0.0,50.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,32.858337,1.0,6.0,0.0,0.22513,259.558502,16.912592,0.0,0.016633,6.844098,6.844098,0.003065
6.778372,20210530-041916,20210530,041916,33.481716,0.0,3.0,0.0,1.0,14.0,11.444816,0.369546,6.0,79.933548,4.382551,4.382551,107.575401,1.0,0.0,1.116832,0.0,-99900.0,0.673037,0.254,0.254,4.382551,1.890624,0.865714,25.374107,121.839386,4.422798,33.547066,48.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.160965,1.020833,6.0,0.0,0.338436,264.127045,16.478563,0.0,0.016392,7.03951,7.03951,0.001686
12.237416,20210530-042516,20210530,042516,34.337173,0.0,3.0,0.0,1.0,12.0,19.615499,0.38931,6.0,98.319328,4.382939,4.382939,113.117249,1.0,0.0,1.475864,0.0,-99900.0,0.507129,0.508,0.508,4.382939,1.77107,2.068724,25.381802,121.893661,10.135538,33.848209,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,36.452652,1.0,6.0,0.0,0.632195,264.262878,16.200886,0.0,0.01612,7.79894,7.79894,0.00162
24.847761,20210530-043718,20210530,043718,34.625111,0.0,3.0,0.0,1.0,4.0,35.66399,0.467189,6.0,117.261505,4.754746,4.754746,94.012329,1.0,0.0,1.939121,0.0,-99900.0,1.312006,1.016,1.016,4.754746,1.942041,2.49574,25.384392,122.019028,21.984444,34.638855,51.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,42.618183,1.0,6.0,0.0,1.942327,265.399292,16.432833,0.0,0.01638,11.27286,11.27286,0.001318
30.740982,20210530-044319,20210530,044319,34.713127,0.0,15.0,0.0,1.0,4.0,41.527111,0.515702,6.0,127.60466,5.109152,5.109152,97.514969,1.0,0.0,2.309592,0.0,-99900.0,0.388328,0.762,0.762,5.109152,1.748037,2.152021,25.385183,122.077614,27.879276,34.589588,52.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,46.368191,1.0,6.0,0.0,0.932326,266.386047,16.295147,0.0,0.016263,11.091187,11.091187,0.001027
37.353203,20210530-044920,20210530,044920,34.990635,0.0,57.0,0.0,1.0,5.0,46.870361,0.584963,6.0,130.692123,4.417808,4.417808,112.865784,1.0,0.0,1.67279,0.0,-99900.0,0.747218,0.508,0.508,4.417808,1.75003,1.827109,25.387678,122.143356,34.439178,35.007996,50.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.182087,1.02,6.0,0.0,0.676247,266.873535,16.732494,0.0,0.016708,9.451989,9.451989,0.000913
43.969437,20210530-045521,20210530,045521,35.443314,1.0,45.0,0.0,1.0,7.0,51.127949,0.67038,6.0,125.459549,4.233934,4.233934,105.642982,1.0,0.0,1.812237,0.0,-99900.0,0.597637,0.508,0.508,4.233934,1.764046,2.643244,25.39175,122.209137,41.496185,35.539307,50.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.476013,1.02,6.0,0.0,0.677552,267.488495,17.216549,0.0,0.0172,9.237258,9.237258,0.000754
50.687031,20210530-050121,20210530,050121,36.264938,0.0,3.0,0.0,1.0,12.0,54.417374,0.771197,6.0,153.722412,4.645879,4.645879,128.658142,1.0,0.0,1.225282,0.0,-99900.0,0.760774,0.508,0.508,4.645879,1.684974,1.222731,25.399139,122.27594,48.80711,36.342632,51.0,0.0,52.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,62.324318,1.019608,6.0,0.0,0.361373,267.348145,17.734968,0.0,0.017716,9.473463,9.473463,0.000821
57.428902,20210530-050722,20210530,050722,36.368298,1.0,15.0,0.0,1.0,10.0,57.654804,0.872158,6.0,119.63839,4.026511,4.026511,107.220741,1.0,0.0,1.707899,0.0,-99900.0,0.396472,0.508,0.508,4.026511,1.80368,1.849442,25.400068,122.342972,55.688538,36.871613,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,67.975967,1.0,6.0,0.0,0.587547,266.551147,18.197111,0.0,0.018164,7.67644,7.67644,0.001095
63.297764,20210530-051323,20210530,051323,37.471684,0.0,3.0,0.0,1.0,11.0,59.374722,0.980606,6.0,148.785416,4.382473,4.382473,169.606186,1.0,0.0,1.528168,0.0,-99900.0,0.987644,0.254,0.254,4.382473,1.543622,1.527716,25.409992,122.401344,62.05695,38.227184,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,73.557693,1.0,6.0,0.0,0.339273,265.334686,18.255301,0.0,0.018195,7.550178,7.550178,0.001485
70.745789,20210530-051924,20210530,051924,36.744858,0.0,9.0,0.0,1.0,21.0,62.552811,1.098424,6.0,78.329529,3.72438,3.72438,82.68132,1.0,0.0,0.841219,0.0,-99900.0,1.539035,0.0,0.0,3.72438,1.666999,1.672522,25.403456,122.47538,69.997345,37.103367,48.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,79.7192,1.0,6.0,0.0,0.045949,266.306091,18.386944,0.0,0.018349,5.678295,5.678295,0.001185
76.598335,20210530-052526,20210530,052526,37.668613,0.0,3.0,0.0,1.0,22.0,63.813366,1.211958,6.0,44.26416,1.84489,1.84489,68.629166,1.0,0.0,0.188194,0.0,-99900.0,0.931974,0.0,0.0,1.84489,1.333725,1.211958,25.411764,122.533592,76.280762,37.681637,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,85.359413,1.0,6.0,0.0,0.0,266.586975,18.171335,0.0,0.018139,2.530648,2.530648,0.001082
83.86731,20210530-053128,20210530,053128,36.603951,0.0,0.0,0.0,1.0,50.0,66.420952,3.423667,6.0,26.151682,4.309232,4.309232,95.480438,1.0,0.0,0.344851,0.0,-99900.0,1.616912,0.0,0.0,4.309232,3.516741,3.423667,25.402189,122.605827,83.963181,36.745415,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,91.50724,1.0,6.0,0.0,0.0,268.792542,18.256632,0.0,0.018253,0.915465,0.915465,0.000385
