3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-23.421621,20210530-072550,20210530,072550,26.810606,0.0,3.0,1.0,1.0,42.0,318.859772,3.275773,40.0,10.09059,4.004993,4.004993,69.463364,1.0,0.0,0.251025,0.0,-99900.0,0.0,0.0,0.0,4.004993,3.596979,4.004993,25.314114,121.539223,-23.682508,26.993074,33.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,35.600292,1.212121,40.0,0.0,0.0,266.086914,-99900.0,0.0,-99900.0,0.800252,0.800252,-99900.0
-17.088453,20210530-073151,20210530,073151,27.010674,0.0,6.0,0.0,2.0,62.0,327.680359,1.446525,40.0,9.089602,4.162705,4.162705,66.216667,1.0,0.0,1.308169,0.0,-99900.0,0.797478,0.0,0.0,4.162705,2.66653,4.162705,25.315912,121.602165,-18.211157,27.363676,35.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.962347,1.057143,40.0,1.0,0.0,268.190613,17.552132,0.0,0.017543,1.169653,1.169653,0.000554
-11.053871,20210530-073751,20210530,073751,26.446482,0.0,3.0,0.0,1.0,38.0,337.316528,1.621615,40.0,14.443533,3.977033,3.977033,88.343376,1.0,0.0,0.872776,0.0,-99900.0,0.813772,0.0,0.0,3.977033,2.916442,3.977033,25.310839,121.662148,-11.182237,26.734699,34.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.663643,1.205882,40.0,0.0,0.067424,271.684723,17.161161,0.0,0.017154,1.302266,1.302266,-0.000505
-6.444871,20210530-074352,20210530,074352,26.98827,0.0,9.0,0.0,2.0,41.0,346.569183,0.315745,40.0,21.066254,4.026692,4.026692,120.180252,1.0,0.0,1.589595,0.0,-99900.0,1.741133,0.0,0.0,4.026692,1.865323,3.945257,25.315712,121.707947,-9.505712,28.083488,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.747128,1.0,40.0,1.0,0.0,270.030334,15.797049,0.0,0.015797,2.237005,2.237005,-8e-06
-3.291256,20210530-074954,20210530,074954,27.398029,0.0,15.0,0.0,3.0,34.0,353.150055,0.494253,40.0,25.21673,4.189748,4.189748,128.603256,1.0,0.0,2.065844,0.0,-99900.0,2.59792,0.0,0.0,4.189748,1.812868,3.408675,25.319397,121.739288,-2.383388,28.085062,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.595007,1.051282,40.0,2.0,0.029941,268.701263,14.106956,0.0,0.014103,1.814803,1.814803,0.00032
3.673567,20210530-075555,20210530,075555,26.818617,0.0,21.0,1.0,4.0,36.0,7.799716,0.279524,40.0,13.6525,2.52809,2.52809,83.057495,1.0,0.0,0.612992,0.0,-99900.0,1.998219,0.0,0.0,2.52809,1.053792,0.279524,25.314186,121.80851,0.708438,26.714108,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.069048,1.0,40.0,3.0,0.0,269.44873,14.362909,0.0,0.014362,0.844686,0.844686,0.000138
11.200885,20210530-080157,20210530,080157,26.791264,0.0,24.0,0.0,5.0,48.0,22.688765,0.31985,40.0,19.722912,4.061068,4.061068,132.497726,1.0,0.0,0.926815,0.0,-99900.0,2.329471,0.0,0.0,4.061068,2.19593,3.950859,25.31394,121.883324,8.841198,28.641005,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,29.03845,1.026316,40.0,4.0,0.0,269.869415,14.930914,0.0,0.014931,1.87278,1.87278,3.4e-05
20.030294,20210530-080758,20210530,080758,27.667091,0.0,3.0,0.0,1.0,46.0,35.90353,3.914235,40.0,18.949657,4.012961,4.012961,61.975124,1.0,0.0,0.036457,0.0,-99900.0,3.546114,0.0,0.0,4.012961,3.918678,4.012961,25.321815,121.971085,20.193441,27.880629,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.156708,1.052632,40.0,0.0,0.0,268.687836,17.024487,0.0,0.01702,1.057013,1.057013,0.00039
22.403275,20210530-081400,20210530,081400,25.57613,0.0,6.0,0.0,2.0,53.0,41.216469,1.887839,40.0,39.516884,4.04056,4.04056,275.882996,1.0,0.0,0.773003,0.0,-99900.0,4.396954,0.0,0.0,4.04056,2.536897,4.04056,25.303013,121.994652,21.979788,25.358646,37.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.000664,1.054054,40.0,1.0,0.0,271.623016,17.529102,0.0,0.017522,1.219852,1.219852,-0.000496
26.80093,20210530-082000,20210530,082000,25.957674,0.0,0.0,0.0,1.0,49.0,45.915588,0.366843,40.0,17.406013,3.852714,3.852714,103.41687,1.0,0.0,1.118925,0.0,-99900.0,1.990758,0.0,0.0,3.852714,1.638134,0.653607,25.306444,122.038361,23.252855,24.297192,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.31073,1.026316,40.0,0.0,0.0,272.671661,17.058582,0.0,0.01704,0.990382,0.990382,-0.000795
