3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-116.599419,20210530-045521,20210530,045521,-76.473068,0.0,3.0,0.0,1.0,42.0,236.740967,2.480731,32.0,49.853321,4.39907,4.39907,147.491653,1.0,0.0,0.824251,0.0,-99900.0,0.0,0.0,0.0,4.39907,2.804926,3.448494,24.385267,120.617523,-116.954559,-76.119629,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,139.44014,1.051282,32.0,0.0,0.036561,256.703888,-99900.0,0.0,-99900.0,2.893502,2.893502,-99900.0
-111.488228,20210530-050121,20210530,050121,-76.432556,0.0,9.0,0.0,2.0,15.0,235.567078,2.3691,32.0,57.062992,5.405724,5.405724,111.432648,1.0,0.0,1.428835,0.0,-99900.0,1.013026,0.254,0.254,5.405724,3.176179,3.319353,24.385632,120.668129,-112.297356,-75.540398,42.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,135.172333,1.071429,32.0,1.0,0.318126,269.545868,14.198144,0.0,0.014198,5.032604,5.032604,0.000113
-106.949089,20210530-050722,20210530,050722,-75.363617,0.0,15.0,0.0,3.0,12.0,234.829163,2.258496,32.0,86.19088,5.178513,5.178513,120.057373,1.0,0.0,1.141429,0.0,-99900.0,1.183676,0.508,0.508,5.178513,2.98858,2.258496,24.395245,120.713036,-107.593033,-74.884628,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,130.834946,1.0,32.0,2.0,0.47482,263.438812,13.472476,0.0,0.013384,6.24811,6.24811,0.001539
-102.971306,20210530-051323,20210530,051323,-72.76786,0.0,21.0,0.0,4.0,5.0,234.752167,2.142162,32.0,96.152672,6.293492,6.293492,162.465088,1.0,0.0,1.494957,0.0,-99900.0,2.211535,0.508,0.508,6.293492,3.14734,3.012645,24.418587,120.752327,-103.85202,-72.253021,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,126.088272,1.023256,32.0,3.0,0.714978,254.979767,13.038154,0.0,0.012593,5.928687,5.928687,0.003379
-98.730621,20210530-051924,20210530,051924,-71.696808,0.0,27.0,0.0,5.0,6.0,234.013657,2.040802,32.0,115.606133,6.062165,6.062165,197.738037,1.0,0.0,1.305848,0.0,-99900.0,0.339597,0.508,0.508,6.062165,2.973142,2.876716,24.428219,120.794281,-99.51844,-71.325569,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,122.017082,1.022727,32.0,4.0,0.595635,253.368271,12.800884,0.0,0.012265,6.18955,6.18955,0.003664
-96.073227,20210530-052526,20210530,052526,-68.965126,0.0,33.0,0.0,6.0,5.0,234.328033,1.947134,32.0,94.600594,5.828011,5.828011,164.954803,1.0,0.0,1.952681,0.0,-99900.0,2.270007,0.508,0.508,5.828011,2.614511,3.595263,24.452785,120.820503,-97.150253,-68.016693,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,118.263489,1.0,32.0,5.0,0.439634,249.435059,12.246319,0.0,0.011466,5.765442,5.765442,0.004302
-93.260612,20210530-053128,20210530,053128,-65.826164,0.0,39.0,0.0,7.0,22.0,234.784698,1.843066,32.0,44.722267,3.439163,3.439163,85.407204,1.0,0.0,0.667557,0.0,-99900.0,2.071772,0.0,0.0,3.439163,2.391554,1.843066,24.481016,120.848251,-93.481758,-65.640999,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.151764,1.0,32.0,6.0,0.038007,240.199707,11.662136,0.0,0.01012,3.576087,3.576087,0.005796
-88.652328,20210530-053729,20210530,053729,-66.937592,0.0,45.0,0.0,8.0,14.0,232.945404,1.767778,32.0,71.778954,5.554443,5.554443,183.850372,1.0,0.0,1.337396,0.0,-99900.0,3.343027,0.254,0.254,5.554443,3.064391,2.538167,24.47102,120.893929,-89.809685,-65.231354,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.084999,1.0,32.0,7.0,0.126751,241.946075,11.040109,0.0,0.009743,4.188056,4.188056,0.005192
-85.348099,20210530-054331,20210530,054331,-65.212082,0.0,51.0,0.0,9.0,6.0,232.617874,1.702917,32.0,46.653156,5.243109,5.243109,82.411331,1.0,0.0,1.737812,0.0,-99900.0,0.270809,0.508,0.508,5.243109,2.840679,4.092096,24.486538,120.926605,-87.180077,-64.038269,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.410027,1.0,32.0,8.0,0.39222,245.505646,10.519272,0.0,0.009573,5.056323,5.056323,0.004361
-78.171654,20210530-054933,20210530,054933,-66.838448,0.0,57.0,0.0,10.0,24.0,229.469147,3.916884,32.0,111.681824,4.990487,4.990487,308.089172,1.0,0.0,0.254826,0.0,-99900.0,4.903668,0.0,0.0,4.990487,4.006016,3.916884,24.47191,120.997734,-78.175163,-66.84082,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,102.850304,1.0,32.0,9.0,0.078605,256.138275,11.354974,0.0,0.011024,1.207248,1.207248,0.00272
