3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
43.944992,20210530-040113,20210530,040113,59.68824,0.0,9.0,0.0,1.0,14.0,36.361977,2.662127,4.0,40.497654,4.411033,4.411033,69.170509,1.0,0.0,0.96764,0.0,-99900.0,1.310896,0.254,0.254,4.411033,3.168793,2.662127,25.609789,122.20929,43.979851,58.983013,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,74.120499,1.0,4.0,0.0,0.190522,263.409912,13.907144,0.0,0.013815,2.331693,2.331693,0.001596
47.392658,20210530-040714,20210530,040714,62.542015,0.0,9.0,0.0,1.0,13.0,37.153782,1.065756,4.0,101.531792,4.732832,4.732832,177.584106,1.0,0.0,1.073865,0.0,-99900.0,2.749172,0.254,0.254,4.732832,2.207091,1.613138,25.635454,122.243645,46.013348,62.354279,44.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,78.470169,1.022727,4.0,0.0,0.167063,264.330933,14.023033,0.0,0.013954,5.001915,5.001915,0.001385
52.240582,20210530-041315,20210530,041315,63.077766,0.0,3.0,0.0,1.0,16.0,39.631233,1.132921,4.0,88.284615,4.947867,4.947867,162.846085,1.0,0.0,1.498267,0.0,-99900.0,0.19296,0.254,0.254,4.947867,2.092433,3.054091,25.640272,122.291901,51.452431,62.594379,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,81.901665,1.0,4.0,0.0,0.115191,263.522614,13.621878,0.0,0.013535,4.759358,4.759358,0.001537
56.017353,20210530-041916,20210530,041916,63.905369,0.0,9.0,1.0,1.0,17.0,41.236649,1.201216,4.0,71.199959,5.168239,5.168239,128.842041,1.0,0.0,1.232759,0.0,-99900.0,1.142396,0.254,0.254,5.168239,2.094479,1.201216,25.647715,122.329506,55.482937,63.780472,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,84.981407,1.0,4.0,0.0,0.095529,259.648224,12.832207,0.0,0.012623,4.654294,4.654294,0.002306
60.72765,20210530-042516,20210530,042516,64.234612,0.0,3.0,0.0,1.0,28.0,43.392365,1.269561,4.0,54.00758,5.412163,5.412163,119.145729,1.0,0.0,1.711943,0.0,-99900.0,0.527613,0.0,0.0,5.412163,2.21198,1.880752,25.650677,122.376389,60.031548,64.300201,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,88.396454,1.023256,4.0,0.0,0.030051,256.998383,12.468529,0.0,0.012149,4.194744,4.194744,0.002805
67.207863,20210530-043718,20210530,043718,71.906693,0.0,15.0,0.0,1.0,18.0,43.065372,1.469316,4.0,38.843475,4.762201,4.762201,66.892624,1.0,0.0,1.575802,0.0,-99900.0,6.093927,0.254,0.254,4.762201,2.749934,2.170428,25.719673,122.441071,66.145889,71.751785,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,98.424942,1.023256,4.0,0.0,0.151305,246.039566,12.045286,0.0,0.011007,4.706489,4.706489,0.004892
71.444267,20210530-044319,20210530,044319,72.5121,0.0,51.0,0.0,1.0,14.0,44.574898,1.544833,4.0,50.190079,4.966988,4.966988,96.680786,1.0,0.0,1.434082,0.0,-99900.0,1.189862,0.254,0.254,4.966988,2.768494,3.900826,25.725119,122.483261,70.492416,72.447273,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,101.795326,1.0,4.0,0.0,0.186502,244.575699,12.036396,0.0,0.010871,4.392993,4.392993,0.005167
75.363586,20210530-044920,20210530,044920,73.549782,0.0,51.0,0.0,1.0,14.0,45.697739,1.619558,4.0,67.350975,5.144021,5.144021,176.661804,1.0,0.0,1.621883,0.0,-99900.0,0.827782,0.254,0.254,5.144021,2.93336,4.070168,25.734449,122.522316,74.766747,72.966064,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.305458,1.02381,4.0,0.0,0.339201,242.180786,11.941579,0.0,0.010561,4.456754,4.456754,0.005573
79.847229,20210530-045521,20210530,045521,75.251747,1.0,3.0,0.0,1.0,20.0,46.697029,1.718912,4.0,62.674191,4.257487,4.257487,160.469452,1.0,0.0,0.55536,0.0,-99900.0,0.739064,0.254,0.254,4.257487,3.100262,4.257487,25.749756,122.567001,78.237259,75.71286,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,109.719673,1.0,4.0,0.0,0.259621,242.095001,12.126005,0.0,0.010716,4.136122,4.136122,0.005675
83.612495,20210530-050121,20210530,050121,74.336967,0.0,3.0,0.0,1.0,35.0,48.360703,1.776968,4.0,54.470238,3.434112,3.434112,171.370941,1.0,0.0,0.510865,0.0,-99900.0,2.959248,0.0,0.0,3.434112,2.147957,2.571518,25.741529,122.604462,83.298767,73.962852,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,111.879555,1.025,4.0,0.0,0.0,246.924515,11.673841,0.0,0.01074,2.553078,2.553078,0.004575
