3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-23.244381,20210530-040113,20210530,040113,34.069572,0.0,3.0,0.0,1.0,13.0,325.695831,0.466814,16.0,125.826378,3.89024,3.89024,183.153336,1.0,0.0,0.888877,0.0,-99900.0,0.791899,0.254,0.254,3.89024,1.586617,1.826341,25.379395,121.540924,-23.980785,33.255035,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.243629,1.022222,16.0,0.0,0.233372,257.244354,15.017945,0.0,0.014647,5.067019,5.067019,0.003316
-19.059441,20210530-040714,20210530,040714,36.095722,0.0,3.0,1.0,1.0,17.0,332.164886,0.443773,16.0,109.803307,4.683801,4.683801,216.210327,1.0,0.0,1.141147,0.0,-99900.0,1.379667,0.0,0.0,4.683801,1.775318,1.059648,25.397617,121.582512,-19.358416,34.254959,45.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,40.818665,1.0,16.0,0.0,0.068403,254.345947,15.011874,0.0,0.014455,4.725665,4.725665,0.004051
-14.784996,20210530-041315,20210530,041315,38.568439,0.0,9.0,1.0,1.0,19.0,339.026001,0.471277,16.0,80.711914,4.792995,4.792995,191.223724,1.0,0.0,1.538139,0.0,-99900.0,1.382682,0.0,0.0,4.792995,2.028406,1.830639,25.419855,121.625,-16.164038,38.023876,43.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.305214,1.023256,16.0,0.0,0.081508,252.315445,14.077509,0.0,0.013412,4.414587,4.414587,0.004276
-10.001407,20210530-041916,20210530,041916,40.705074,0.0,9.0,0.0,1.0,13.0,346.195679,0.469361,16.0,75.241127,3.994455,3.994455,169.740921,1.0,0.0,0.897468,0.0,-99900.0,0.595703,0.254,0.254,3.994455,2.203132,2.375606,25.43907,121.672554,-11.51557,39.53804,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,41.915764,1.045455,16.0,0.0,0.339002,248.764633,13.652556,0.0,0.012726,5.001525,5.001525,0.004945
-5.451684,20210530-042516,20210530,042516,43.37355,2.0,5.0,0.0,1.0,4.0,352.835999,0.492965,16.0,64.126106,5.165555,5.165555,133.849976,1.0,0.0,1.838248,0.0,-99900.0,0.888848,0.762,0.762,5.165555,2.265516,0.780546,25.463068,121.717789,-6.890869,42.288105,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,43.714821,1.044444,16.0,0.0,1.27631,243.769806,13.766136,0.0,0.012349,6.165269,6.165269,0.006084
4.153604,20210530-043718,20210530,043718,45.457882,0.0,3.0,0.0,1.0,13.0,5.220754,0.535537,16.0,40.651924,4.1527,4.1527,86.580345,1.0,0.0,1.992861,0.0,-99900.0,2.40936,0.254,0.254,4.1527,2.339657,0.853324,25.481813,121.813316,2.47349,45.720028,43.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.647251,1.046512,16.0,0.0,0.346902,246.61647,13.827683,0.0,0.012692,4.950713,4.950713,0.005488
9.083601,20210530-044319,20210530,044319,46.595909,0.0,6.0,1.0,1.0,24.0,11.031102,0.565892,16.0,44.743076,4.299555,4.299555,141.720642,1.0,0.0,1.472031,0.0,-99900.0,0.912201,0.0,0.0,4.299555,2.016629,1.606672,25.492046,121.86235,7.5255,47.242416,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,47.473049,1.0,16.0,0.0,0.037519,249.838455,13.897056,0.0,0.013046,4.297837,4.297837,0.00479
14.108235,20210530-044920,20210530,044920,47.43314,0.0,12.0,0.0,1.0,26.0,16.564238,0.596112,16.0,30.781626,4.413731,4.413731,113.102448,1.0,0.0,1.62456,0.0,-99900.0,0.945973,0.0,0.0,4.413731,1.837362,1.714563,25.499577,121.912323,12.825745,48.165966,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,49.486816,1.0,16.0,0.0,0.0,253.253464,13.897901,0.0,0.013308,3.193316,3.193316,0.004005
19.37137,20210530-045521,20210530,045521,47.947002,0.0,6.0,0.0,1.0,47.0,21.99946,0.622166,16.0,21.581554,3.754755,3.754755,77.641258,1.0,0.0,1.544983,0.0,-99900.0,1.038591,0.0,0.0,3.754755,1.87225,2.39478,25.504198,121.964676,17.788326,48.380375,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,51.71233,1.0,16.0,0.0,0.0,256.620209,13.91724,0.0,0.013539,2.590303,2.590303,0.003221
24.655085,20210530-050121,20210530,050121,48.605263,0.0,3.0,0.0,1.0,38.0,26.8964,0.662735,16.0,20.285839,4.00332,4.00332,74.338882,1.0,0.0,1.56609,0.0,-99900.0,0.647159,0.0,0.0,4.00332,2.092203,2.484516,25.510118,122.017235,23.331524,48.866344,38.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,54.50087,1.052632,16.0,0.0,0.0,260.099854,14.109658,0.0,0.0139,2.574318,2.574318,0.002426
30.222757,20210530-050722,20210530,050722,48.49295,0.0,3.0,0.0,1.0,41.0,31.932747,0.706166,16.0,23.590256,4.196882,4.196882,92.03936,1.0,0.0,1.545715,0.0,-99900.0,1.130793,0.0,0.0,4.196882,2.381919,1.118021,25.509108,122.072617,28.521481,49.209206,39.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,57.140015,1.025641,16.0,0.0,0.0,263.206848,14.54117,0.0,0.014439,2.707771,2.707771,0.00172
35.24963,20210530-051323,20210530,051323,48.862572,0.0,15.0,0.0,1.0,28.0,35.806728,0.759235,16.0,19.31451,4.400756,4.400756,84.698097,1.0,0.0,1.887477,0.0,-99900.0,0.312432,0.0,0.0,4.400756,2.16365,2.156716,25.512432,122.12262,34.026859,49.575989,39.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.250206,1.076923,16.0,0.0,0.0,265.298248,14.658625,0.0,0.014609,2.718298,2.718298,0.001202
40.738533,20210530-051924,20210530,051924,48.546207,0.0,0.0,0.0,1.0,48.0,40.002281,2.917843,16.0,15.783892,3.661724,3.661724,84.012146,1.0,0.0,0.337972,0.0,-99900.0,0.780311,0.0,0.0,3.661724,3.023453,3.661724,25.509586,122.177216,40.809902,48.576561,39.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,63.374775,1.0,16.0,0.0,0.0,267.481079,14.772639,0.0,0.014758,0.933359,0.933359,0.000649
