3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-35.647175,20210530-065544,20210530,065544,-12.681523,0.0,3.0,0.0,1.0,38.0,250.417175,0.448008,75.0,12.665413,2.611802,2.611802,40.182121,1.0,0.0,1.051658,0.0,-99900.0,0.0,0.0,0.0,2.611802,1.218664,0.958574,24.958954,121.418236,-37.086739,-14.031481,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,37.835724,1.0,75.0,0.0,0.0,264.845001,-99900.0,0.0,-99900.0,1.742271,1.742271,-99900.0
-32.149902,20210530-070145,20210530,070145,-11.966773,0.0,9.0,0.0,2.0,42.0,249.584076,0.383967,75.0,6.203248,0.815064,0.815064,14.347692,1.0,0.0,0.201487,0.0,-99900.0,1.865967,0.0,0.0,0.815064,0.517713,0.815064,24.965382,121.452934,-32.747978,-12.154873,40.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.304806,1.025,75.0,1.0,0.0,258.44931,9.887974,0.0,0.009688,0.711124,0.711124,0.00198
-25.936581,20210530-070746,20210530,070746,-10.988967,0.0,15.0,0.0,3.0,29.0,247.038574,0.322066,75.0,14.257926,2.307763,2.307763,44.61842,1.0,0.0,0.720551,0.0,-99900.0,2.728762,0.0,0.0,2.307763,0.887894,0.510804,24.974174,121.514587,-27.807676,-11.651619,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.168486,1.0,75.0,2.0,0.0,260.112671,13.652333,0.0,0.01345,1.617042,1.617042,0.002344
-19.538824,20210530-071347,20210530,071347,-9.410722,0.0,21.0,0.0,4.0,25.0,244.282837,0.261332,75.0,12.570203,2.637067,2.637067,43.920536,1.0,0.0,1.030334,0.0,-99900.0,1.70733,0.0,0.0,2.637067,1.22056,0.411291,24.988369,121.578072,-23.033989,-10.269399,40.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,21.687031,1.05,75.0,3.0,0.0,258.808777,15.400426,0.0,0.015108,2.209023,2.209023,0.002989
-11.954974,20210530-071948,20210530,071948,-9.168826,0.0,27.0,0.0,5.0,27.0,232.514023,0.196527,75.0,16.916319,3.544378,3.544378,66.555336,1.0,0.0,1.310338,0.0,-99900.0,2.288609,0.0,0.0,3.544378,1.662735,1.088998,24.990543,121.653343,-17.368984,-9.190364,42.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,15.066147,1.047619,75.0,4.0,0.001739,260.926331,16.829849,0.0,0.016619,3.639692,3.639692,0.002654
-6.445498,20210530-072550,20210530,072550,-9.315068,0.0,33.0,0.0,6.0,24.0,214.681366,0.409864,75.0,14.119559,2.39218,2.39218,48.577499,1.0,0.0,1.009553,0.0,-99900.0,1.217488,0.0,0.0,2.39218,1.13694,0.653144,24.989227,121.708031,-8.801013,-9.176438,43.0,0.0,44.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,11.327619,1.023256,75.0,5.0,0.0,262.828186,16.983549,0.0,0.016851,2.126858,2.126858,0.00212
-0.651256,20210530-073151,20210530,073151,-9.763711,0.0,39.0,0.0,7.0,27.0,183.816483,0.256881,75.0,11.368471,1.909526,1.909526,52.359615,1.0,0.0,0.472506,0.0,-99900.0,1.247966,0.0,0.0,1.909526,0.974319,0.744348,24.985193,121.765541,-5.780257,-9.33317,37.0,0.0,43.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,9.785407,1.162162,75.0,6.0,0.0,265.83609,17.728361,0.0,0.017682,1.743086,1.743086,0.001287
4.820528,20210530-073751,20210530,073751,-7.790155,0.0,45.0,0.0,8.0,37.0,148.250534,0.847511,75.0,10.409875,2.892345,2.892345,48.664558,1.0,0.0,0.960394,0.0,-99900.0,1.754711,0.0,0.0,2.892345,1.609436,2.550986,25.002941,121.819855,3.871497,-8.640862,39.0,0.0,42.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,9.161005,1.076923,75.0,7.0,0.0,266.084167,17.126789,0.0,0.017087,1.604606,1.604606,0.00117
10.14752,20210530-074352,20210530,074352,-6.462682,0.0,51.0,0.0,9.0,33.0,122.491669,0.124135,75.0,14.669451,3.212648,3.212648,61.568863,1.0,0.0,0.993942,0.0,-99900.0,1.235851,0.0,0.0,3.212648,1.503601,1.118747,25.014879,121.872734,12.973873,0.009994,41.0,0.0,42.0,0.0,-99900.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,12.030728,1.02439,75.0,8.0,0.0,264.855133,16.255167,0.0,0.01619,2.398424,2.398424,0.001458
13.618134,20210530-074954,20210530,074954,-7.160696,0.0,57.0,0.0,10.0,26.0,117.736038,0.109074,75.0,10.141709,2.414014,2.414014,42.013889,1.0,0.0,1.158114,0.0,-99900.0,2.68601,0.0,0.0,2.414014,1.085905,0.458005,25.008602,121.907181,9.022664,-7.152534,42.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,15.386005,1.02381,75.0,9.0,0.0,263.592987,14.58233,0.0,0.014491,1.614823,1.614823,0.001627
19.770769,20210530-075555,20210530,075555,-7.561839,1.0,0.0,0.0,11.0,60.0,110.930382,0.907399,75.0,5.751397,1.221862,1.221862,35.153721,1.0,0.0,0.12329,0.0,-99900.0,1.351322,0.0,0.0,1.221862,0.96325,1.221862,25.004995,121.968246,19.561338,-7.60199,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,21.16754,1.0,75.0,10.0,0.0,264.298309,14.254112,0.0,0.014184,0.244753,0.244753,0.001416
26.252256,20210530-080157,20210530,080157,-7.547626,0.0,0.0,0.0,1.0,73.0,106.039902,1.192106,75.0,3.6957,1.52708,1.52708,30.464823,1.0,0.0,0.184088,0.0,-99900.0,1.436284,0.0,0.0,1.52708,1.233397,1.52708,25.005123,122.032585,26.241236,-7.573154,34.0,0.0,34.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.315702,1.0,75.0,0.0,0.0,266.540283,14.486982,0.0,0.014461,0.209123,0.209123,0.000874
