3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
30.668316,20210530-074352,20210530,074352,-101.096283,0.0,0.0,0.0,1.0,63.0,163.124054,4.042084,68.0,31.076481,5.152028,5.152028,145.69339,1.0,0.0,0.373926,0.0,-99900.0,0.0,0.0,0.0,5.152028,4.11007,4.042084,24.16382,122.075394,30.669271,-101.090958,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,105.645653,1.0,68.0,0.0,0.0,268.69397,-99900.0,0.0,-99900.0,0.698548,0.698548,-99900.0
34.41988,20210530-074954,20210530,074954,-102.084305,0.0,0.0,0.0,1.0,65.0,161.367004,4.136222,68.0,74.866013,5.284362,5.284362,340.164703,1.0,0.0,0.247486,0.0,-99900.0,2.245024,0.0,0.0,5.284362,4.16584,4.136222,24.154936,122.112495,34.400509,-102.08075,37.0,0.0,37.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.730835,1.0,68.0,0.0,0.0,284.754547,10.716829,0.0,0.010363,0.71298,0.71298,-0.002729
37.41494,20210530-075555,20210530,075555,-101.287796,0.0,3.0,0.0,1.0,39.0,159.725784,3.292207,68.0,67.292,4.02634,4.02634,268.633362,1.0,0.0,0.108079,0.0,-99900.0,1.93172,0.0,0.0,4.02634,3.63345,4.02634,24.1621,122.142128,39.127102,-103.147346,36.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,107.977295,1.111111,68.0,0.0,0.0,271.632874,9.335699,0.0,0.009332,1.012183,1.012183,-0.000266
40.036964,20210530-080157,20210530,080157,-100.525368,0.0,27.0,0.0,1.0,28.0,158.283356,2.573338,68.0,41.965767,4.883294,4.883294,181.876282,1.0,0.0,0.841298,0.0,-99900.0,1.144176,0.0,0.0,4.883294,3.413541,3.976954,24.168957,122.168083,41.726681,-103.955482,36.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.204941,1.138889,68.0,0.0,0.076519,265.389191,8.628939,0.0,0.008601,1.9012,1.9012,0.000694
43.521828,20210530-080758,20210530,080758,-99.290901,0.0,57.0,0.0,1.0,32.0,156.330521,1.673975,68.0,58.494915,5.03545,5.03545,229.70459,1.0,0.0,0.979486,0.0,-99900.0,1.054839,0.0,0.0,5.03545,3.458782,4.064043,24.180058,122.202576,40.656906,-98.862442,36.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,108.410477,1.138889,68.0,0.0,0.087401,260.630646,8.782205,0.0,0.008665,2.739839,2.739839,0.00143
50.708679,20210530-081400,20210530,081400,-102.956482,0.0,27.0,1.0,1.0,18.0,153.778214,1.872844,68.0,87.443291,4.36419,4.36419,301.489838,1.0,0.0,0.74113,0.0,-99900.0,5.822546,0.254,0.254,4.36419,3.084906,4.36419,24.147093,122.273605,51.774799,-103.23027,39.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,114.766754,1.051282,68.0,0.0,0.114779,270.072083,10.283942,0.0,0.010284,3.164456,3.164456,-1.3e-05
53.436871,20210530-082000,20210530,082000,-102.66111,0.0,3.0,1.0,1.0,34.0,152.501892,1.89366,68.0,119.736359,4.307286,4.307286,448.651245,1.0,0.0,0.315253,0.0,-99900.0,1.019187,0.0,0.0,4.307286,2.877067,3.510402,24.14975,122.300598,53.868137,-103.142715,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,115.735916,1.0,68.0,0.0,0.0,272.752167,10.961004,0.0,0.010948,3.121858,3.121858,-0.000526
58.481911,20210530-082602,20210530,082602,-103.564499,0.0,3.0,1.0,1.0,33.0,150.546631,3.627443,68.0,181.663544,4.555783,4.555783,667.94397,1.0,0.0,0.138534,0.0,-99900.0,1.295503,0.0,0.0,4.555783,3.745601,3.627443,24.141624,122.350487,58.621319,-103.835663,40.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,118.93586,1.0,68.0,0.0,0.0,277.997467,12.195473,0.0,0.012077,1.195566,1.195566,-0.001697
66.263733,20210530-083203,20210530,083203,-104.581429,0.0,0.0,0.0,1.0,47.0,147.640945,2.121953,68.0,52.129723,4.735858,4.735858,200.805496,1.0,0.0,0.463812,0.0,-99900.0,3.445886,0.0,0.0,4.735858,3.706787,3.829395,24.132481,122.427437,69.430191,-104.795013,38.0,0.0,39.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,123.806938,1.026316,68.0,0.0,0.0,280.401459,14.375566,0.0,0.014139,2.723436,2.723436,-0.002595
70.849121,20210530-083804,20210530,083804,-106.601845,0.0,0.0,0.0,1.0,46.0,146.391068,3.081223,68.0,51.269913,3.956214,3.956214,197.696686,1.0,0.0,0.155069,0.0,-99900.0,1.20132,0.0,0.0,3.956214,3.507048,3.956214,24.114311,122.47274,70.900589,-106.867828,36.0,0.0,40.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,127.998245,1.111111,68.0,0.0,0.0,282.668427,15.272033,0.0,0.0149,1.018084,1.018084,-0.003349
