3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-82.07769,20210530-083203,20210530,083203,-13.324919,0.0,3.0,0.0,1.0,5.0,260.778992,1.78579,49.0,111.86631,4.796901,4.796901,144.003555,1.0,0.0,1.674563,0.0,-99900.0,0.0,0.762,0.762,4.796901,3.201526,2.333892,24.953169,120.957466,-83.242943,-13.483053,45.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,83.152275,1.022222,49.0,0.0,1.013105,264.132965,-99900.0,0.0,-99900.0,3.89838,3.89838,-99900.0
-76.527596,20210530-083804,20210530,083804,-11.749318,0.0,9.0,1.0,2.0,2.0,261.271729,1.110302,49.0,140.407944,5.592156,5.592156,138.510864,1.0,0.0,1.582927,0.0,-99900.0,1.269776,1.27,1.27,5.592156,2.694963,3.564806,24.967339,121.012505,-78.904068,-12.233047,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,20.0,20.0,0.0,0.0,77.424278,1.0,49.0,1.0,2.438083,254.151443,15.981872,0.0,0.015374,9.015322,9.015322,0.004365
-70.627975,20210530-084405,20210530,084405,-11.777153,0.0,15.0,0.0,3.0,1.0,260.533325,1.000304,49.0,176.003616,6.497623,6.497623,211.537735,1.0,0.0,0.981734,0.0,-99900.0,1.641092,1.524,1.524,6.497623,3.029547,3.346618,24.967089,121.071053,-73.232643,-10.385324,46.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,71.603157,1.065217,49.0,2.0,3.326756,262.301483,16.002625,0.0,0.015858,10.004731,10.004731,0.002144
-63.898918,20210530-085007,20210530,085007,-10.725831,0.0,21.0,1.0,4.0,2.0,260.471619,0.872819,49.0,146.384689,5.959236,5.959236,212.175644,1.0,0.0,1.52937,0.0,-99900.0,1.025945,1.016,1.016,5.959236,2.822859,3.722129,24.976543,121.13781,-66.10685,-9.782117,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,64.792862,1.0,49.0,3.0,2.035668,262.674652,16.865534,0.0,0.016728,8.83321,8.83321,0.00215
-59.805088,20210530-085608,20210530,085608,-10.801572,0.0,27.0,0.0,5.0,3.0,259.762268,0.815265,49.0,197.915329,6.471688,6.471688,250.979141,1.0,0.0,3.021088,0.0,-99900.0,2.123381,1.016,1.016,6.471688,1.78516,2.014321,24.975861,121.178444,-62.520306,-10.974746,47.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,60.772713,1.021277,49.0,4.0,1.76301,263.939667,15.913691,0.0,0.015825,9.046107,9.046107,0.00168
-51.223103,20210530-090209,20210530,090209,-9.738662,0.0,33.0,1.0,6.0,4.0,259.235504,0.671639,49.0,131.502731,5.677022,5.677022,181.630661,1.0,0.0,1.854694,0.0,-99900.0,2.905323,1.016,1.016,5.677022,2.345027,3.675351,24.98542,121.263596,-53.580677,-11.081055,46.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,52.140652,1.043478,49.0,5.0,1.586203,264.09906,16.790146,0.0,0.016701,8.398621,8.398621,0.001726
-44.186272,20210530-090809,20210530,090809,-9.80399,0.0,39.0,0.0,7.0,5.0,257.490204,0.568819,49.0,98.511658,4.895713,4.895713,144.824631,1.0,0.0,1.82213,0.0,-99900.0,1.233303,0.762,0.762,4.895713,1.938165,3.190699,24.984833,121.333443,-47.032688,-9.756214,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,45.260853,1.044444,49.0,6.0,1.037483,265.97348,17.768759,0.0,0.017725,6.996158,6.996158,0.001248
-37.380032,20210530-091410,20210530,091410,-9.29302,0.0,45.0,0.0,8.0,15.0,256.039001,0.474134,49.0,63.945896,5.172996,5.172996,104.019226,1.0,0.0,1.35519,0.0,-99900.0,0.412025,0.254,0.254,5.172996,1.845923,0.474134,24.989428,121.400993,-40.483841,-9.216071,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.517879,1.0,49.0,7.0,0.286453,266.026245,18.565208,0.0,0.018521,5.207736,5.207736,0.001287
-30.071848,20210530-092012,20210530,092012,-9.384595,0.0,51.0,1.0,9.0,29.0,252.668549,0.369061,49.0,38.26247,3.48802,3.48802,87.029503,1.0,0.0,1.180261,0.0,-99900.0,0.821639,0.0,0.0,3.48802,1.706339,0.369061,24.988604,121.473526,-32.518341,-9.220843,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,31.502169,1.0,49.0,8.0,0.080175,267.374023,19.294031,0.0,0.019274,2.750844,2.750844,0.000884
-20.684729,20210530-092611,20210530,092611,-3.19126,0.0,57.0,0.0,10.0,19.0,261.229736,0.194148,49.0,34.093998,1.691069,1.691069,58.576843,1.0,0.0,0.329235,0.0,-99900.0,6.373181,0.0,0.0,1.691069,0.518679,0.320478,25.044302,121.56665,-19.261053,-2.626262,47.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,20.929457,1.0,49.0,9.0,0.0,261.526947,21.290138,0.0,0.021058,1.313226,1.313226,0.003137
