3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
129.037399,20210530-065544,20210530,065544,57.006565,0.0,3.0,0.0,1.0,19.0,66.164803,2.521652,58.0,100.940308,4.484506,4.484506,179.619644,1.0,0.0,0.614593,0.0,-99900.0,0.0,0.254,0.254,4.484506,2.857142,3.509616,25.585676,123.055893,128.943588,57.20636,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,141.068771,1.0,58.0,0.0,0.193185,264.845001,-99900.0,0.0,-99900.0,4.295266,4.295266,-99900.0
134.571991,20210530-070145,20210530,070145,57.342892,0.0,9.0,0.0,2.0,15.0,66.920349,2.661606,58.0,164.959518,4.716174,4.716174,323.203247,1.0,0.0,0.58782,0.0,-99900.0,0.321475,0.254,0.254,4.716174,3.096939,3.695306,25.588701,123.110977,134.453903,57.364109,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,146.279968,1.0,58.0,1.0,0.256435,266.522522,15.35954,0.0,0.015331,4.805631,4.805631,0.000932
139.620728,20210530-070746,20210530,070746,57.80434,0.0,15.0,0.0,3.0,10.0,67.509811,2.796768,58.0,169.529877,4.908761,4.908761,289.605103,1.0,0.0,0.503188,0.0,-99900.0,0.501708,0.254,0.254,4.908761,3.160616,2.796768,25.59285,123.161232,139.472107,57.883568,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,151.113495,1.0,58.0,2.0,0.226547,265.689178,14.699918,0.0,0.014658,5.257747,5.257747,0.001105
144.846222,20210530-071347,20210530,071347,57.94054,0.0,21.0,0.0,4.0,14.0,68.197731,2.942745,58.0,130.638214,5.138634,5.138634,234.157578,1.0,0.0,0.571545,0.0,-99900.0,0.270892,0.254,0.254,5.138634,3.249975,2.942745,25.594076,123.213234,144.921646,58.014675,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,156.004913,1.0,58.0,3.0,0.141915,266.441437,14.564154,0.0,0.014536,4.741245,4.741245,0.000904
148.873093,20210530-071948,20210530,071948,56.915482,0.0,27.0,0.0,5.0,4.0,69.077545,3.037577,58.0,184.007111,5.308368,5.308368,322.167389,1.0,0.0,1.206155,0.0,-99900.0,1.821063,0.508,0.508,5.308368,3.145582,4.153569,25.584856,123.25325,148.927689,56.687538,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,159.381836,1.0,58.0,4.0,0.464945,269.523376,13.835833,0.0,0.013835,5.134486,5.134486,0.000115
153.221451,20210530-072550,20210530,072550,60.409367,0.0,33.0,0.0,6.0,13.0,68.482414,3.230171,58.0,185.745087,4.296695,4.296695,478.125488,1.0,0.0,0.27749,0.0,-99900.0,3.514751,0.254,0.254,4.296695,3.703375,3.230171,25.616278,123.296707,153.360794,63.037434,43.0,0.0,43.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,164.700043,1.0,58.0,5.0,0.128611,264.634918,13.432742,0.0,0.013374,4.512124,4.512124,0.001256
157.968872,20210530-073151,20210530,073151,60.676506,0.0,39.0,0.0,7.0,19.0,68.987846,3.3533,58.0,126.070709,5.757561,5.757561,389.55545,1.0,0.0,0.874678,0.0,-99900.0,0.202939,0.254,0.254,5.757561,4.066492,3.3533,25.618681,123.343964,157.776794,62.888126,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,169.221161,1.0,58.0,6.0,0.093299,261.748566,12.932392,0.0,0.012799,4.546798,4.546798,0.001856
161.399612,20210530-073751,20210530,073751,64.556282,0.0,45.0,0.0,8.0,39.0,68.199516,3.473032,58.0,76.02533,4.701393,4.701393,181.289078,1.0,0.0,0.442033,0.0,-99900.0,3.420398,0.0,0.0,4.701393,3.83805,3.473032,25.653572,123.378334,161.361984,64.321556,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,173.831375,1.0,58.0,7.0,0.049332,253.413712,12.59903,0.0,0.012075,3.798681,3.798681,0.003597
164.752777,20210530-074352,20210530,074352,65.44603,0.0,51.0,0.0,9.0,35.0,68.334991,3.584927,58.0,196.51445,4.827658,4.827658,673.110718,1.0,0.0,0.184449,0.0,-99900.0,1.085652,0.0,0.0,4.827658,3.703387,3.584927,25.661575,123.411766,164.721786,65.488808,41.0,0.0,41.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,177.275665,1.0,58.0,8.0,0.0581,246.8311,12.212856,0.0,0.011228,3.817257,3.817257,0.004805
166.93248,20210530-074954,20210530,074954,65.225677,0.0,57.0,0.0,10.0,17.0,68.657715,3.643966,58.0,55.631527,4.911771,4.911771,127.947388,1.0,0.0,0.518782,0.0,-99900.0,2.719047,0.254,0.254,4.911771,3.945004,3.643966,25.659594,123.433449,166.779587,65.32534,42.0,0.0,42.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,179.222885,1.0,58.0,9.0,0.15462,244.744659,11.22837,0.0,0.010155,4.329456,4.329456,0.004791
