3DXLoc,fileName,day,time,3DYLoc,AgeHours,AgeMin,AgeSec,AgeVS,AlgRank,Azimuth,CellBase,CellID,CellMass,CellTop,CellTop_COS,CellVolume,ConeOfSilence,ConvDepth,CoreAspectRatio,DDPDAStrength,DDPDAType,FcstError,HailSizeEstimate,HailSizeEstimate_COS,Height,HeightOfCenterOfMass,HeightOfMaxdBZ,Latitude,Longitude,LowLevelXLoc,LowLevelYLoc,LowLevel_dBZ,MaxConvergence,MaxdBZ,MesoDetectionType,MidAltRotVel,ProbBaseballHail,ProbCoinHail,ProbGolfBallHail,ProbOfHail,ProbOfHail_COS,ProbOfSeverehail,ProbOfSeverehail_COS,Range,ReflectivityRatio,RowName,RowNameUsage,SevereHailIndex,StormDir,StormSpeed,StormTopDiv,UMotion,VIL,VIL_COS,VMotion
-47.749859,20210530-071347,20210530,071347,-30.121609,0.0,3.0,0.0,1.0,6.0,237.755707,0.660712,70.0,60.008755,5.126327,5.126327,107.241028,1.0,0.0,2.368249,0.0,-99900.0,0.0,0.508,0.508,5.126327,2.871432,2.048425,24.802113,121.298424,-41.791225,-34.232594,38.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,56.456711,1.210526,70.0,0.0,0.485068,263.406097,-99900.0,0.0,-99900.0,4.708739,4.708739,-99900.0
-41.888477,20210530-071948,20210530,071948,-28.12697,0.0,9.0,0.0,2.0,10.0,236.119995,0.573754,70.0,61.625088,5.727449,5.727449,120.236656,1.0,0.0,1.794891,0.0,-99900.0,2.040726,0.254,0.254,5.727449,2.84595,2.922582,24.820049,121.356529,-43.801876,-20.503899,44.0,0.0,44.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,50.455635,1.0,70.0,1.0,0.354858,251.206482,17.150885,0.0,0.016236,4.645583,4.645583,0.005525
-36.970615,20210530-072550,20210530,072550,-28.287407,0.0,15.0,0.0,3.0,1.0,232.579529,0.919355,70.0,109.496033,6.339712,6.339712,172.555389,1.0,0.0,1.82089,0.0,-99900.0,2.364172,1.016,1.016,6.339712,2.627744,4.163285,24.818607,121.405304,-39.887451,-27.986839,45.0,0.0,47.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,46.55109,1.044444,70.0,2.0,2.106708,260.347748,15.122522,0.0,0.014908,7.216708,7.216708,0.002536
-26.716152,20210530-073151,20210530,073151,-28.778847,0.0,21.0,0.0,4.0,3.0,222.871674,1.585124,70.0,43.79911,4.659792,4.659792,103.932671,1.0,0.0,1.717302,0.0,-99900.0,5.071532,0.762,0.762,4.659792,3.061617,2.971592,24.814186,121.507019,-20.852549,-29.175028,41.0,0.0,48.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,39.267986,1.170732,70.0,3.0,1.095927,266.746094,18.850389,0.0,0.01882,3.8511,3.8511,0.00107
-24.806559,20210530-073751,20210530,073751,-28.911026,0.0,27.0,0.0,5.0,12.0,220.630951,0.512279,70.0,119.463539,5.417834,5.417834,359.472412,1.0,0.0,1.714837,0.0,-99900.0,4.893035,0.254,0.254,5.417834,2.68863,1.720569,24.812998,121.525963,-29.178148,-33.186962,40.0,0.0,45.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,38.094788,1.125,70.0,4.0,0.189923,268.339172,16.917339,0.0,0.01691,5.322205,5.322205,0.00049
-16.5145,20210530-074352,20210530,074352,-29.750154,0.0,33.0,0.0,6.0,9.0,209.035294,1.191881,70.0,112.909584,4.643419,4.643419,205.114655,1.0,0.0,0.918281,0.0,-99900.0,2.411956,0.508,0.508,4.643419,2.490553,2.435518,24.80545,121.608208,-19.371262,-29.585272,44.0,0.0,46.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,34.026466,1.045455,70.0,5.0,0.551695,270.25827,17.228777,0.0,0.017229,5.031013,5.031013,-7.8e-05
-11.232729,20210530-074954,20210530,074954,-29.549561,0.0,39.0,0.0,7.0,2.0,200.813766,0.374556,70.0,122.962334,5.595681,5.595681,170.369461,1.0,0.0,2.775432,0.0,-99900.0,0.981987,1.016,1.016,5.595681,2.556932,1.396877,24.807255,121.660591,-13.70321,-31.355011,43.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,10.0,10.0,0.0,0.0,31.612509,1.139535,70.0,6.0,1.53055,273.074493,17.163225,0.0,0.017139,7.604552,7.604552,-0.000921
-9.267058,20210530-075555,20210530,075555,-26.44389,0.0,45.0,0.0,8.0,4.0,199.312988,0.346849,70.0,111.781837,5.375311,5.375311,147.22493,1.0,0.0,2.16502,0.0,-99900.0,5.44421,0.762,0.762,5.375311,2.425682,0.346849,24.835184,121.680077,-12.95652,-29.360033,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,28.020664,1.0,70.0,7.0,1.195152,268.199768,15.302936,0.0,0.015295,8.943563,8.943563,0.000481
-3.923167,20210530-080157,20210530,080157,-27.607252,0.0,51.0,0.0,9.0,6.0,188.088333,0.343364,70.0,162.987686,4.956309,4.956309,225.343384,1.0,0.0,1.818697,0.0,-99900.0,1.35125,0.508,0.508,4.956309,2.029683,0.882676,24.824722,121.733086,-4.209164,-31.54141,48.0,0.0,51.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,27.884611,1.0625,70.0,8.0,0.746457,265.359161,13.161541,0.0,0.013118,9.325342,9.325342,0.001065
0.147642,20210530-080758,20210530,080758,-26.45598,0.0,57.0,1.0,10.0,13.0,179.67984,0.27813,70.0,127.77298,3.498408,3.498408,165.048386,1.0,0.0,1.531345,0.0,-99900.0,1.01498,0.254,0.254,3.498408,1.765239,0.27813,24.835075,121.773468,-5.318528,-26.072166,49.0,0.0,49.0,0.0,0.0,-99900.0,-99900.0,-99900.0,0.0,0.0,0.0,0.0,26.456392,1.0,70.0,9.0,0.318452,262.448914,13.117499,0.0,0.013004,6.559562,6.559562,0.001724
